Ra(J2000) deg,Dec(J2000) deg,J,H,Ks,Types,Ref,R,J-Ks,Log(M/Ms),M/Ms,Log(t),t,Log(dt),dt
296.25732,-14.77645,18.86,17.3,15.150534746342712,C,Whitelock,89.99,1.726,0.32178409397699137,2.097896671806433,9.01622459346394,1038065107.7957331,6.387951117087556,2443155.5427986607
296.25696,-14.83051,20.1,18.37,15.650435771097458,C,Whitelock,89.99,1.726,0.22942080195586856,1.695980294691768,9.29671898444334,1980245269.2385285,6.368843675067031,2337995.5222774614
296.19858,-14.71837,18.91,17.07,14.89103881124015,C,Whitelock,89.99,1.726,0.3697293824347039,2.342768534539046,8.907236300720864,807674368.3725212,6.293768385578344,1966837.0723068523
296.19682,-14.75119,19.490000000000002,17.43,14.878959631043944,C,Whitelock,89.99,1.726,0.3719611699138059,2.354838729347175,8.902163045038458,798294330.7266406,6.2890452153062855,1945562.62767057
296.28424,-14.80892,20.3,18.1,15.150705830865578,C,Whitelock,89.99,1.726,0.3217524838602619,2.0977439819884762,9.016296448963544,1038236873.4087725,6.387990526607032,2443377.254007667
296.21631,-14.83196,20.17,18.0,14.913055070829902,C,Whitelock,89.99,1.726,0.36566158878555366,2.3209275769380078,8.91648312974856,825055435.4215949,6.301968982260439,2004328.8711113401
296.29793,-14.74687,20.2,18.08,15.198725625914626,C,Whitelock,89.99,1.726,0.3128801948804869,2.0553235331759687,9.036464762884144,1087588890.941002,6.39732929325916,2496486.910160519
296.25891,-14.88796,16.53,15.44,14.233450971810928,C,Whitelock,89.99,1.726,0.5834911618053198,3.832579407550896,8.289119991247148,194589763.95279786,5.193224412995637,156035.85786643327
296.17892,-14.82286,17.32,16.53,16.12,S,Whitelock,89.99,1.1999999999999993,0.14266263213999975,1.3888733099774022,9.551770000000001,3562624088.1919203,6.097807825492616,1252586.7849496726
296.21545,-14.83469,17.25,16.53,16.13,S,Whitelock,89.99,1.120000000000001,0.14081500056000018,1.3829771370923714,9.55608,3598156095.361582,6.0886655853092035,1226494.4443087424
296.27341,-14.80861,17.400000000000002,16.62,16.2,S,Whitelock,89.99,1.2000000000000028,0.12788157950000012,1.3423988749275524,9.58625,3857003207.2575464,6.0233428580851545,1055219.6212399937
296.28308,-14.80497,17.26,16.55,16.15,S,Whitelock,89.99,1.110000000000003,0.13711973740000016,1.3712597779869362,9.5647,3670286784.8109703,6.07022618565108,1175509.6147124567
296.25427,-14.81764,17.970000000000002,17.25,16.63,S,Whitelock,89.99,1.3400000000000034,0.04843342156000019,1.1179784225330252,9.77158,5909898198.965728,5.385314708645945,242836.91594317052
296.19156,-14.89296,17.560000000000002,16.85,16.44,S,Whitelock,89.99,1.120000000000001,0.08353842157999969,1.2120999172475482,9.68969,4894293393.163711,5.64109006731885,437612.8512558405
296.25522,-14.82579,16.62,15.86,15.45,S,Whitelock,89.99,1.1700000000000017,0.2664539480000001,1.8469449369801878,9.15,1412537544.6227555,6.399182782084727,2507164.224488334
296.29922,-14.8365,17.67,16.35,14.552613926538918,LAV,Whitelock,89.99,1.726,0.4725452084198123,2.9685557428520037,8.614666205069698,411780906.2465038,5.857945502882233,721016.9972281456
296.19168,-14.82965,18.12,16.8,15.325566206645938,LAV,Whitelock,89.99,1.726,0.28944472862201587,1.9473532002721226,9.089737806791295,1229526254.4350011,6.405602928850135,2544502.775028873
296.28415,-14.81194,17.13,15.94,14.81999462680647,LAV,Whitelock,89.99,1.726,0.3828557303082052,2.4146585679412853,8.877397743258719,754045831.1974928,6.263714868293278,1835332.9781609185
296.23456,-14.7733,17.8,16.56,15.180498691703908,LAV,Whitelock,89.99,1.726,0.3162478608059174,2.071323158306611,9.028809450515642,1068585927.4354595,6.394188570080521,2478497.9845281304
296.20154,-14.81282,18.98,17.3,15.351272816369468,LAV,Whitelock,89.99,1.726,0.2846950942280231,1.9261721278437123,9.100534582875177,1260476005.6187623,6.404421497545561,2537590.253290853
