Seq( ),RAJ2000(deg),DEJ2000(deg),M( ),Jmag(mag),e_Jmag(mag),o_Jmag( ),Hmag(mag),e_Hmag(mag),o_Hmag( ),Ksmag(mag),e_Ksmag(mag),o_Ksmag( ),J-H(mag),H-Ks(mag),J-Ks(mag),recno()
21699.0,296.1757,-14.71506, ,18.96,0.154,16.0,17.994,0.067,14.0,17.674,0.106,14.0,0.966,0.32,1.286,114.0
21757.0,296.17574,-14.70392, ,19.145,0.219,14.0,18.148,0.063,15.0,17.664,0.1,12.0,0.997,0.484,1.481,115.0
12189.0,296.17575,-14.80769, ,17.84,0.04,16.0,17.326,0.036,15.0,17.269,0.149,17.0,0.514,0.057,0.571,116.0
21880.0,296.17576,-14.66547, ,18.683,0.064,14.0,18.101,0.106,15.0,17.809,0.083,12.0,0.582,0.292,0.874,117.0
31054.0,296.17582,-14.88812, ,17.828,0.039,12.0,17.17,0.043,14.0,16.862,0.047,11.0,0.658,0.308,0.966,118.0
11133.0,296.17583,-14.79404, ,17.759,0.045,15.0,16.761,0.033,14.0,16.294,0.064,16.0,0.998,0.467,1.465,119.0
11049.0,296.17583,-14.80222, ,17.918,0.048,16.0,16.92,0.039,17.0,16.69,0.075,17.0,0.998,0.23,1.228,120.0
10464.0,296.17584,-14.78613, ,16.979,0.04,17.0,16.016,0.029,18.0,15.736,0.028,16.0,0.963,0.28,1.243,121.0
40010.0,296.1759,-14.73707, ,17.979,0.041,14.0,17.256,0.049,25.0,17.056,0.071,27.0,0.723,0.2,0.923,122.0
21336.0,296.1759,-14.63209, ,18.258,0.211,7.0,17.824,0.039,12.0,17.692,0.159,14.0,0.434,0.132,0.566,123.0
10303.0,296.17595,-14.83229, ,16.473,0.006,12.0,15.806,0.021,17.0,15.703,0.043,16.0,0.667,0.103,0.77,124.0
14003.0,296.17615,-14.76788, ,18.572,0.056,16.0,17.707,0.084,15.0,17.447,0.117,18.0,0.865,0.26,1.125,125.0
12163.0,296.17618,-14.80938, ,17.523,0.043,16.0,17.095,0.054,18.0,17.003,0.087,17.0,0.428,0.092,0.52,126.0
11849.0,296.17619,-14.83662, ,18.367,0.093,17.0,17.429,0.071,16.0,17.166,0.138,16.0,0.938,0.263,1.201,127.0
11097.0,296.17621,-14.79791, ,17.487,0.038,15.0,16.637,0.028,17.0,16.4,0.056,14.0,0.85,0.237,1.087,128.0
31070.0,296.17632,-14.88516, ,18.152,0.044,10.0,17.239,0.043,14.0,16.92,0.079,13.0,0.913,0.319,1.232,129.0
13192.0,296.17637,-14.83945, ,18.339,0.055,16.0,17.545,0.036,14.0,17.382,0.104,17.0,0.794,0.163,0.957,130.0
30977.0,296.17645,-14.89991, ,17.803,0.042,14.0,17.132,0.03,14.0,16.861,0.075,14.0,0.671,0.271,0.942,131.0
21948.0,296.17648,-14.63994, ,18.799,0.1,12.0,17.945,0.105,16.0,17.598,0.083,14.0,0.854,0.347,1.201,132.0
40011.0,296.17649,-14.8642, ,17.357,0.067,23.0,16.318,0.057,25.0,15.756,0.084,29.0,1.039,0.562,1.601,133.0
31416.0,296.17649,-14.95459, ,18.879,0.062,13.0,17.961,0.09,14.0,17.8,0.182,14.0,0.918,0.161,1.079,134.0
31594.0,296.1765,-14.91168, ,18.324,0.092,14.0,17.871,0.039,13.0,17.737,0.123,14.0,0.453,0.134,0.587,135.0
31172.0,296.17656,-14.86945, ,17.947,0.021,12.0,17.294,0.067,13.0,17.105,0.086,13.0,0.653,0.189,0.842,136.0
31603.0,296.17658,-14.90882, ,18.71,0.079,14.0,17.767,0.058,13.0,17.632,0.123,14.0,0.943,0.135,1.078,137.0
40012.0,296.17661,-14.86238, ,17.14,0.026,24.0,16.403,0.039,29.0,16.132,0.036,28.0,0.737,0.271,1.008,138.0
13063.0,296.17661,-14.85436, ,18.486,0.066,15.0,17.838,0.027,14.0,17.719,0.212,18.0,0.648,0.119,0.767,139.0
10002.0,296.17662,-14.78323, ,12.704,0.014,18.0,12.303,0.016,18.0,12.217,0.03,18.0,0.401,0.086,0.487,140.0
30853.0,296.17664,-14.92669, ,18.364,0.048,11.0,17.443,0.029,10.0,17.215,0.07,14.0,0.921,0.228,1.149,141.0
31000.0,296.17673,-14.89567, ,18.621,0.04,12.0,17.71,0.059,13.0,17.609,0.169,13.0,0.911,0.101,1.012,142.0
11415.0,296.17677,-14.75789, ,17.51,0.025,17.0,16.798,0.044,17.0,16.594,0.062,15.0,0.712,0.204,0.916,143.0
30367.0,296.17689,-14.95491, ,17.031,0.019,12.0,16.456,0.019,15.0,16.389,0.048,13.0,0.575,0.067,0.642,144.0
31777.0,296.17691,-14.87811, ,18.635,0.075,13.0,17.756,0.065,14.0,17.39,0.131,14.0,0.879,0.366,1.245,145.0
11116.0,296.17692,-14.79532, ,16.904,0.034,15.0,16.286,0.036,16.0,16.2,0.045,16.0,0.618,0.086,0.704,146.0
11408.0,296.17696,-14.75914, ,17.688,0.112,18.0,16.609,0.044,13.0,15.933,0.04,17.0,1.079,0.676,1.755,147.0
21254.0,296.17697,-14.66519, ,17.7,0.041,15.0,17.283,0.05,16.0,17.164,0.139,17.0,0.417,0.119,0.536,148.0
40013.0,296.17704,-14.85578, ,16.912,0.012,18.0,16.427,0.032,29.0,16.335,0.045,25.0,0.485,0.092,0.577,149.0
21944.0,296.17705,-14.64194, ,18.986,0.078,13.0,18.184,0.115,16.0,17.919,0.112,15.0,0.802,0.265,1.067,150.0
10981.0,296.17712,-14.81197, ,17.416,0.037,17.0,16.556,0.028,16.0,16.324,0.079,18.0,0.86,0.232,1.092,151.0
13553.0,296.17715,-14.80655, ,18.473,0.069,15.0,17.633,0.038,11.0,17.339,0.198,18.0,0.84,0.294,1.134,152.0
31545.0,296.17718,-14.92126, ,18.219,0.026,12.0,17.659,0.045,14.0,17.533,0.086,11.0,0.56,0.126,0.686,153.0
21905.0,296.17719,-14.65751, ,18.855,0.13,16.0,18.191,0.072,13.0,17.936,0.209,17.0,0.664,0.255,0.919,154.0
20130.0,296.17721,-14.68875, ,15.84,0.019,16.0,15.41,0.018,16.0,15.288,0.026,12.0,0.43,0.122,0.552,155.0
20656.0,296.17723,-14.65245, ,17.771,0.022,13.0,16.848,0.039,15.0,16.469,0.082,15.0,0.923,0.379,1.302,156.0
11179.0,296.17727,-14.78867, ,17.197,0.02,14.0,16.47,0.018,14.0,16.345,0.042,14.0,0.727,0.125,0.852,157.0
10144.0,296.17727,-14.82511, ,15.567,0.027,17.0,14.816,0.009,15.0,14.633,0.03,16.0,0.751,0.183,0.934,158.0
20282.0,296.17728,-14.69439, ,16.267,0.016,15.0,15.532,0.017,16.0,15.322,0.058,17.0,0.735,0.21,0.945,159.0
10801.0,296.17733,-14.83217, ,17.361,0.034,15.0,16.619,0.021,14.0,16.405,0.014,10.0,0.742,0.214,0.956,160.0
21590.0,296.17735,-14.73004, ,18.876,0.078,15.0,18.026,0.065,15.0,17.777,0.109,16.0,0.85,0.249,1.099,161.0
21268.0,296.1774,-14.66021, ,18.412,0.068,15.0,17.714,0.073,17.0,17.321,0.119,14.0,0.698,0.393,1.091,162.0
21934.0,296.1774,-14.6479, ,18.44,0.087,15.0,17.989,0.115,15.0,17.794,0.115,15.0,0.451,0.195,0.646,163.0
20516.0,296.17741,-14.71804, ,17.012,0.018,15.0,16.255,0.026,17.0,16.025,0.038,15.0,0.757,0.23,0.987,164.0
40014.0,296.17745,-14.73785, ,17.154,0.012,13.0,16.432,0.043,27.0,16.198,0.05,27.0,0.722,0.234,0.956,165.0
40015.0,296.1775,-14.85389, ,18.203,0.155,24.0,17.201,0.122,31.0,16.703,0.092,31.0,1.002,0.498,1.5,166.0
30269.0,296.1776,-14.88749, ,16.05,0.013,13.0,15.634,0.008,11.0,15.535,0.034,13.0,0.416,0.099,0.515,167.0
40016.0,296.17761,-14.86504, ,15.127,0.018,26.0,14.671,0.021,25.0,14.568,0.03,25.0,0.456,0.103,0.559,168.0
21443.0,296.17763,-14.74657, ,18.773,0.095,16.0,17.906,0.038,13.0,17.828,0.232,16.0,0.867,0.078,0.945,169.0
21316.0,296.17763,-14.6424,L,18.627,0.789,15.0,17.473,0.636,17.0,16.425,0.451,17.0,1.154,1.048,2.202,170.0
30185.0,296.17764,-14.94504, ,16.18,0.013,14.0,15.746,0.019,14.0,15.686,0.017,12.0,0.434,0.06,0.494,171.0
10445.0,296.17771,-14.79226, ,16.091,0.009,13.0,15.592,0.018,16.0,15.475,0.046,16.0,0.499,0.117,0.616,172.0
40017.0,296.17772,-14.7481, ,15.982,0.025,29.0,15.482,0.007,20.0,15.345,0.031,32.0,0.5,0.137,0.637,173.0
20994.0,296.17781,-14.72338, ,18.705,0.064,13.0,17.901,0.034,13.0,17.649,0.109,15.0,0.804,0.252,1.056,174.0
13839.0,296.17788,-14.78431, ,18.91,0.122,14.0,17.978,0.043,13.0,17.776,0.101,14.0,0.932,0.202,1.134,175.0
20574.0,296.17789,-14.6962, ,17.646,0.065,16.0,16.875,0.039,16.0,16.646,0.068,16.0,0.771,0.229,1.0,176.0
12350.0,296.178,-14.79711, ,17.987,0.021,12.0,17.003,0.045,16.0,16.72,0.092,18.0,0.984,0.283,1.267,177.0
13472.0,296.178,-14.81412, ,18.889,0.19,18.0,17.82,0.077,14.0,17.558,0.083,13.0,1.069,0.262,1.331,178.0
11126.0,296.17803,-14.79453, ,17.672,0.048,17.0,16.702,0.034,17.0,16.392,0.064,18.0,0.97,0.31,1.28,179.0
30966.0,296.17812,-14.90234, ,17.791,0.038,14.0,17.117,0.026,12.0,16.787,0.08,13.0,0.674,0.33,1.004,180.0
13988.0,296.17823,-14.77036, ,18.552,0.066,15.0,17.717,0.06,15.0,17.566,0.138,17.0,0.835,0.151,0.986,181.0
13831.0,296.17825,-14.7849, ,18.906,0.128,17.0,17.98,0.056,15.0,17.907,0.239,16.0,0.926,0.073,0.999,182.0
13165.0,296.17826,-14.84226, ,18.824,0.149,18.0,18.094,0.073,12.0,17.869,0.198,17.0,0.73,0.225,0.955,183.0
11259.0,296.17833,-14.78126, ,17.108,0.034,16.0,16.665,0.027,15.0,16.587,0.061,16.0,0.443,0.078,0.521,184.0
10712.0,296.17833,-14.84358, ,17.594,0.055,16.0,16.694,0.038,16.0,16.434,0.034,14.0,0.9,0.26,1.16,185.0
40018.0,296.17836,-14.8619, ,17.701,0.051,28.0,16.723,0.04,30.0,16.377,0.038,26.0,0.978,0.346,1.324,186.0
20259.0,296.17846,-14.711, ,16.867,0.018,14.0,16.108,0.02,15.0,15.92,0.055,16.0,0.759,0.188,0.947,187.0
40019.0,296.17851,-14.85561, ,15.335,0.018,25.0,14.613,0.01,22.0,14.374,0.022,27.0,0.722,0.239,0.961,188.0
30916.0,296.17852,-14.91245, ,18.089,0.04,12.0,17.375,0.031,13.0,17.184,0.061,10.0,0.714,0.191,0.905,189.0
11270.0,296.17853,-14.77999, ,17.398,0.035,17.0,16.674,0.056,18.0,16.463,0.055,14.0,0.724,0.211,0.935,190.0
20127.0,296.17854,-14.69114, ,15.765,0.015,14.0,15.064,0.013,15.0,14.887,0.039,16.0,0.701,0.177,0.878,191.0
11057.0,296.17857,-14.80149, ,17.624,0.024,14.0,16.687,0.026,14.0,16.421,0.077,17.0,0.937,0.266,1.203,192.0
21189.0,296.17859,-14.685, ,18.177,0.029,12.0,17.224,0.038,16.0,16.913,0.089,16.0,0.953,0.311,1.264,193.0
