Seq( ),RAJ2000(deg),DEJ2000(deg),M( ),Jmag(mag),e_Jmag(mag),o_Jmag( ),Hmag(mag),e_Hmag(mag),o_Hmag( ),Ksmag(mag),e_Ksmag(mag),o_Ksmag( ),J-H(mag),H-Ks(mag),J-Ks(mag),recno()
30532.0,296.23369,-14.89194, ,17.742,0.033,13.0,16.928,0.036,14.0,16.708,0.055,13.0,0.814,0.22,1.034,2883.0
12018.0,296.2337,-14.82, ,18.414,0.107,15.0,17.466,0.05,14.0,17.215,0.109,16.0,0.948,0.251,1.199,2884.0
12166.0,296.23374,-14.80948, ,18.945,0.173,17.0,17.93,0.125,18.0,17.686,0.091,17.0,1.015,0.244,1.259,2885.0
21723.0,296.23376,-14.71177, ,19.078,0.113,12.0,18.146,0.06,13.0,17.784,0.181,15.0,0.932,0.362,1.294,2886.0
21506.0,296.23379,-14.74075, ,19.086,0.153,16.0,18.052,0.073,13.0,17.723,0.122,13.0,1.034,0.329,1.363,2887.0
40329.0,296.2338,-14.73849, ,17.801,0.042,30.0,17.703,0.042,20.0,17.676,0.124,26.0,0.098,0.027,0.125,2888.0
40330.0,296.23386,-14.85811, ,18.408,0.049,26.0,18.013,0.054,26.0,17.947,0.18,26.0,0.395,0.066,0.461,2889.0
30897.0,296.23387,-14.91721, ,18.448,0.052,12.0,17.551,0.027,12.0,17.274,0.134,14.0,0.897,0.277,1.174,2890.0
12461.0,296.23389,-14.78925, ,17.962,0.044,13.0,16.969,0.053,18.0,16.703,0.063,16.0,0.993,0.266,1.259,2891.0
20463.0,296.23389,-14.7291,s,17.862,0.16,11.0,16.868,0.087,13.0,16.506,0.137,13.0,0.994,0.362,1.356,2892.0
13050.0,296.23393,-14.85667, ,18.906,0.075,12.0,18.098,0.102,14.0,17.965,0.221,15.0,0.808,0.133,0.941,2893.0
10400.0,296.23393,-14.80649,s,16.972,0.113,15.0,15.74,0.094,16.0,14.999,0.072,18.0,1.232,0.741,1.973,2894.0
20054.0,296.23394,-14.72256, ,15.361,0.009,12.0,14.535,0.011,15.0,14.251,0.018,16.0,0.826,0.284,1.11,2895.0
40331.0,296.23396,-14.862, ,18.758,0.08,27.0,17.935,0.062,25.0,17.722,0.145,28.0,0.823,0.213,1.036,2896.0
30090.0,296.23397,-14.94272, ,15.836,0.009,12.0,15.355,0.009,12.0,15.226,0.022,14.0,0.481,0.129,0.61,2897.0
20305.0,296.234,-14.67134, ,17.278,0.046,16.0,16.362,0.017,13.0,15.976,0.043,16.0,0.916,0.386,1.302,2898.0
10427.0,296.23401,-14.7976, ,16.046,0.01,13.0,15.589,0.016,16.0,15.49,0.019,16.0,0.457,0.099,0.556,2899.0
40332.0,296.23402,-14.85753, ,17.94,0.016,16.0,17.25,0.077,31.0,17.049,0.095,28.0,0.69,0.201,0.891,2900.0
13758.0,296.23404,-14.79075, ,18.466,0.056,14.0,17.916,0.067,16.0,17.861,0.158,17.0,0.55,0.055,0.605,2901.0
13992.0,296.23405,-14.76993, ,18.923,0.138,17.0,18.117,0.085,16.0,17.907,0.089,13.0,0.806,0.21,1.016,2902.0
30464.0,296.23406,-14.9129, ,17.266,0.025,12.0,16.504,0.032,14.0,16.324,0.041,14.0,0.762,0.18,0.942,2903.0
30061.0,296.23407,-14.90137, ,15.221,0.012,14.0,14.557,0.012,15.0,14.395,0.013,13.0,0.664,0.162,0.826,2904.0
21184.0,296.23408,-14.68643, ,18.421,0.107,14.0,17.189,0.113,14.0,16.282,0.107,16.0,1.232,0.907,2.139,2905.0
11875.0,296.23409,-14.83462, ,18.643,0.138,15.0,17.7,0.137,13.0,17.367,0.113,16.0,0.943,0.333,1.276,2906.0
12337.0,296.2341,-14.79855, ,18.158,0.069,17.0,17.267,0.031,13.0,17.058,0.084,15.0,0.891,0.209,1.1,2907.0
10181.0,296.23412,-14.77937, ,15.983,0.014,16.0,15.517,0.02,18.0,15.406,0.026,17.0,0.466,0.111,0.577,2908.0
12142.0,296.23413,-14.81089, ,18.819,0.136,17.0,18.064,0.072,14.0,17.872,0.126,16.0,0.755,0.192,0.947,2909.0
40333.0,296.23417,-14.75098, ,16.007,0.026,28.0,15.858,0.022,26.0,15.795,0.021,21.0,0.149,0.063,0.212,2910.0
20442.0,296.23419,-14.73428, ,17.83,0.032,13.0,17.008,0.032,15.0,16.767,0.061,16.0,0.822,0.241,1.063,2911.0
31579.0,296.23419,-14.91447, ,18.704,0.064,13.0,17.814,0.038,13.0,17.503,0.096,12.0,0.89,0.311,1.201,2912.0
10476.0,296.23431,-14.78171, ,17.162,0.034,16.0,16.174,0.024,16.0,15.851,0.01,12.0,0.988,0.323,1.311,2913.0
10353.0,296.23434,-14.8159, ,17.25,0.068,17.0,16.323,0.057,17.0,15.99,0.039,16.0,0.927,0.333,1.26,2914.0
31444.0,296.23435,-14.94877, ,18.906,0.069,12.0,18.049,0.048,11.0,17.829,0.146,12.0,0.857,0.22,1.077,2915.0
20968.0,296.23438,-14.72725, ,18.97,0.339,12.0,18.018,0.179,14.0,17.669,0.228,12.0,0.952,0.349,1.301,2916.0
20489.0,296.23442,-14.72441, ,17.702,0.012,10.0,16.763,0.043,14.0,16.424,0.049,15.0,0.939,0.339,1.278,2917.0
12331.0,296.23446,-14.79914, ,18.261,0.041,16.0,17.482,0.086,18.0,17.347,0.103,17.0,0.779,0.135,0.914,2918.0
10950.0,296.23447,-14.81467, ,17.768,0.044,12.0,16.919,0.035,16.0,16.697,0.044,14.0,0.849,0.222,1.071,2919.0
11926.0,296.23448,-14.82946, ,18.057,0.044,16.0,17.128,0.051,15.0,16.865,0.022,12.0,0.929,0.263,1.192,2920.0
12345.0,296.23448,-14.79785, ,17.758,0.052,17.0,17.208,0.047,14.0,17.082,0.088,15.0,0.55,0.126,0.676,2921.0
13231.0,296.2345,-14.8363, ,18.928,0.078,13.0,17.99,0.112,18.0,17.711,0.108,14.0,0.938,0.279,1.217,2922.0
10910.0,296.23453,-14.81926, ,17.387,0.153,18.0,16.228,0.113,17.0,15.669,0.09,18.0,1.159,0.559,1.718,2923.0
21114.0,296.23454,-14.70375, ,18.263,0.041,13.0,17.557,0.065,16.0,17.297,0.085,15.0,0.706,0.26,0.966,2924.0
20050.0,296.23456,-14.73072, ,15.502,0.013,14.0,14.791,0.018,16.0,14.556,0.015,15.0,0.711,0.235,0.946,2925.0
21040.0,296.23456,-14.71763, ,18.111,0.026,12.0,17.879,0.074,15.0,17.727,0.163,15.0,0.232,0.152,0.384,2926.0
10501.0,296.23456,-14.7733,L,18.004,0.365,18.0,16.559,0.323,18.0,15.48,0.269,18.0,1.445,1.079,2.524,2927.0
20094.0,296.23457,-14.73247, ,15.539,0.008,12.0,15.32,0.023,15.0,15.184,0.029,17.0,0.219,0.136,0.355,2928.0
40334.0,296.23457,-14.84701, ,17.62,0.125,25.0,16.618,0.065,21.0,16.119,0.071,22.0,1.002,0.499,1.501,2929.0
13639.0,296.23462,-14.80059, ,18.856,0.09,15.0,18.001,0.169,14.0,17.747,0.151,17.0,0.855,0.254,1.109,2930.0
20530.0,296.23463,-14.71475, ,17.967,0.048,15.0,17.062,0.07,17.0,16.742,0.096,16.0,0.905,0.32,1.225,2931.0
11366.0,296.23464,-14.76885, ,17.408,0.02,13.0,16.648,0.023,15.0,16.427,0.038,13.0,0.76,0.221,0.981,2932.0
40335.0,296.23465,-14.86182, ,17.11,0.016,23.0,16.377,0.013,21.0,16.183,0.027,25.0,0.733,0.194,0.927,2933.0
11369.0,296.23466,-14.76772, ,17.265,0.033,13.0,16.2,0.07,17.0,15.655,0.076,18.0,1.065,0.545,1.61,2934.0
11354.0,296.2347,-14.77021, ,16.479,0.012,13.0,16.332,0.022,15.0,16.242,0.049,15.0,0.147,0.09,0.237,2935.0
40336.0,296.23473,-14.84764, ,17.396,0.069,27.0,16.311,0.068,25.0,15.723,0.049,26.0,1.085,0.588,1.673,2936.0
31408.0,296.23475,-14.95681, ,18.648,0.036,11.0,17.816,0.031,11.0,17.582,0.134,12.0,0.832,0.234,1.066,2937.0
21312.0,296.23476,-14.64472, ,17.909,0.025,12.0,17.234,0.044,16.0,16.9,0.088,15.0,0.675,0.334,1.009,2938.0
20931.0,296.23476,-14.73219, ,17.428,0.04,14.0,16.473,0.028,15.0,16.128,0.039,16.0,0.955,0.345,1.3,2939.0
40337.0,296.23478,-14.86269, ,17.896,0.051,27.0,17.033,0.051,28.0,16.663,0.073,28.0,0.863,0.37,1.233,2940.0
10062.0,296.2348,-14.83979, ,15.029,0.008,16.0,14.514,0.013,17.0,14.398,0.012,17.0,0.515,0.116,0.631,2941.0
20231.0,296.23481,-14.72868, ,17.146,0.017,12.0,16.336,0.021,12.0,16.085,0.042,15.0,0.81,0.251,1.061,2942.0
20594.0,296.23482,-14.68908, ,17.426,0.03,16.0,16.757,0.018,13.0,16.551,0.051,15.0,0.669,0.206,0.875,2943.0
31486.0,296.23482,-14.93659, ,18.825,0.111,14.0,18.124,0.153,15.0,17.932,0.22,14.0,0.701,0.192,0.893,2944.0
40338.0,296.23483,-14.75048, ,17.526,0.059,31.0,16.597,0.033,29.0,16.23,0.051,30.0,0.929,0.367,1.296,2945.0
40339.0,296.23486,-14.85826, ,17.905,0.072,29.0,16.929,0.05,29.0,16.613,0.058,29.0,0.976,0.316,1.292,2946.0
10749.0,296.2349,-14.83896, ,17.308,0.03,17.0,16.566,0.039,17.0,16.391,0.054,16.0,0.742,0.175,0.917,2947.0
20507.0,296.2349,-14.72122, ,17.421,0.104,16.0,16.335,0.048,15.0,15.761,0.074,17.0,1.086,0.574,1.66,2948.0
10276.0,296.23492,-14.84138, ,16.842,0.016,14.0,16.162,0.023,14.0,15.999,0.038,15.0,0.68,0.163,0.843,2949.0
40340.0,296.23492,-14.74785, ,18.477,0.054,28.0,17.674,0.075,32.0,17.43,0.121,32.0,0.803,0.244,1.047,2950.0
10495.0,296.23493,-14.77568, ,16.78,0.014,14.0,15.953,0.018,15.0,15.727,0.022,13.0,0.827,0.226,1.053,2951.0
13574.0,296.23493,-14.80538, ,19.022,0.13,17.0,18.065,0.107,15.0,17.827,0.202,15.0,0.957,0.238,1.195,2952.0
11219.0,296.23494,-14.78559, ,17.847,0.028,13.0,17.006,0.042,16.0,16.776,0.036,13.0,0.841,0.23,1.071,2953.0
11838.0,296.23497,-14.83775, ,18.187,0.071,18.0,17.535,0.043,15.0,17.233,0.095,17.0,0.652,0.302,0.954,2954.0
21887.0,296.23497,-14.66411, ,18.873,0.131,15.0,18.109,0.046,13.0,17.671,0.123,14.0,0.764,0.438,1.202,2955.0
40341.0,296.23498,-14.74479, ,18.449,0.037,23.0,17.505,0.042,30.0,17.192,0.087,31.0,0.944,0.313,1.257,2956.0
11967.0,296.23498,-14.82506, ,18.517,0.045,13.0,17.596,0.048,14.0,17.379,0.099,16.0,0.921,0.217,1.138,2957.0
10937.0,296.23499,-14.81652, ,17.687,0.033,16.0,16.986,0.025,14.0,16.84,0.105,16.0,0.701,0.146,0.847,2958.0
13816.0,296.235,-14.78604, ,18.919,0.172,15.0,18.097,0.062,14.0,17.804,0.116,14.0,0.822,0.293,1.115,2959.0
13468.0,296.235,-14.81469, ,19.348,0.169,15.0,18.352,0.199,17.0,18.086,0.231,15.0,0.996,0.266,1.262,2960.0
30896.0,296.23503,-14.91755, ,18.281,0.036,11.0,17.514,0.049,15.0,17.272,0.094,13.0,0.767,0.242,1.009,2961.0
40342.0,296.23503,-14.74574, ,18.723,0.1,31.0,17.838,0.059,28.0,17.588,0.112,32.0,0.885,0.25,1.135,2962.0
21593.0,296.23503,-14.72995, ,18.868,0.149,13.0,18.225,0.077,13.0,18.048,0.113,14.0,0.643,0.177,0.82,2963.0
13141.0,296.23504,-14.84535, ,18.853,0.081,15.0,18.002,0.087,15.0,17.69,0.18,17.0,0.851,0.312,1.163,2964.0
20724.0,296.23505,-14.75361, ,18.484,0.113,11.0,17.555,0.097,12.0,17.175,0.142,12.0,0.929,0.38,1.309,2965.0
30554.0,296.23506,-14.88761, ,17.093,0.019,12.0,16.351,0.021,14.0,16.075,0.029,14.0,0.742,0.276,1.018,2966.0
13904.0,296.23508,-14.77887, ,18.765,0.095,15.0,17.894,0.088,18.0,17.67,0.093,14.0,0.871,0.224,1.095,2967.0
21712.0,296.23511,-14.71263, ,18.743,0.071,12.0,17.84,0.043,14.0,17.604,0.11,12.0,0.903,0.236,1.139,2968.0
13726.0,296.23511,-14.79341, ,18.747,0.277,16.0,17.908,0.188,11.0,17.746,0.091,13.0,0.839,0.162,1.001,2969.0
12433.0,296.23515,-14.79193, ,18.645,0.055,14.0,17.725,0.043,12.0,17.552,0.129,18.0,0.92,0.173,1.093,2970.0
20601.0,296.23516,-14.68576, ,17.202,0.053,13.0,16.241,0.058,16.0,15.754,0.037,16.0,0.961,0.487,1.448,2971.0
40343.0,296.23518,-14.85694, ,13.334,0.009,29.0,12.914,0.013,31.0,12.803,0.017,33.0,0.42,0.111,0.531,2972.0
11791.0,296.23519,-14.84283, ,17.573,0.016,13.0,17.19,0.094,15.0,17.005,0.034,13.0,0.383,0.185,0.568,2973.0
11858.0,296.23521,-14.83611, ,18.652,0.062,14.0,17.779,0.084,17.0,17.529,0.106,14.0,0.873,0.25,1.123,2974.0
30599.0,296.23523,-14.87232, ,16.84,0.022,14.0,16.397,0.03,15.0,16.253,0.031,13.0,0.443,0.144,0.587,2975.0
11376.0,296.23525,-14.76704, ,17.806,0.023,15.0,17.1,0.033,17.0,16.879,0.037,13.0,0.706,0.221,0.927,2976.0
30465.0,296.23526,-14.91253, ,16.898,0.011,12.0,16.262,0.015,14.0,16.116,0.024,13.0,0.636,0.146,0.782,2977.0
32007.0,296.2353,-14.84865, ,18.683,0.086,10.0,17.983,0.061,11.0,17.676,0.211,13.0,0.7,0.307,1.007,2978.0
12591.0,296.23532,-14.77695, ,18.525,0.144,11.0,17.676,0.077,14.0,17.385,0.173,17.0,0.849,0.291,1.14,2979.0
40345.0,296.23533,-14.8647, ,18.22,0.04,24.0,17.267,0.032,22.0,17.026,0.061,24.0,0.953,0.241,1.194,2980.0
40344.0,296.23533,-14.84949, ,18.553,0.072,28.0,17.757,0.06,27.0,17.558,0.113,29.0,0.796,0.199,0.995,2981.0
10982.0,296.23534,-14.81201, ,17.671,0.035,15.0,16.836,0.035,17.0,16.625,0.027,14.0,0.835,0.211,1.046,2982.0
40347.0,296.23534,-14.86087, ,17.598,0.122,32.0,16.567,0.068,31.0,15.998,0.038,27.0,1.031,0.569,1.6,2983.0
40346.0,296.23536,-14.75171, ,17.385,0.037,28.0,16.466,0.028,30.0,16.16,0.036,28.0,0.919,0.306,1.225,2984.0
20593.0,296.23537,-14.68909, ,17.246,0.045,16.0,16.761,0.019,12.0,16.614,0.053,14.0,0.485,0.147,0.632,2985.0
31860.0,296.23537,-14.86655, ,18.966,0.072,12.0,17.967,0.048,11.0,17.703,0.128,14.0,0.999,0.264,1.263,2986.0
31099.0,296.23538,-14.88078, ,17.754,0.021,11.0,17.078,0.056,15.0,16.715,0.057,11.0,0.676,0.363,1.039,2987.0
30493.0,296.23538,-14.90096, ,17.608,0.039,12.0,16.607,0.051,15.0,16.147,0.048,12.0,1.001,0.46,1.461,2988.0
12448.0,296.23538,-14.7904, ,18.529,0.054,13.0,17.631,0.076,15.0,17.404,0.11,17.0,0.898,0.227,1.125,2989.0
30033.0,296.2354,-14.90416, ,14.008,0.007,13.0,13.525,0.006,15.0,13.409,0.007,13.0,0.483,0.116,0.599,2990.0
21550.0,296.23542,-14.73518, ,18.831,0.116,14.0,17.925,0.093,15.0,17.576,0.071,14.0,0.906,0.349,1.255,2991.0
40349.0,296.23543,-14.85796, ,16.709,0.021,27.0,15.918,0.018,29.0,15.669,0.02,26.0,0.791,0.249,1.04,2992.0
40348.0,296.23544,-14.75075, ,18.25,0.055,29.0,17.625,0.062,27.0,17.425,0.106,29.0,0.625,0.2,0.825,2993.0
12237.0,296.23546,-14.80467, ,18.061,0.069,17.0,17.212,0.05,17.0,16.995,0.07,17.0,0.849,0.217,1.066,2994.0
40350.0,296.23552,-14.8464, ,14.139,0.003,13.0,13.409,0.009,17.0,13.204,0.006,17.0,0.73,0.205,0.935,2995.0
11039.0,296.23554,-14.80399, ,17.568,0.032,16.0,16.572,0.029,17.0,16.261,0.024,13.0,0.996,0.311,1.307,2996.0
31670.0,296.23556,-14.8951, ,18.892,0.134,13.0,17.958,0.122,15.0,17.753,0.114,10.0,0.934,0.205,1.139,2997.0
12476.0,296.2356,-14.78756, ,18.146,0.054,15.0,17.167,0.035,17.0,16.903,0.067,15.0,0.979,0.264,1.243,2998.0
11832.0,296.23565,-14.83859, ,18.512,0.082,14.0,17.686,0.086,18.0,17.419,0.111,17.0,0.826,0.267,1.093,2999.0
21526.0,296.23566,-14.73745, ,18.796,0.078,15.0,18.082,0.092,16.0,17.638,0.14,15.0,0.714,0.444,1.158,3000.0
20605.0,296.23567,-14.68325, ,16.991,0.035,16.0,16.401,0.025,16.0,16.229,0.03,12.0,0.59,0.172,0.762,3001.0
40351.0,296.23567,-14.84693, ,17.233,0.041,17.0,16.242,0.074,23.0,15.672,0.045,19.0,0.991,0.57,1.561,3002.0
12141.0,296.23571,-14.81087, ,18.387,0.046,15.0,17.482,0.057,16.0,17.234,0.158,17.0,0.905,0.248,1.153,3003.0
20146.0,296.23572,-14.6673, ,15.578,0.004,13.0,14.976,0.011,16.0,14.779,0.024,17.0,0.602,0.197,0.799,3004.0
10878.0,296.23574,-14.82235, ,17.586,0.03,16.0,16.671,0.018,13.0,16.388,0.032,14.0,0.915,0.283,1.198,3005.0
10093.0,296.23578,-14.75841, ,14.942,0.015,17.0,14.527,0.013,17.0,14.407,0.013,14.0,0.415,0.12,0.535,3006.0
10747.0,296.23579,-14.83913, ,17.797,0.03,16.0,16.873,0.02,14.0,16.584,0.055,16.0,0.924,0.289,1.213,3007.0
11228.0,296.2358,-14.78451, ,17.769,0.028,14.0,16.867,0.029,17.0,16.637,0.064,17.0,0.902,0.23,1.132,3008.0
30346.0,296.23583,-14.96853, ,17.133,0.034,14.0,16.566,0.023,13.0,16.413,0.069,14.0,0.567,0.153,0.72,3009.0
12637.0,296.23584,-14.77173, ,18.266,0.066,14.0,17.485,0.028,15.0,17.184,0.047,14.0,0.781,0.301,1.082,3010.0
21233.0,296.23586,-14.67386, ,18.357,0.038,12.0,17.626,0.036,12.0,17.167,0.048,13.0,0.731,0.459,1.19,3011.0
31701.0,296.23586,-14.88935, ,18.724,0.094,13.0,17.851,0.055,13.0,17.722,0.173,13.0,0.873,0.129,1.002,3012.0
10893.0,296.23588,-14.82077, ,17.756,0.043,17.0,16.968,0.041,16.0,16.813,0.087,17.0,0.788,0.155,0.943,3013.0
40352.0,296.23591,-14.75193, ,18.729,0.105,29.0,17.853,0.044,24.0,17.575,0.068,21.0,0.876,0.278,1.154,3014.0
13780.0,296.23599,-14.78909, ,18.683,0.094,15.0,17.768,0.042,13.0,17.501,0.082,16.0,0.915,0.267,1.182,3015.0
13424.0,296.23601,-14.8186, ,18.644,0.083,15.0,17.886,0.096,14.0,17.698,0.123,15.0,0.758,0.188,0.946,3016.0
30502.0,296.23602,-14.90001, ,17.056,0.024,13.0,16.35,0.016,13.0,16.049,0.034,13.0,0.706,0.301,1.007,3017.0
21882.0,296.23602,-14.66517, ,18.917,0.027,12.0,18.219,0.099,16.0,17.976,0.203,16.0,0.698,0.243,0.941,3018.0
40353.0,296.23602,-14.85512, ,16.828,0.204,32.0,16.333,0.182,34.0,16.175,0.161,33.0,0.495,0.158,0.653,3019.0
20481.0,296.23603,-14.72597, ,17.408,0.027,16.0,16.99,0.025,16.0,16.864,0.096,17.0,0.418,0.126,0.544,3020.0
13260.0,296.23603,-14.83416, ,18.502,0.129,16.0,18.088,0.094,16.0,17.904,0.146,14.0,0.414,0.184,0.598,3021.0
30604.0,296.23605,-14.8699, ,17.705,0.019,13.0,16.98,0.033,14.0,16.783,0.071,13.0,0.725,0.197,0.922,3022.0
10999.0,296.23605,-14.80937, ,17.631,0.066,16.0,16.654,0.042,17.0,16.295,0.047,16.0,0.977,0.359,1.336,3023.0
40354.0,296.23609,-14.85663, ,16.603,0.023,31.0,16.009,0.019,28.0,15.704,0.029,31.0,0.594,0.305,0.899,3024.0
12051.0,296.23611,-14.81751, ,17.895,0.028,15.0,17.145,0.052,17.0,17.046,0.065,13.0,0.75,0.099,0.849,3025.0
10417.0,296.23612,-14.80118, ,16.808,0.022,15.0,15.985,0.008,14.0,15.74,0.023,14.0,0.823,0.245,1.068,3026.0
21836.0,296.23612,-14.68382, ,18.867,0.124,14.0,18.043,0.034,10.0,17.822,0.147,14.0,0.824,0.221,1.045,3027.0
11811.0,296.23614,-14.84047, ,18.24,0.019,11.0,17.363,0.031,14.0,17.142,0.058,15.0,0.877,0.221,1.098,3028.0
40355.0,296.23614,-14.74341, ,17.097,0.044,29.0,16.13,0.021,25.0,15.659,0.034,30.0,0.967,0.471,1.438,3029.0
20922.0,296.23616,-14.73296, ,18.798,0.105,14.0,17.896,0.043,12.0,17.585,0.119,16.0,0.902,0.311,1.213,3030.0
30283.0,296.23617,-14.87849, ,16.691,0.012,13.0,15.872,0.018,15.0,15.628,0.04,14.0,0.819,0.244,1.063,3031.0
40356.0,296.23617,-14.74526, ,17.526,0.097,35.0,16.264,0.067,35.0,15.463,0.046,33.0,1.262,0.801,2.063,3032.0
30596.0,296.2362,-14.87334, ,17.147,0.025,14.0,16.543,0.019,14.0,16.246,0.046,14.0,0.604,0.297,0.901,3033.0
40358.0,296.23621,-14.8494, ,18.04,0.067,31.0,17.13,0.036,28.0,16.892,0.069,28.0,0.91,0.238,1.148,3034.0
40359.0,296.23621,-14.85042, ,18.098,0.063,29.0,17.39,0.058,31.0,17.207,0.074,26.0,0.708,0.183,0.891,3035.0
40357.0,296.23622,-14.74906, ,16.772,0.02,29.0,15.837,0.026,33.0,15.517,0.015,23.0,0.935,0.32,1.255,3036.0
40360.0,296.23623,-14.86609, ,15.717,0.016,23.0,15.31,0.017,25.0,15.217,0.025,25.0,0.407,0.093,0.5,3037.0
21287.0,296.23628,-14.65447, ,18.634,0.049,15.0,17.911,0.067,16.0,17.572,0.101,15.0,0.723,0.339,1.062,3038.0
21405.0,296.23629,-14.75035, ,19.102,0.223,14.0,18.244,0.095,13.0,17.941,0.132,12.0,0.858,0.303,1.161,3039.0
10014.0,296.2363,-14.77737, ,13.782,0.008,17.0,13.253,0.061,18.0,13.217,0.045,13.0,0.529,0.036,0.565,3040.0
12165.0,296.23631,-14.80961, ,18.615,0.023,10.0,17.671,0.069,17.0,17.402,0.141,16.0,0.944,0.269,1.213,3041.0
13477.0,296.23638,-14.81374, ,18.542,0.055,13.0,17.83,0.079,16.0,17.617,0.104,16.0,0.712,0.213,0.925,3042.0
30131.0,296.23638,-14.88751, ,15.627,0.109,14.0,15.168,0.109,15.0,15.017,0.104,14.0,0.459,0.151,0.61,3043.0
21133.0,296.23639,-14.69857, ,18.448,0.108,15.0,17.616,0.064,16.0,17.364,0.07,14.0,0.832,0.252,1.084,3044.0
20159.0,296.2364,-14.64574, ,15.756,0.011,15.0,15.061,0.01,17.0,14.756,0.019,17.0,0.695,0.305,1.0,3045.0
31530.0,296.2364,-14.92525, ,18.925,0.037,11.0,18.026,0.054,12.0,17.806,0.239,14.0,0.899,0.22,1.119,3046.0
40361.0,296.23642,-14.74047, ,14.889,0.017,33.0,14.042,0.015,28.0,13.721,0.028,34.0,0.847,0.321,1.168,3047.0
40362.0,296.23643,-14.85543, ,17.638,0.063,31.0,16.693,0.033,26.0,16.362,0.045,30.0,0.945,0.331,1.276,3048.0
11099.0,296.23643,-14.79799, ,17.511,0.049,17.0,16.598,0.032,17.0,16.187,0.032,15.0,0.913,0.411,1.324,3049.0
11786.0,296.23643,-14.84347, ,18.625,0.045,13.0,17.718,0.047,14.0,17.473,0.041,12.0,0.907,0.245,1.152,3050.0
10298.0,296.23645,-14.83459, ,17.122,0.031,15.0,16.171,0.015,14.0,15.898,0.029,15.0,0.951,0.273,1.224,3051.0
21711.0,296.23647,-14.71282, ,19.083,0.087,14.0,18.116,0.093,16.0,17.882,0.224,16.0,0.967,0.234,1.201,3052.0
10467.0,296.23649,-14.78481, ,16.617,0.021,14.0,15.868,0.023,15.0,15.656,0.03,15.0,0.749,0.212,0.961,3053.0
10865.0,296.23656,-14.8244, ,17.015,0.026,16.0,16.276,0.005,10.0,16.088,0.034,16.0,0.739,0.188,0.927,3054.0
13638.0,296.23656,-14.80066, ,18.957,0.078,14.0,18.127,0.111,17.0,17.807,0.132,14.0,0.83,0.32,1.15,3055.0
12662.0,296.23657,-14.76882, ,18.083,0.094,16.0,17.105,0.022,14.0,16.842,0.075,16.0,0.978,0.263,1.241,3056.0
12333.0,296.23659,-14.79888, ,18.011,0.024,13.0,17.307,0.045,16.0,17.059,0.029,13.0,0.704,0.248,0.952,3057.0
31803.0,296.2366,-14.87498, ,18.673,0.049,10.0,17.882,0.077,15.0,17.605,0.102,12.0,0.791,0.277,1.068,3058.0
12654.0,296.23666,-14.7698, ,18.066,0.07,16.0,17.348,0.045,14.0,17.202,0.102,15.0,0.718,0.146,0.864,3059.0
13550.0,296.23666,-14.80712, ,18.928,0.11,13.0,17.907,0.098,13.0,17.652,0.199,17.0,1.021,0.255,1.276,3060.0
13492.0,296.23669,-14.8122, ,18.818,0.053,14.0,17.895,0.085,18.0,17.81,0.084,13.0,0.923,0.085,1.008,3061.0
31836.0,296.23671,-14.87033, ,18.676,0.088,13.0,18.113,0.16,15.0,17.786,0.075,14.0,0.563,0.327,0.89,3062.0
30221.0,296.23672,-14.92092, ,16.065,0.005,11.0,15.509,0.009,14.0,15.388,0.012,13.0,0.556,0.121,0.677,3063.0
13808.0,296.23672,-14.78679, ,18.804,0.017,10.0,17.939,0.076,15.0,17.693,0.151,14.0,0.865,0.246,1.111,3064.0
10533.0,296.23675,-14.75645, ,16.932,0.032,17.0,16.165,0.026,16.0,15.952,0.037,16.0,0.767,0.213,0.98,3065.0
14053.0,296.23675,-14.76358, ,18.751,0.195,17.0,17.932,0.108,13.0,17.826,0.09,13.0,0.819,0.106,0.925,3066.0
20912.0,296.2368,-14.73392, ,18.382,0.078,14.0,17.582,0.044,12.0,17.356,0.082,14.0,0.8,0.226,1.026,3067.0
11866.0,296.23685,-14.83549, ,18.998,0.077,15.0,17.961,0.066,14.0,17.789,0.15,16.0,1.037,0.172,1.209,3068.0
20636.0,296.23685,-14.67096, ,17.637,0.111,16.0,16.63,0.094,17.0,16.121,0.07,17.0,1.007,0.509,1.516,3069.0
40364.0,296.23688,-14.85045, ,18.307,0.058,27.0,17.632,0.072,27.0,17.461,0.059,22.0,0.675,0.171,0.846,3070.0
31154.0,296.23693,-14.87217, ,18.022,0.038,13.0,17.09,0.039,15.0,16.64,0.032,13.0,0.932,0.45,1.382,3071.0
10156.0,296.23695,-14.81644, ,15.823,0.011,16.0,14.986,0.014,18.0,14.752,0.008,14.0,0.837,0.234,1.071,3072.0
30905.0,296.23697,-14.91426, ,17.553,0.03,13.0,16.935,0.045,15.0,16.638,0.03,11.0,0.618,0.297,0.915,3073.0
21261.0,296.23698,-14.66422, ,18.513,0.078,14.0,17.615,0.036,13.0,17.287,0.047,13.0,0.898,0.328,1.226,3074.0
14117.0,296.23702,-14.75685, ,18.938,0.109,16.0,18.032,0.085,14.0,17.829,0.218,17.0,0.906,0.203,1.109,3075.0
20519.0,296.23703,-14.71761, ,17.718,0.028,14.0,16.991,0.03,15.0,16.783,0.044,12.0,0.727,0.208,0.935,3076.0
12316.0,296.23705,-14.79955, ,18.157,0.105,17.0,17.552,0.025,12.0,17.365,0.163,17.0,0.605,0.187,0.792,3077.0
