RA (deg),DE (deg),RUWE,JmagUKIRT,e_JmagUKIRT,HmagUKIRT,e_HmagUKIRT,KmagUKIRT,e_KmagUKIRT,JmagVHS,e_JmagVHS,KsmagVHS,e_KsmagVHS,IRAC1,e_IRAC1,dIRAC1,IRAC2,e_IRAC2,dIRAC2,l_IRAC3,IRAC3,e_IRAC3,dIRAC3,l_IRAC4,IRAC4,e_IRAC4,dIRAC4,l_MIPS24,MIPS24,e_MIPS24,JU,KU,J-K
296.194,-14.778,0.976,16.289,0.014,15.607,0.011,15.469,0.012,16.45,0.016,15.432,0.027,15.23,0.04,0.03,15.19,0.04,-0.04, ,15.03,0.05,-0.01, ,15.17,0.09,0.15, ,12.24,0.2,16.089,15.399,0.69
296.196,-14.774,1.053,15.955,0.012,15.243,0.008,15.047,0.009,16.121,0.012,15.083,0.02,14.86,0.04,-0.05,14.96,0.04,-0.05, ,14.95,0.05,0.03, ,14.8,0.07,0.05,>,12.19,0,15.755,14.977,0.778
296.196,-14.585,1.033,14.781,0.005,14.023,0.003,13.823,0.004,      ,      ,      ,      ,     ,     ,     ,     ,     ,     , ,     ,     ,     , ,     ,     ,     , ,     ,     ,14.581,13.753,0.828
296.198,-14.716,1.08,      ,      ,      ,      ,      ,      ,16.442,0.016,15.322,0.025,     ,     ,     ,     ,     ,     , ,     ,     ,     , ,     ,     ,     , ,     ,     ,,,
296.198,-14.736,1.171,15.969,0.012,15.169,0.008,14.974,0.009,16.177,0.013,14.974,0.019,15,0.04,0.06,14.97,0.09,-0.04, ,15,0.12,0.13, ,15.15,0.09,0.19,>,11.5,0,15.769,14.904,0.865
296.198,-14.871,1.093,15.352,0.008,14.582,0.005,14.391,0.006,15.5,0.007,14.441,0.011,14.24,0.03,-0.04,14.34,0.05,-0.06, ,14.47,0.06,0.04, ,14.39,0.05,-0.1, ,10.81,0.1,15.152,14.321,0.831
296.199,-14.792,1.053,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,14.66,0.09,0.15,14.87,0.05,0.29, ,14.69,0.06,0.08, ,14.8,0.08,0.3,>,13.48,0,,,
296.199,-14.848,1.044,14.191,0.004,13.466,0.003,13.224,0.003,14.384,0.003,13.285,0.004,13.01,0.05,-0.03,12.91,0.06,-0.08, ,12.69,0.04,0.05, ,12.45,0.03,0.03, ,11.41,0.15,13.991,13.154,0.837
296.2,-14.869,1.029,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,16.87,0.05,0.5,16.89,0.07,0.56, ,16.13,0.08,-0.15,>,16.27,0,0,>,11.78,0,,,
296.2,-14.755,0.928,14.84,0.006,14.151,0.004,13.959,0.005,14.958,0.005,13.904,0.007,13.79,0.08,-0.07,13.9,0.05,-0.07, ,13.77,0.03,-0.03, ,13.78,0.04,-0.05,>,12.02,0,14.64,13.889,0.751
296.201,-14.851,0.941,16.099,0.013,15.411,0.009,15.248,0.011,16.248,0.014,15.25,0.023,15.11,0.05,-0.07,15.38,0.06,0, ,15.41,0.11,0.09, ,15.23,0.07,-0.12,>,12.53,0,15.899,15.178,0.721
296.204,-14.858,0.967,16.876,0.022,16.187,0.017,16.046,0.019,16.976,0.026,16.04,0.046,15.92,0.04,0,15.99,0.04,-0.04, ,15.72,0.06,-0.27, ,15.69,0.1,0,>,12.15,0,16.676,15.976,0.7
296.204,-14.635,0.93,15.991,0.011,15.24,0.007,15.03,0.008,16.713,0.021,15.696,0.035,     ,     ,     ,     ,     ,     , ,     ,     ,     , ,     ,     ,     , ,     ,     ,15.791,14.96,0.831
296.207,-14.891,1.033,16.185,0.013,15.499,0.01,15.377,0.012,16.361,0.015,15.464,0.028,15.23,0.05,-0.03,15.43,0.06,0.04, ,15.19,0.08,-0.31, ,15.25,0.11,-0.18,>,12.24,0,15.985,15.307,0.678
296.208,-14.726,1.115,13.963,0.004,13.179,0.002,12.871,0.003,13.887,0.002,12.681,0.003,12.47,0.03,0,12.49,0.06,-0.05, ,12.22,0.07,0.01, ,11.95,0.03,0.06, ,10.01,0.08,13.763,12.801,0.962
296.208,-14.846,1.063,16.39,0.016,15.74,0.012,15.613,0.014,16.529,0.017,15.581,0.031,15.54,0.05,0.45,15.59,0.05,0.42, ,15.55,0.13,0.47, ,15.04,0.1,0.02,>,12.53,0,16.19,15.543,0.647
296.209,-14.739,0.984,16.978,0.024,16.198,0.017,16.064,0.019,      ,      ,      ,      ,     ,     ,     ,     ,     ,     , ,     ,     ,     , ,     ,     ,     , ,     ,     ,16.778,15.994,0.784
296.209,-14.742,1.054,17.392,0.033,16.744,0.027,16.576,0.029,17.556,0.044,16.65,0.084,16.41,0.05,-0.01,16.57,0.04,0.06, ,16.08,0.08,-0.43, ,16.6,0.25,0,>,12.47,0,17.192,16.506,0.686
296.209,-14.75,0.935,17.413,0.033,16.785,0.028,16.698,0.032,17.43,0.039,16.613,0.081,16.56,0.03,-0.01,16.66,0.05,0.05, ,16.22,0.11,-0.58, ,16.1,0.2,0,>,12.47,0,17.213,16.628,0.585
296.209,-14.756,1.033,      ,      ,      ,      ,      ,      ,17.082,0.029,16.251,0.058,16.1,0.03,-0.01,16.03,0.05,-0.13, ,16.27,0.1,-0.09, ,16.31,0.18,0,>,12.86,0,,,
296.21,-14.736,1.095,14.924,0.006,14.217,0.004,14.061,0.005,15.121,0.005,14.059,0.008,14.02,0.05,-0.01,14.08,0.05,-0.01, ,14.06,0.04,-0.06, ,13.84,0.04,-0.09,>,11.92,0,14.724,13.991,0.733
296.211,-14.801,1.055,15.572,0.009,14.87,0.007,14.722,0.007,15.713,0.009,14.725,0.014,14.49,0.05,-0.04,14.59,0.03,-0.04, ,14.58,0.04,-0.1, ,14.58,0.06,0.16,>,12.69,0,15.372,14.652,0.72
296.211,-14.771,1.076,15.603,0.009,14.92,0.007,14.734,0.007,15.793,0.009,14.741,0.015,14.52,0.06,-0.06,14.63,0.06,-0.08, ,14.58,0.08,-0.11, ,14.54,0.05,-0.13, ,12.24,0.11,15.403,14.664,0.739
