RA (deg),DE (deg),RUWE,JmagUKIRT,e_JmagUKIRT,HmagUKIRT,e_HmagUKIRT,KmagUKIRT,e_KmagUKIRT,JmagVHS,e_JmagVHS,KsmagVHS,e_KsmagVHS,IRAC1,e_IRAC1,dIRAC1,IRAC2,e_IRAC2,dIRAC2,l_IRAC3,IRAC3,e_IRAC3,dIRAC3,l_IRAC4,IRAC4,e_IRAC4,dIRAC4,l_MIPS24,MIPS24,e_MIPS24,JU,KU,J-K
296.338,-14.985,0.905,15.419,0.008,14.755,0.005,14.617,0.007,15.576,0.008,14.659,0.014,     ,     ,     ,     ,     ,     , ,     ,     ,     , ,     ,     ,     , ,     ,     ,15.219,14.547,0.672
296.34,-14.929,0.947,16.382,0.014,15.764,0.011,15.603,0.013,16.47,0.016,15.642,0.033,15.5,0.04,-0.02,15.61,0.05,-0.05, ,15.62,0.07,0.16, ,15.22,0.11,0,>,12.89,0,16.182,15.533,0.649
296.344,-14.791,1.046,17.616,0.032,17.026,0.028,16.928,0.037,17.869,0.057,16.973,0.109,16.61,0.03,-0.13,16.61,0.06,-0.15, ,16.48,0.06,-0.24, ,15.86,0.1,0.25,>,12.37,0,17.416,16.858,0.558
296.349,-14.936,1.019,15.459,0.008,14.623,0.005,14.442,0.006,15.81,0.009,14.516,0.012,     ,     ,     ,     ,     ,     , ,     ,     ,     , ,     ,     ,     , ,     ,     ,15.259,14.372,0.887
296.363,-14.877,1.078,17.001,0.021,16.36,0.017,16.179,0.02,17.093,0.029,16.147,0.051,16.04,0.05,-0.05,16.1,0.06,-0.1, ,15.94,0.05,-0.78, ,15.72,0.14,0.08,>,12.91,0,16.801,16.109,0.692
296.366,-14.95,0.977,17.172,0.025,16.57,0.018,16.433,0.025,17.296,0.035,16.528,0.071,     ,     ,     ,     ,     ,     , ,     ,     ,     , ,     ,     ,     , ,     ,     ,16.972,16.363,0.609
296.366,-14.785,0.962,      ,      ,      ,      ,      ,      ,18.122,0.073,16.964,0.106,15.76,0.05,-0.04,15.2,0.06,-0.07, ,14.38,0.05,-0.03, ,13.51,0.05,0.02, ,10.98,0.08,,,
296.369,-14.952,0.955,17.236,0.026,16.593,0.019,16.486,0.026,17.412,0.039,16.542,0.072,     ,     ,     ,     ,     ,     , ,     ,     ,     , ,     ,     ,     , ,     ,     ,17.036,16.416,0.62
296.377,-14.817,0.923,16.555,0.015,15.897,0.012,15.777,0.015,16.641,0.019,15.754,0.035,15.62,0.06,-0.07,15.65,0.06,-0.09, ,15.49,0.07,-0.1, ,15.16,0.06,-0.51, ,12.06,0.26,16.355,15.707,0.648
296.377,-14.744,1.2,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,15.34,0.07,0.48,15.43,0.08,0.69, ,14.76,0.07,0.07, ,15.01,0.07,0.22, ,11.12,0.11,,,
296.379,-14.846,1.023,17.544,0.031,16.785,0.023,16.693,0.03,17.633,0.046,16.665,0.081,16.43,0.06,0.01,16.51,0.04,0.03, ,16.38,0.08,0, ,15.7,0.09,0, ,12.54,0.29,17.344,16.623,0.721
296.38,-14.835,1.099,16.479,0.015,15.839,0.011,15.694,0.014,16.551,0.018,15.633,0.032,15.66,0.04,-0.04,15.55,0.06,-0.09, ,15.62,0.08,-0.1, ,15.67,0.12,-0.22,>,12.36,0,16.279,15.624,0.655
296.389,-14.773,1.091,16.508,0.015,15.76,0.011,15.621,0.013,16.616,0.019,15.667,0.032,15.38,0.08,-0.06,15.48,0.06,-0.08, ,15.37,0.08,0.26, ,15.46,0.19,0,>,12.58,0,16.308,15.551,0.757
296.39,-14.985,0.97,15.69,0.01,14.991,0.006,14.836,0.008,15.843,0.01,14.885,0.016,     ,     ,     ,     ,     ,     , ,     ,     ,     , ,     ,     ,     , ,     ,     ,15.49,14.766,0.724
296.422,-14.924,0.978,17.016,0.021,16.251,0.016,16.168,0.02,      ,      ,      ,      ,     ,     ,     ,     ,     ,     , ,     ,     ,     , ,     ,     ,     , ,     ,     ,16.816,16.098,0.718
296.431,-14.826,1.022,15.888,0.01,15.094,0.007,14.946,0.008,      ,      ,      ,      ,14.81,0.07,-0.03,14.87,0.09,-0.07, ,14.9,0.1,-0.07, ,14.97,0.15,0.3,>,12.38,0,15.688,14.876,0.812
296.434318,-14.931504,1.054,14.341,0.004,13.622,0.003,13.515,0.003,      ,      ,      ,      ,     ,     ,     ,     ,     ,     , ,     ,     ,     , ,     ,     ,     , ,     ,     ,14.141,13.445,0.696
296.457088,-14.517946,1.14,16.296,0.013,15.551,0.01,15.401,0.01,16.415,0.015,15.419,0.025,     ,     ,     ,     ,     ,     , ,     ,     ,     , ,     ,     ,     , ,     ,     ,16.096,15.331,0.765
