_RAJ2000(deg),_DEJ2000(deg),RAJ2000(deg),DEJ2000(deg),JmagUKIRT(mag),e_JmagUKIRT(mag),HmagUKIRT(mag),e_HmagUKIRT(mag),KmagUKIRT(mag),e_KmagUKIRT(mag)
295.90249611,-14.61459389,295.902496,-14.614594,17.386,0.033,16.834,0.023,16.813,0.031
295.90258806,-14.5053,295.902588,-14.5053,17.193,0.028,16.854,0.023,16.798,0.031
295.90267889,-14.92680306,295.902679,-14.926803,16.725,0.022,16.28,0.018,16.236,0.021
295.90271,-14.86955806,295.90271,-14.869558,18.325,0.077,17.922,0.071,17.669,0.07
295.90271,-14.98524806,295.90271,-14.985248,18.996,0.116,18.453,0.124,18.066,0.111
295.90277111,-14.75418111,295.902771,-14.754181,19.361,0.185,18.4,0.108,18.566,0.152
295.90277111,-14.9201,295.902771,-14.9201,16.077,0.014,15.544,0.01,15.317,0.011
295.90277111,-15.07947694,295.902771,-15.079477,18.677,0.088,18.158,0.093,17.897,0.093
295.90277111,-15.08687194,295.902771,-15.086872,15.944,0.011,15.628,0.011,15.532,0.014
295.90280194,-14.64871111,295.902802,-14.648711,18.368,0.074,17.987,0.062,17.937,0.081
295.90283194,-14.58132694,295.902832,-14.581327,18.748,0.101,18.538,0.098,18.416,0.121
295.90283194,-14.60317194,295.902832,-14.603172,18.646,0.093,17.993,0.062,17.89,0.078
295.90283194,-14.93673611,295.902832,-14.936736,16.692,0.021,16.332,0.018,16.261,0.022
295.90286306,-14.84232389,295.902863,-14.842324,18.101,0.064,17.44,0.046,17.459,0.059
295.90289306,-14.80345806,295.902893,-14.803458,18.194,0.07,17.503,0.049,17.29,0.052
295.90289306,-15.07320306,295.902893,-15.073203,19.316,0.149,18.756,0.155,18.436,0.148
295.90292389,-14.634425,295.902924,-14.634425,19.221,0.15,18.513,0.096,18.164,0.098
295.90295389,-14.58757194,295.902954,-14.587572,19.35,0.167,18.901,0.134,18.723,0.157
295.902985,-14.57884694,295.902985,-14.578847,15.907,0.011,15.459,0.008,15.397,0.011
295.903015,-14.74683694,295.903015,-14.746837,15.383,0.009,15.02,0.007,14.924,0.008
295.90304611,-15.09286389,295.903046,-15.092864,15.151,0.007,14.784,0.006,14.716,0.008
295.90316806,-14.66605806,295.903168,-14.666058,16.199,0.014,15.725,0.01,15.657,0.013
295.90325889,-14.91879194,295.903259,-14.918792,14.453,0.005,13.959,0.003,13.866,0.004
295.90325889,-15.126125,295.903259,-15.126125,14.161,0.004,13.889,0.003,13.827,0.005
295.90329,-14.51878111,295.90329,-14.518781,18.887,0.112,18.36,0.084,18.283,0.108
295.90329,-15.08109194,295.90329,-15.081092,16.479,0.016,15.909,0.014,15.728,0.016
295.90335111,-14.65745306,295.903351,-14.657453,17.534,0.037,17.018,0.027,17.07,0.039
295.90335111,-14.76141389,295.903351,-14.761414,19.26,0.17,18.425,0.11,18.336,0.125
295.90335111,-15.00393,295.903351,-15.00393,15.606,0.009,15.164,0.008,15.082,0.01
295.90341194,-15.12705306,295.903412,-15.127053,15.584,0.009,15.219,0.008,15.135,0.01
295.90344194,-14.93182611,295.903442,-14.931826,15.539,0.01,15.299,0.008,15.282,0.011
295.90344194,-15.06510806,295.903442,-15.065108,18.229,0.06,17.744,0.064,17.823,0.088
295.90344194,-15.11650611,295.903442,-15.116506,18.85,0.101,18.208,0.098,18.04,0.107
295.90356389,-14.80535889,295.903564,-14.805359,16.446,0.018,16.113,0.015,16.047,0.019
295.903595,-14.79131111,295.903595,-14.791311,18.057,0.062,17.132,0.036,17.039,0.042
295.903625,-14.53943111,295.903625,-14.539431,18.435,0.077,17.933,0.058,17.614,0.061
295.90365611,-14.78803306,295.903656,-14.788033,19.07,0.145,18.344,0.102,18.229,0.115
295.90365611,-14.89272194,295.903656,-14.892722,15.082,0.007,14.791,0.006,14.745,0.007
295.90368694,-14.85758389,295.903687,-14.857584,18.206,0.07,17.851,0.066,17.669,0.07
295.90371694,-14.59786,295.903717,-14.59786,17.844,0.047,17.458,0.039,17.39,0.051
295.90374806,-14.60490611,295.903748,-14.604906,18.9,0.115,18.343,0.083,18.609,0.143
295.90374806,-14.96820306,295.903748,-14.968203,16.907,0.022,16.457,0.022,16.201,0.023
295.90380889,-14.64351111,295.903809,-14.643511,18.036,0.056,17.335,0.035,17.187,0.043
295.90380889,-14.700675,295.903809,-14.700675,14.658,0.005,14.29,0.004,14.238,0.005
295.90387,-15.00031389,295.90387,-15.000314,18.512,0.077,17.825,0.07,17.763,0.085
295.90393111,-14.62717,295.903931,-14.62717,19.639,0.213,18.79,0.122,18.747,0.161
295.90393111,-15.12070611,295.903931,-15.120706,17.29,0.028,16.832,0.03,16.725,0.035
295.90402194,-15.10100806,295.904022,-15.101008,17.546,0.035,16.925,0.032,16.715,0.035
295.90408306,-15.03296694,295.904083,-15.032967,18.005,0.051,17.358,0.047,17.207,0.053
295.90411389,-15.12783611,295.904114,-15.127836,16.7,0.018,16.338,0.02,16.256,0.024
