Id-main,Ra(J2000) deg,Dec(J2000) deg,J,eJ,H,eH,Ks,eKs,Types,DCG,Catalog
,296.436554,-14.743853,17.45,,16.68,,16.56,,C,0.214493264,Sibbons
,296.485382,-14.756809,16.74,,15.93,,15.63,,C,0.259292258,Sibbons
,296.131714,-14.759347,17.37,,16.47,,16.18,,C,0.107011093,Sibbons
,296.112915,-14.776258,17.35,,16.46,,15.92,,C,0.119810963,Sibbons
,296.152313,-14.788395,17.14,,16.3,,15.98,,C,0.078813042,Sibbons
,296.283356,-14.789384,17.47,,16.75,,16.45,,C,0.054752247,Sibbons
,296.374786,-14.798067,17.73,,16.79,,16.55,,C,0.144830823,Sibbons
,296.170349,-14.798781,17.4,,16.44,,15.76,,C,0.059720919,Sibbons
,296.073059,-14.801702,17.62,,16.74,,16.46,,C,0.156941003,Sibbons
,296.160095,-14.802064,17.38,,16.61,,16.35,,C,0.06990611,Sibbons
,296.338257,-14.808908,17.41,,16.5,,16.05,,C,0.108498694,Sibbons
,296.100708,-14.828527,16.72,,15.96,,15.64,,C,0.132051958,Sibbons
,296.129822,-14.832311,17.56,,16.74,,16.49,,C,0.10475926,Sibbons
,296.084503,-14.832314,17.5,,16.6,,16.15,,C,0.148689044,Sibbons
,296.434357,-14.834667,17.48,,16.72,,16.32,,C,0.20700383,Sibbons
,296.30838,-14.840508,17.25,,16.46,,16.08,,C,0.087474651,Sibbons
,296.173828,-14.855554,17.84,,16.97,,16.65,,C,0.077838159,Sibbons
,296.080383,-14.858717,16.31,,15.7,,15.29,,C,0.160123724,Sibbons
,296.28244,-14.868937,17.48,,16.72,,16.55,,C,0.085292455,Sibbons
,296.236908,-14.87212,18.02,,17.07,,16.82,,C,0.070787873,Sibbons
,296.096558,-14.8814,17.98,,17.19,,17.03,,C,0.155446583,Sibbons
,296.261414,-14.883708,17.94,,17.07,,16.79,,C,0.087846872,Sibbons
,296.431213,-14.889406,17.33,,16.48,,16.18,,C,0.219509173,Sibbons
,296.163086,-14.894488,16.75,,15.88,,15.44,,C,0.114423182,Sibbons
,296.118591,-14.89873,16.89,,16.03,,15.73,,C,0.147758617,Sibbons
,296.251007,-14.9064,17.96,,17.09,,16.77,,C,0.106816043,Sibbons
,296.35376,-14.912353,17.22,,16.35,,15.96,,C,0.166033925,Sibbons
,296.223907,-14.922441,17.22,,16.33,,15.81,,C,0.120924601,Sibbons
,296.332458,-14.951111,17.76,,16.91,,16.48,,C,0.181191209,Sibbons
,296.034485,-14.951339,17.57,,16.71,,16.39,,C,0.246225354,Sibbons
,296.345795,-14.960103,16.91,,16.07,,15.72,,C,0.196238369,Sibbons
,296.33786,-14.988564,16.73,,15.73,,15.19,,C,0.215784955,Sibbons
