Mid,Id-main,Ra(J2000) deg,Dec(J2000) deg,J,eJ,H,eH,Ks,eKs,Types
137,,296.096558,-14.8814,17.98,,17.19,,17.03,,C
138,,296.261414,-14.883708,17.94,,17.07,,16.79,,C
139,,296.431213,-14.889406,17.33,,16.48,,16.18,,C
140,,296.163086,-14.894488,16.75,,15.88,,15.44,,C
141,,296.118591,-14.89873,16.89,,16.03,,15.73,,C
142,,296.251007,-14.9064,17.96,,17.09,,16.77,,C
143,,296.35376,-14.912353,17.22,,16.35,,15.96,,C
144,,296.223907,-14.922441,17.22,,16.33,,15.81,,C
145,,296.332458,-14.951111,17.76,,16.91,,16.48,,C
146,,296.034485,-14.951339,17.57,,16.71,,16.39,,C
147,,296.345795,-14.960103,16.91,,16.07,,15.72,,C
148,,296.33786,-14.988564,16.73,,15.73,,15.19,,C
149,,296.281311,-14.988667,17.16,,16.35,,16.07,,C
150,,296.204498,-14.674287,18.32,,17.55,,17.28,,C
151,,296.247101,-14.722958,18.13,,17.27,,17.03,,C
152,,296.244446,-14.75467,17.25,,16.49,,16.22,,C
153,,296.350891,-14.757086,16.98,,16.22,,15.85,,C
154,,296.234558,-14.767653,16.96,,16.04,,15.62,,C
155,,296.290405,-14.774523,17.63,,16.84,,16.69,,C
156,,296.278412,-14.780069,17.65,,16.54,,15.76,,C
157,,296.352264,-14.780713,17.09,,16.3,,15.76,,C
158,,296.229034,-14.781347,17.61,,16.51,,15.94,,C
159,,296.213776,-14.783867,17.89,,17.08,,16.72,,C
160,,296.257843,-14.793209,17.91,,17.14,,16.88,,C
161,,296.208191,-14.797331,17.67,,16.91,,16.45,,C
162,,296.184326,-14.799191,17.83,,17.03,,16.78,,C
163,,296.274109,-14.800164,17.57,,16.75,,16.4,,C
164,,296.251343,-14.803117,17.41,,16.5,,16.15,,C
165,,296.191315,-14.818703,16.95,,16.05,,15.64,,C   
166,,296.212616,-14.82485,17.39,,16.56,,16.25,,C   
167,,296.182983,-14.828946,17.6,,16.81,,16.58,,C   
168,,296.233093,-14.830748,17.39,,16.6,,16.31,,C   
