#,Id-main,Ra(J2000) deg,Dec(J2000) deg,J,eJ,H,eH,Ks,eKs,Types,DCG
105,,296.233887,-14.671288,17.14,,16.26,,16.01,,C,0.1304399275260435
106,,295.968842,-14.682981,16.82,,16.02,,15.68,,C,0.28686334670886765
107,,296.259827,-14.684196,17.31,,16.47,,16.21,,C,0.12120144638162209
108,,296.411377,-14.685686,17.47,,16.58,,16.11,,C,0.21529027935556908
109,,296.156006,-14.687428,17.31,,16.25,,15.68,,C,0.1361115226569883
110,,296.179413,-14.688039,17.24,,16.35,,16.08,,C,0.12438267053734091
111,,296.248596,-14.689795,17.26,,16.43,,16.11,,C,0.11340999444934284
112,,295.969452,-14.694445,17.32,,16.4,,16.13,,C,0.2817489324363355
113,,296.350922,-14.720666,17.05,,16.13,,15.75,,C,0.1455464808918504
114,,296.375854,-14.73088,16.15,,15.33,,15.03,,C,0.1621253015910708
115,,296.436554,-14.743853,17.45,,16.68,,16.56,,C,0.2144932642415442
116,,296.485382,-14.756809,16.74,,15.93,,15.63,,C,0.25929225835916997
117,,296.131714,-14.759347,17.37,,16.47,,16.18,,C,0.10701109346701342
118,,296.112915,-14.776258,17.35,,16.46,,15.92,,C,0.11981096347583271
119,,296.152313,-14.788395,17.14,,16.3,,15.98,,C,0.07881304202988243
120,,296.283356,-14.789384,17.47,,16.75,,16.45,,C,0.05475224682148522
121,,296.374786,-14.798067,17.73,,16.79,,16.55,,C,0.14483082339400885
122,,296.170349,-14.798781,17.4,,16.44,,15.76,,C,0.05972091862993794
123,,296.073059,-14.801702,17.62,,16.74,,16.46,,C,0.15694100326239
124,,296.160095,-14.802064,17.38,,16.61,,16.35,,C,0.06990611032664305
125,,296.338257,-14.808908,17.41,,16.5,,16.05,,C,0.10849869442991374
126,,296.100708,-14.828527,16.72,,15.96,,15.64,,C,0.13205195838383227
127,,296.129822,-14.832311,17.56,,16.74,,16.49,,C,0.10475926004418745
128,,296.084503,-14.832314,17.5,,16.6,,16.15,,C,0.14868904379613868
129,,296.434357,-14.834667,17.48,,16.72,,16.32,,C,0.207003829573231
130,,296.30838,-14.840508,17.25,,16.46,,16.08,,C,0.08747465143684258
131,,296.173828,-14.855554,17.84,,16.97,,16.65,,C,0.07783815927936899
132,,296.080383,-14.858717,16.31,,15.7,,15.29,,C,0.1601237237201611
133,,296.28244,-14.868937,17.48,,16.72,,16.55,,C,0.08529245505318218
134,,296.236908,-14.87212,18.02,,17.07,,16.82,,C,0.07078787300096168
135,,296.096558,-14.8814,17.98,,17.19,,17.03,,C,0.15544658331401354
136,,296.261414,-14.883708,17.94,,17.07,,16.79,,C,0.08784687154360765
137,,296.431213,-14.889406,17.33,,16.48,,16.18,,C,0.2195091730771135
138,,296.163086,-14.894488,16.75,,15.88,,15.44,,C,0.11442318174216194
139,,296.118591,-14.89873,16.89,,16.03,,15.73,,C,0.14775861694333936
140,,296.251007,-14.9064,17.96,,17.09,,16.77,,C,0.1068160425638391
141,,296.35376,-14.912353,17.22,,16.35,,15.96,,C,0.16603392451243523
142,,296.223907,-14.922441,17.22,,16.33,,15.81,,C,0.12092460084697465
143,,296.332458,-14.951111,17.76,,16.91,,16.48,,C,0.1811912090720486
144,,296.034485,-14.951339,17.57,,16.71,,16.39,,C,0.2462253536620477
145,,296.345795,-14.960103,16.91,,16.07,,15.72,,C,0.19623836911775985
146,,296.33786,-14.988564,16.73,,15.73,,15.19,,C,0.21578495507331252
147,,296.281311,-14.988667,17.16,,16.35,,16.07,,C,0.19390899084364235
148,,296.204498,-14.674287,18.32,,17.55,,17.28,,C,0.12991066427742137
149,,296.247101,-14.722958,18.13,,17.27,,17.03,,C,0.08054826593415174
150,,296.244446,-14.75467,17.25,,16.49,,16.22,,C,0.049169979825080756
151,,296.350891,-14.757086,16.98,,16.22,,15.85,,C,0.12885017243680055
152,,296.234558,-14.767653,16.96,,16.04,,15.62,,C,0.034321008915819996
153,,296.290405,-14.774523,17.63,,16.84,,16.69,,C,0.06622479621712943
154,,296.278412,-14.780069,17.65,,16.54,,15.76,,C,0.05301249800753165
155,,296.352264,-14.780713,17.09,,16.3,,15.76,,C,0.12404709406105943
156,,296.229034,-14.781347,17.61,,16.51,,15.94,,C,0.020345945173424286
157,,296.213776,-14.783867,17.89,,17.08,,16.72,,C,0.02408661422866836
158,,296.257843,-14.793209,17.91,,17.14,,16.88,,C,0.029100191923729177
159,,296.208191,-14.797331,17.67,,16.91,,16.45,,C,0.02223644310587511
160,,296.184326,-14.799191,17.83,,17.03,,16.78,,C,0.04574122557389319
161,,296.274109,-14.800164,17.57,,16.75,,16.4,,C,0.04413470195888116
162,,296.251343,-14.803117,17.41,,16.5,,16.15,,C,0.021391995185117096
163,,296.191315,-14.818703,16.95,,16.05,,15.64,,C   ,0.042268810179650916
164,,296.212616,-14.82485,17.39,,16.56,,16.25,,C   ,0.028974400011039857
165,,296.182983,-14.828946,17.6,,16.81,,16.58,,C   ,0.054356034301664545
166,,296.233093,-14.830748,17.39,,16.6,,16.31,,C   ,0.02924203708704091
167,,296.241516,-14.846167,18.41,,17.3,,16.36,,C   ,0.0459630423818891
168,,296.234772,-14.862573,17.71,,16.99,,16.68,,C   ,0.06108966682672275
169,,296.153625,-14.886689,18.0,,17.21,,16.92,,C   ,0.11428635520483826
170,,296.183685,-14.962144,18.24,,17.33,,16.82,,C   ,0.16702390218468596
171,,296.190338,-14.641755,17.59,,16.78,,16.4,,C   ,0.164760072435653
172,,296.32608,-14.666169,17.58,,16.8,,16.51,,C   ,0.1661080594101158
173,,296.335388,-14.681108,18.39,,17.51,,17.1,,C   ,0.16013065411719563
174,,296.539612,-14.704988,17.59,,16.48,,15.73,,C   ,0.3243562850754928
175,,296.099152,-14.708244,17.48,,16.63,,16.27,,C   ,0.16077815952424518
176,,296.374054,-14.711063,17.55,,16.85,,16.52,,C   ,0.17017985593187904
177,,296.075775,-14.711885,18.14,,17.39,,17.1,,C   ,0.17845642843562354
178,,296.341431,-14.712852,17.32,,16.39,,15.85,,C   ,0.1424973855374053
179,,296.110779,-14.725801,17.15,,16.18,,15.45,,C   ,0.1413143729491416
180,,295.977081,-14.726664,17.58,,16.77,,16.22,,C   ,0.26380659695506115
181,,296.08786,-14.740214,17.23,,18.14,,15.9,,C   ,0.15485677103701806
182,,296.171387,-14.745203,18.02,,17.23,,16.97,,C   ,0.08138799578564553
183,,296.342804,-14.764064,18.2,,17.41,,17.02,,C   ,0.11890733220452025
184,,296.106384,-14.767224,17.62,,16.8,,16.58,,C   ,0.1283255328140373
185,,296.304626,-14.767883,17.76,,17.03,,16.59,,C   ,0.08191825953348267
186,,296.333038,-14.770712,18.24,,17.51,,17.25,,C   ,0.10758822987666321
187,,296.162018,-14.82305,17.45,,16.64,,16.28,,C   ,0.0712646947934528
188,,296.167816,-14.842195,17.72,,16.99,,16.6,,C   ,0.07422348335264452
189,,296.066071,-14.844581,17.44,,16.78,,16.3,,C   ,0.16945226750326683
190,,296.364624,-14.865284,17.45,,16.57,,16.19,,C   ,0.14889715367324224
191,,296.297241,-14.869897,17.49,,16.7,,16.21,,C   ,0.09579287870189324
192,,296.207458,-14.896397,17.39,,16.58,,16.2,,C   ,0.09737220493037071
193,,296.368011,-14.913227,16.96,,15.87,,15.15,,C   ,0.1774598556575585
194,,296.08905,-14.945495,18.64,,     ,,15.9,,C   ,0.20137659527613666
195,,296.06134,-14.955141,18.23,,17.2,,17.1,,C   ,0.22803408394583297
196,,295.969788,-14.97507,17.69,,16.93,,16.6,,C   ,0.3126944913873809
197,,296.090485,-15.010141,18.2,,16.77,,16.74,,C   ,0.25084774877603605
198,,295.9715833,-14.87727778,17.725,,,,15.896,,C,0.26925030591517884
199,,295.9795,-14.88288889,17.659,,,,15.924,,C,0.263337726300002
200,,295.9872917,-14.71725,17.919,,,,15.837,,C,0.2569709230416777
201,,296.0039167,-14.86283333,18.406,,,,16.695,,C,0.23421061349902889
202,,296.0052083,-14.88833333,16.932,,,,15.307,,C,0.24091874388596357
203,,296.0104583,-14.74452778,16.983,,,,15.361,,C,0.2268563231330222
204,,296.01275,-14.74005556,17.553,,,,15.745,,C,0.2258182935825372
205,,296.0195,-14.78566667,17.926,,,,16.385,,C,0.21110745266593325
206,,296.0288333,-14.90255556,17.471,,,,15.156,,C,0.22504652275789877
207,,296.0429167,-14.78219444,17.033,,,,15.322,,C,0.18809428108323406
208,,296.048125,-14.89977778,17.64,,,,15.913,,C,0.2066486199361741
209,,296.0512083,-14.72680556,17.588,,,,15.526,,C,0.19383280518378562
210,,296.0512917,-14.86669444,17.677,,,,15.785,,C,0.1901705400061158
211,,296.053,-14.92319444,17.944,,,,16.189,,C,0.21470256057467269
212,,296.0642083,-14.73602778,17.69,,,,15.998,,C,0.17831373709116805
213,,296.0672917,-14.90311111,18.114,,,,16.186,,C,0.19174016190388615
214,,296.0719583,-14.84902778,17.452,,,,15.915,,C,0.16498466069735815
215,,296.0726667,-14.85652778,17.853,,,,16.275,,C,0.16662275749554736
216,,296.076875,-14.878,17.83,,,,16.111,,C,0.17109510374354375
217,,296.0774167,-14.78311111,17.557,,,,15.866,,C,0.15370782620583484
218,,296.0783333,-14.78972222,17.493,,,,15.54,,C,0.1521365746157866
219,,296.0819167,-14.75133333,17.459,,,,15.951,,C,0.1564047444471483
220,,296.0848333,-14.78113889,17.931,,,,16.142,,C,0.14661138177755287
221,,296.0854167,-14.8265,18.069,,,,16.191,,C,0.14669989617888748
222,,296.0927917,-14.89219444,17.852,,,,15.69,,C,0.16438002258852236
223,,296.1002083,-14.78658333,17.618,,,,15.548,,C,0.13066557695345205
224,,296.103625,-14.72475,17.362,,,,15.267,,C,0.1479436616587506
225,,296.1045,-14.84272222,18.09,,,,15.562,,C,0.13204368507028189
226,,296.106625,-14.87427778,17.896,,,,16.268,,C,0.14315474264421316
227,,296.1095,-14.93286111,17.901,,,,15.859,,C,0.17813297657376706
228,,296.1097083,-14.74066667,17.474,,,,15.91,,C,0.13487586648462307
229,,296.111,-14.85966667,17.429,,,,15.315,,C,0.13238056402318116
230,,296.1127917,-14.86825,17.534,,,,15.622,,C,0.13479867205908852
231,,296.1151667,-14.76961111,17.448,,,,15.497,,C,0.11922440696825495
232,,296.1187083,-14.84547222,18.291,,,,16.169,,C,0.11960132510063105
233,,296.1207083,-14.84447222,17.811,,,,16.104,,C,0.11737421235443776
