Ra(J2000) deg,Dec(J2000) deg,Types,RUN,DCG,imag,e_imag,J,eJ,H,eH,Ks,eKs,IRAC1,e_IRAC1,IRAC2,e_IRAC2,IRAC3,e_IRAC3,IRAC4,e_IRAC4,WISE1,e_WISE1,WISE2,e_WISE2,WISE3,e_WISE3,WISE4,e_WISE4,VmagLGGS,e_VmagLGGS,BmagLGGS,RmagLGSS,ImagLGSS,J-Ks,Log(M/Ms),M/Ms,Log(t),t,Log(dt),dt,selected_Z
296.24005,-14.80796,RSG,C/O,0.011856079,89.99,89.99,14.540000000000001,89.99,13.94,89.99,13.59,89.99,13.4,0.05,13.25,0.04,12.98,0.04,12.62,0.05,13.411,0.037,13.444,0.046,12.415,89.99,8.746,89.99,89.99,89.99,89.99,89.99,89.99,0.9500000000000011,0.8071646190999995,6.414526728152198,7.8685800000000015,73889035.90924364,3.9820688419434305,9595.52722416768,0.008
296.25732,-14.77645,LPV,C/O,0.037181054,20.756,0.049,18.86,89.99,17.3,89.99,15.102511336414336,89.99,13.54,0.05,12.96,0.05,12.59,0.04,11.99,0.05,14.449,0.054,13.622,0.054,11.923,89.99,8.484,89.99,89.99,89.99,89.99,89.99,89.99,1.7189999999999994,0.3306570508532869,2.1411990935254486,8.996054761294022,990956889.2858204,6.350741566495976,2242547.0650886656,0.008
296.23639,-14.83054,LPV,C/O,0.029568717,19.187,0.018,17.5,89.99,16.76,89.99,15.969999999999999,89.99,14.94,0.07,14.69,0.05,14.74,0.08,14.17,0.05,15.187,0.103,15.384,0.148,12.409,89.99,8.822,89.99,20.169,0.007,20.929,19.612,19.027,1.5300000000000011,0.1703771058400001,1.4803932827961532,9.48712,3069870107.671441,6.2513572807763085,1783845.679209607,0.006
296.233093,-14.830748,C,C,0.029242037,19.897,0.029,17.19,89.99,16.6,89.99,16.24,89.99,15.83,0.04,15.82,0.05,15.89,0.09,15.85,0.16,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,0.9500000000000028,0.12049105318000031,1.319748123540971,9.60349,4013192574.3895626,5.985195371382181,966485.5636626352,0.003
296.25088,-14.76786,O,C/O,0.039737772,19.442,0.019,15.3,89.99,14.68,89.99,14.12,89.99,13.35,0.04,13.14,0.07,12.95,0.02,12.76,0.02,13.697,0.047,13.076,0.037,11.728,89.99,8.707,89.99,89.99,89.99,89.99,89.99,89.99,1.1800000000000015,0.6229284650499998,4.196898489540004,8.1734,149073346.18664104,5.067178924590439,116729.04289366241,0.008
296.212616,-14.82485,C,C,0.0289744,19.713,0.029,17.19,89.99,16.56,89.99,16.18,89.99,15.82,0.05,15.96,0.05,15.98,0.16,15.37,0.09,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,1.0100000000000016,0.13157684265999992,1.3538696187886088,9.577630000000001,3781203054.065359,6.042218052295657,1102092.5136319036,0.003
296.25522,-14.82579,S,C/O,0.034897318,19.095,0.012,16.62,0.03,15.86,0.03,15.45,0.02,15.35,0.03,15.45,0.04,15.14,0.06,15.27,0.09,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,20.998,0.011,23.055,19.623,18.388,1.1700000000000017,0.2664539480000001,1.8469449369801878,9.15,1412537544.6227555,6.399182782084727,2507164.224488334,0.006
296.259796,-14.82215,C,C,0.036155664,19.729,0.026,17.209,89.99,16.47,89.99,15.936,89.99,15.42,0.04,15.4,0.07,15.21,0.06,15.1,0.05,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,21.115,0.015,22.544,20.004,18.985,1.2729999999999997,0.17665905321200004,1.5019623740592114,9.472466,2968014374.775263,6.276646594878423,1890804.3591643993,0.006
296.20154,-14.81282,LAV,C/O,0.030566225,89.99,89.99,18.98,0.6,17.3,0.3,15.305096967619697,0.2,14.36,0.03,13.83,0.04,13.44,0.04,13.0,0.04,14.407,0.052,14.056,0.05,12.039,89.99,8.251,89.99,89.99,89.99,89.99,89.99,89.99,1.7189999999999994,0.2932266898663609,1.9643853648252956,9.081140726400275,1205426476.8742664,6.4058615167718225,2546018.2757717976,0.006
296.248871,-14.764977,C,C,0.041261252,20.19,0.043,16.91,89.99,15.994,89.99,15.14557790283705,89.99,14.5,0.04,14.56,0.04,14.62,0.04,14.12,0.04,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,1.7189999999999994,0.32269993603680924,2.1023253932875066,9.014142719191563,1033100850.770216,6.356395551614687,2271933.166691516,0.008
