Ra(J2000) deg	Dec(J2000) deg	J	eJ	Ks	eKs
296.3354	-14.6811	18.39	0.00	17.10	0.00
296.1106	-14.6932	99.99	0.00	99.99	0.00
296.1964	-14.7023	17.75	0.00	15.10	0.00
296.5396	-14.7050	17.59	0.00	15.73	0.00
296.0992	-14.7082	17.48	0.00	16.27	0.00
296.3741	-14.7111	17.55	0.00	16.52	0.00
296.0758	-14.7119	18.14	0.00	17.10	0.00
296.3414	-14.7129	17.32	0.00	15.85	0.00
296.1108	-14.7258	17.15	0.00	15.45	0.00
295.9771	-14.7267	17.58	0.00	16.22	0.00
296.0879	-14.7402	17.23	0.00	15.90	0.00
296.1714	-14.7452	18.02	0.00	16.97	0.00
296.4691	-14.7523	99.99	0.00	16.28	0.00
296.3428	-14.7641	18.20	0.00	17.02	0.00
296.1064	-14.7672	17.62	0.00	16.58	0.00
296.3046	-14.7679	17.76	0.00	16.59	0.00
296.3330	-14.7707	18.24	0.00	17.25	0.00
296.1620	-14.8231	17.45	0.00	16.28	0.00
296.1678	-14.8422	17.72	0.00	16.60	0.00
296.0661	-14.8446	17.44	0.00	16.30	0.00
296.3646	-14.8653	17.45	0.00	16.19	0.00
296.2972	-14.8699	17.49	0.00	16.21	0.00
296.2075	-14.8964	17.39	0.00	16.20	0.00
296.3680	-14.9132	16.96	0.00	15.15	0.00
296.0707	-14.9435	99.99	0.00	99.99	0.00
296.0891	-14.9455	18.64	0.00	15.90	0.00
296.0613	-14.9551	18.23	0.00	17.10	0.00
295.9698	-14.9751	17.69	0.00	16.60	0.00
296.2155	-14.9960	99.99	0.00	16.76	0.00
296.0905	-15.0101	18.20	0.00	16.74	0.00
296.2502	-13.9410	18.11	0.00	17.26	0.00
296.5526	-13.9992	17.52	0.00	16.61	0.00
296.3653	-14.1494	17.16	0.00	16.28	0.00
296.6534	-14.3304	17.62	0.00	16.78	0.00
295.6885	-14.3479	18.14	0.00	17.14	0.00
295.5945	-14.8825	17.85	0.00	16.80	0.00
297.0151	-15.2552	18.22	0.00	17.35	0.00
295.8102	-15.2604	18.27	0.00	17.34	0.00
296.0614	-15.4039	17.71	0.00	16.74	0.00
295.9231	-15.4220	18.42	0.00	17.39	0.00
295.7961	-15.5937	18.17	0.00	17.29	0.00
295.6611	-14.8446	18.16	1.78	16.38	0.00
295.6819	-14.9097	18.28	1.67	16.62	0.00
295.6897	-14.8984	18.26	1.72	16.54	0.00
295.7040	-15.0209	18.27	2.08	16.19	0.00
295.7090	-15.0561	18.06	1.64	16.43	0.00
295.7205	-15.1256	17.77	1.54	16.23	0.00
295.7613	-14.7656	18.37	1.99	16.38	0.00
295.7704	-14.7933	18.35	1.90	16.45	0.00
295.8058	-14.7056	18.16	1.61	16.54	0.00
295.8235	-14.9906	18.17	1.85	16.32	0.00
295.8250	-14.9749	18.47	2.18	16.29	0.00
295.8275	-14.9006	17.98	1.71	16.28	0.00
295.8308	-14.8511	18.50	2.66	15.84	0.00
295.8503	-15.1478	18.25	1.49	16.76	0.00
295.8566	-15.2171	17.82	1.77	16.05	0.00
295.9022	-14.8913	18.16	1.49	16.67	0.00
295.9166	-14.8112	18.04	1.51	16.53	0.00
295.9304	-15.2476	17.57	1.61	15.96	0.00
295.9455	-14.7077	17.56	1.57	15.99	0.00
295.9716	-14.8773	17.73	1.83	15.90	0.00
295.9743	-15.1965	17.32	1.60	15.72	0.00
295.9795	-14.8829	17.66	1.74	15.92	0.00
295.9873	-14.7173	17.92	2.08	15.84	0.00
295.9935	-14.9903	17.87	2.03	15.85	0.00
296.0039	-14.8628	18.41	1.71	16.70	0.00
296.0052	-14.8883	16.93	1.63	15.31	0.00
296.0105	-14.7445	16.98	1.62	15.36	0.00
296.0128	-14.7401	17.55	1.81	15.75	0.00
296.0148	-14.7690	17.31	2.36	14.95	0.00
296.0195	-14.7857	17.93	1.54	16.39	0.00
296.0259	-14.7907	17.97	1.51	16.46	0.00
296.0288	-14.9026	17.47	2.32	15.16	0.00
296.0426	-15.2060	17.52	1.61	15.91	0.00
296.0429	-14.7822	17.03	1.71	15.32	0.00
