Id-main,Ra(J2000) deg,Dec(J2000) deg,J,eJ,H,eH,Ks,eKs,Types
,296.152313,-14.788395,17.14,,16.3,,15.98,,Ce  
,296.283356,-14.789384,17.47,,16.75,,16.45,,C   
,296.319458,-14.789786,16.99,,16.07,,15.58,,M:  
,296.374786,-14.798067,17.73,,16.79,,16.55,,C   
,296.170349,-14.798781,17.4,,16.44,,15.76,,Ce  
,296.073059,-14.801702,17.62,,16.74,,16.46,,C   
,296.160095,-14.802064,17.38,,16.61,,16.35,,C   
,296.338257,-14.808908,17.41,,16.5,,16.05,,C:  
,296.238953,-14.8196,17.84,,17.06,,16.83,,dKe:
,296.100708,-14.828527,16.72,,15.96,,15.64,,C   
,296.129822,-14.832311,17.56,,16.74,,16.49,,C   
,296.084503,-14.832314,17.5,,16.6,,16.15,,C:  
,296.434357,-14.834667,17.48,,16.72,,16.32,,C:  
,296.30838,-14.840508,17.25,,16.46,,16.08,,C   
,296.173828,-14.855554,17.84,,16.97,,16.65,,Ce  
,296.080383,-14.858717,16.31,,15.7,,15.29,,C:  
,296.28244,-14.868937,17.48,,16.72,,16.55,,Ce  
,296.236908,-14.87212,18.02,,17.07,,16.82,,Ce  
,296.096558,-14.8814,17.98,,17.19,,17.03,,C   
,296.261414,-14.883708,17.94,,17.07,,16.79,,Ce  
,296.431213,-14.889406,17.33,,16.48,,16.18,,C:  
,296.163086,-14.894488,16.75,,15.88,,15.44,,C   
,296.118591,-14.89873,16.89,,16.03,,15.73,,C   
,296.251007,-14.9064,17.96,,17.09,,16.77,,Ce  
,296.35376,-14.912353,17.22,,16.35,,15.96,,C   
,296.223907,-14.922441,17.22,,16.33,,15.81,,C   
,296.157745,-14.929084,     ,,16.62,,16.12,,Uncl
,296.332458,-14.951111,17.76,,16.91,,16.48,,C:  
,296.034485,-14.951339,17.57,,16.71,,16.39,,C   
,296.345795,-14.960103,16.91,,16.07,,15.72,,C:  
,296.33786,-14.988564,16.73,,15.73,,15.19,,C:  
,296.281311,-14.988667,17.16,,16.35,,16.07,,C   
,296.204498,-14.674287,18.32,,17.55,,17.28,,C   
,296.247101,-14.722958,18.13,,17.27,,17.03,,C   
,296.244446,-14.75467,17.25,,16.49,,16.22,,C:  
,296.350891,-14.757086,16.98,,16.22,,15.85,,C:  
,296.234558,-14.767653,16.96,,16.04,,15.62,,C   
,296.290405,-14.774523,17.63,,16.84,,16.69,,Ce: 
,296.278412,-14.780069,17.65,,16.54,,15.76,,Ce: 
,296.352264,-14.780713,17.09,,16.3,,15.76,,C:  
,296.229034,-14.781347,17.61,,16.51,,15.94,,Ce: 
,296.213776,-14.783867,17.89,,17.08,,16.72,,C   
,296.257843,-14.793209,17.91,,17.14,,16.88,,Ce: 
,296.208191,-14.797331,17.67,,16.91,,16.45,,Ce  
,296.184326,-14.799191,17.83,,17.03,,16.78,,Ce: 
,296.274109,-14.800164,17.57,,16.75,,16.4,,Ce  
,296.251343,-14.803117,17.41,,16.5,,16.15,,Ce: 
,296.404907,-14.812469,     ,,16.54,,16.16,,C   
,296.191315,-14.818703,16.95,,16.05,,15.64,,Ce  
,296.212616,-14.82485,17.39,,16.56,,16.25,,C   
,296.182983,-14.828946,17.6,,16.81,,16.58,,Ce  
,296.233093,-14.830748,17.39,,16.6,,16.31,,Ce  
,296.241516,-14.846167,18.41,,17.3,,16.36,,Ce: 
,296.234772,-14.862573,17.71,,16.99,,16.68,,Ce: 
,296.153625,-14.886689,18,,17.21,,16.92,,C   
,296.183685,-14.962144,18.24,,17.33,,16.82,,C   
,296.358276,-13.897025,17.58,,16.84,,16.62,,dM: 
,296.329987,-13.938492,17.49,,16.72,,16.7,,dK  
,296.079315,-13.973788,17.74,,16.98,,16.9,,dM: 
,296.396942,-13.987878,17.15,,16.41,,16.3,,dM: 
,296.6521,-14.015325,18.33,,17.57,,17.32,,dK: 
,296.7117,-14.03266,18.29,,17.56,,17.35,,dK: 
,296.484314,-14.154216,18.15,,17.16,,16.43,,dK  
,295.60434,-14.160067,17.65,,16.92,,16.73,,dM: 
,296.492676,-14.174297,17.46,,16.71,,16.57,,dM: 
,296.068665,-14.228847,17.94,,17.21,,17,,dM: 
,295.52533,-14.230219,17.56,,16.8,,16.77,,dK  
,296.979736,-14.242464,17.83,,17.11,,16.91,,dM  
,296.461334,-14.256592,17.03,,16.29,,16.12,,dM: 
,295.588501,-14.270535,17.46,,16.72,,16.56,,dM  
,295.462524,-14.283733,17.55,,16.81,,16.63,,dM  
,295.571045,-14.283828,17.75,,16.98,,16.86,,dM: 
,295.808746,-14.380803,17.9,,17.17,,17.08,,dK  
,296.821106,-14.404108,17.67,,16.93,,16.79,,dM: 
,297.100342,-14.432428,18.51,,17.75,,17.34,,dK: 
,296.787109,-14.488456,17.8,,16.99,,16.77,,dK: 
,297.023987,-14.491783,17.85,,17.05,,17.02,,dM: 
,296.800354,-14.549609,17.48,,16.73,,16.57,,dM: 
,295.40918,-14.567859,18.05,,17.24,,17.14,,dM  
,297.072693,-14.582489,17.77,,17.04,,16.86,,dM: 
,296.853027,-14.590661,18.26,,17.49,,17.34,,dK: 
,296.812988,-14.611956,18.19,,17.45,,17.19,,C:  
,297.11145,-14.624125,17.25,,16.5,,16.37,,dM: 
,296.911255,-14.636194,17.79,,17.06,,16.91,,dK: 
,297.148376,-14.671167,17.74,,17.01,,16.82,,dM: 
,295.609711,-14.742889,17.68,,16.96,,16.69,,dM: 
,295.516144,-14.746992,16.85,,16.11,,15.87,,dMe 
,295.559082,-14.801364,17.6,,16.82,,16.65,,dMe:
,295.527863,-14.803578,17.05,,16.29,,16.12,,dMe:
,295.621918,-14.804337,17.94,,17.17,,16.95,,dM: 
,295.512543,-14.826831,17.85,,17.13,,17.01,,dMe 
,295.524353,-14.855192,18.01,,17.16,,17.11,,dMe:
,295.535919,-14.873045,17.77,,17.04,,16.99,,dK  
,295.621216,-14.885853,18.13,,17.32,,17.13,,dK  
,295.547546,-14.886919,17.05,,16.32,,16.13,,dM  
,295.540558,-14.933914,17.48,,16.74,,16.64,,dM: 
,295.639313,-14.980222,17.65,,16.92,,16.77,,dK: 
,295.404724,-15.01522,16.36,,15.6,,15.48,,dK  
,295.72052,-15.125569,17.63,,16.68,,16.07,,C:  
,295.640228,-15.129666,16.22,,15.48,,15.26,,dM  
,295.417267,-15.171911,17.02,,16.3,,16.09,,dM  
,295.405945,-15.189603,16.94,,16.17,,16.03,,dK  
,296.767883,-15.204441,15.14,,14.4,,14.22,,dM  
,295.799805,-15.229388,17.06,,16.31,,16.16,,dM  
,295.47818,-15.232033,17,,16.27,,16.15,,dM: 
,295.776978,-15.241439,18.24,,17.41,,17.25,,C:  
,295.743439,-15.257809,18.33,,17.57,,17.29,,dM  
,295.49173,-15.271272,17.58,,16.83,,16.68,,dK  
,295.872925,-15.289667,17.27,,16.44,,16.29,,dM  
,295.534882,-15.303519,17.08,,16.33,,16.18,,dM: 
,295.499207,-15.304358,17.58,,16.76,,16.75,,dK  
,295.87912,-15.309017,17.9,,17.11,,16.88,,dK  
,295.794037,-15.329094,17.83,,17.03,,16.78,,dK: 
,295.949036,-15.329528,18.11,,17.33,,17.07,,dM: 
,295.576233,-15.333383,16.93,,16.21,,16.05,,dK  
,295.897827,-15.337833,17.39,,16.57,,16.39,,dM: 
,295.537048,-15.357962,17.1,,16.37,,16.11,,dM: 
,295.966644,-15.358248,18.35,,17.4,,17.07,,dM: 
,296.011719,-15.374639,17.91,,17.1,,17.16,,dK  
,295.516876,-15.380892,17.16,,16.36,,16.24,,dM: 
,296.342438,-15.386158,18.09,,17.26,,17.22,,dM  
,295.648956,-15.39533,17.62,,16.89,,16.7,,dM: 
,296.123199,-15.455264,17.35,,16.6,,16.47,,dM  
,296.182312,-15.456194,17.68,,16.95,,16.8,,dK  
,296.019073,-15.468775,18.21,,17.31,,16.65,,Uncl
,295.58786,-15.487622,17.33,,16.58,,16.51,,dK  
,295.772949,-15.513988,17.73,,17.01,,16.74,,dM: 
,296.781189,-15.567519,17.99,,17.2,,17.12,,dM  
,296.538513,-15.576294,17.82,,17.06,,16.87,,dM: 
,296.190338,-14.641755,17.59,,16.78,,16.4,,C   
,296.32608,-14.666169,17.58,,16.8,,16.51,,C   
,296.335388,-14.681108,18.39,,17.51,,17.1,,C   
,296.110596,-14.693192,     ,,16.87,,     ,,C   
,296.196411,-14.702325,17.75,,16.37,,15.1,,dK  
,296.539612,-14.704988,17.59,,16.48,,15.73,,C   
,296.099152,-14.708244,17.48,,16.63,,16.27,,C   
,296.374054,-14.711063,17.55,,16.85,,16.52,,C   
,296.075775,-14.711885,18.14,,17.39,,17.1,,C   
,296.341431,-14.712852,17.32,,16.39,,15.85,,C   
,296.110779,-14.725801,17.15,,16.18,,15.45,,C   
,295.977081,-14.726664,17.58,,16.77,,16.22,,C   
,296.08786,-14.740214,17.23,,18.14,,15.9,,C   
,296.171387,-14.745203,18.02,,17.23,,16.97,,C   
,296.469086,-14.752255,     ,,17.74,,16.28,,dK  
,296.342804,-14.764064,18.2,,17.41,,17.02,,C   
,296.106384,-14.767224,17.62,,16.8,,16.58,,C   
,296.304626,-14.767883,17.76,,17.03,,16.59,,C   
,296.333038,-14.770712,18.24,,17.51,,17.25,,C   
,296.162018,-14.82305,17.45,,16.64,,16.28,,C   
,296.167816,-14.842195,17.72,,16.99,,16.6,,C   
,296.066071,-14.844581,17.44,,16.78,,16.3,,C   
,296.364624,-14.865284,17.45,,16.57,,16.19,,C   
,296.297241,-14.869897,17.49,,16.7,,16.21,,C   
,296.207458,-14.896397,17.39,,16.58,,16.2,,C   
,296.368011,-14.913227,16.96,,15.87,,15.15,,C   
,296.070709,-14.94352,     ,,18.45,,     ,,C   
,296.08905,-14.945495,18.64,,     ,,15.9,,C   
,296.06134,-14.955141,18.23,,17.2,,17.1,,C   
,295.969788,-14.97507,17.69,,16.93,,16.6,,C   
,296.215485,-14.99597,     ,,18.06,,16.76,,C   
,296.090485,-15.010141,18.2,,16.77,,16.74,,C   
,296.250183,-13.941045,18.11,,17.39,,17.26,,dK  
,296.552612,-13.999165,17.52,,16.76,,16.61,,dK  
,296.365326,-14.149378,17.16,,16.39,,16.28,,dM  
,296.653442,-14.330378,17.62,,16.87,,16.78,,dM  
,295.688538,-14.347858,18.14,,17.41,,17.14,,dM  
,295.594513,-14.882525,17.85,,17.06,,16.8,,dM  
,297.015076,-15.255167,18.22,,17.49,,17.35,,dM  
,295.81015,-15.260356,18.27,,17.55,,17.34,,dM  
,296.061401,-15.403897,17.71,,16.95,,16.74,,dM  
,295.923065,-15.421967,18.42,,17.67,,17.39,,dK  
,295.796112,-15.593744,18.17,,17.44,,17.29,,dK  
,295.6611,-14.8446,18.16,,0,,16.38,, 
,295.6819,-14.9097,18.28,,0,,16.62,, 
,295.6897,-14.8984,18.26,,0,,16.54,, 
,295.704,-15.0209,18.27,,0,,16.19,, 
,295.709,-15.0561,18.06,,0,,16.43,, 
,295.7613,-14.7656,18.37,,0,,16.38,, 
,295.7704,-14.7933,18.35,,0,,16.45,, 
,295.8058,-14.7056,18.16,,0,,16.54,, 
,295.8235,-14.9906,18.17,,0,,16.32,, 
,295.825,-14.9749,18.47,,0,,16.29,, 
,295.8275,-14.9006,17.98,,0,,16.28,, 
,295.8308,-14.8511,18.5,,0,,15.84,, 
,295.8503,-15.1478,18.25,,0,,16.76,, 
,295.8566,-15.2171,17.82,,0,,16.05,, 
,295.9022,-14.8913,18.16,,0,,16.67,,M
,295.9166,-14.8112,18.04,,0,,16.53,,M
,295.9304,-15.2476,17.57,,0,,15.96,, 
,295.9455,-14.7077,17.56,,0,,15.99,,M
,295.9716,-14.8773,17.73,,0,,15.9,,C
,295.9743,-15.1965,17.32,,0,,15.72,, 
,295.9795,-14.8829,17.66,,0,,15.92,,C
,295.9873,-14.7173,17.92,,0,,15.84,,C
,295.9935,-14.9903,17.87,,0,,15.85,, 
,296.0039,-14.8628,18.41,,0,,16.7,,C
,296.0052,-14.8883,16.93,,0,,15.31,,C
,296.0105,-14.7445,16.98,,0,,15.36,,C
,296.0128,-14.7401,17.55,,0,,15.75,,C
,296.0148,-14.769,17.31,,0,,14.95,, 
,296.0195,-14.7857,17.93,,0,,16.39,,C
,296.0259,-14.7907,17.97,,0,,16.46,,M
,296.0288,-14.9026,17.47,,0,,15.16,,C
,296.0426,-15.206,17.52,,0,,15.91,, 
,296.0429,-14.7822,17.03,,0,,15.32,,C
,296.0481,-14.8998,17.64,,0,,15.91,,C
,296.0512,-14.7268,17.59,,0,,15.53,,C
,296.0513,-14.8667,17.68,,0,,15.79,,C
,296.053,-14.9232,17.94,,0,,16.19,,C
,296.0609,-15.0949,17.82,,0,,16.14,, 
,296.0613,-14.7628,18.33,,0,,16.56,,M
,296.0614,-14.8147,17.94,,0,,15.48,, 
,296.0622,-14.8233,18.29,,0,,16.75,,M
,296.0642,-14.736,17.69,,0,,16,,C
,296.0673,-14.9031,18.11,,0,,16.19,,C
,296.0674,-14.8123,17.97,,0,,16.44,,M
,296.071,-14.79,17.38,,0,,15.83,,M
,296.072,-14.849,17.45,,0,,15.92,,C
,296.0727,-14.8565,17.85,,0,,16.28,,C
,296.0769,-14.878,17.83,,0,,16.11,,C
,296.0774,-14.7831,17.56,,0,,15.87,,C
,296.0783,-14.7897,17.49,,0,,15.54,,C
,296.0819,-14.7513,17.46,,0,,15.95,,C
,296.0848,-14.7811,17.93,,0,,16.14,,C
,296.0854,-14.8265,18.07,,0,,16.19,,C
,296.0883,-14.8174,17.81,,0,,16.26,,M
,296.0928,-14.8922,17.85,,0,,15.69,,C
,296.096,-15.0407,17.84,,0,,16.27,, 
,296.097,-14.836,17.93,,0,,16.16,,M
,296.1002,-14.7866,17.62,,0,,15.55,,C
,296.1036,-14.7248,17.36,,0,,15.27,,C
,296.1041,-14.7926,18.05,,0,,15.55,, 
,296.1045,-14.8427,18.09,,0,,15.56,,C
,296.1066,-14.8743,17.9,,0,,16.27,,C
,296.1095,-14.9329,17.9,,0,,15.86,,C
,296.1097,-14.7407,17.47,,0,,15.91,,C
,296.1108,-14.7907,17.96,,0,,16.25,, 
,296.111,-14.8597,17.43,,0,,15.32,,C
,296.1128,-14.8683,17.53,,0,,15.62,,C
,296.1152,-14.7696,17.45,,0,,15.5,,C
,296.116,-14.8811,17.72,,0,,15.64,, 
,296.1178,-14.7929,18.01,,0,,16.46,, 
,296.1185,-14.7334,17.99,,0,,16.4,, 
,296.1187,-14.8455,18.29,,0,,16.17,,C
,296.1207,-14.8445,17.81,,0,,16.1,,C
,296.1269,-14.7898,16.99,,0,,14.98,,C
,296.128,-14.7905,17.8,,0,,15.91,,C
,296.1291,-14.8711,17.95,,0,,16.43,,M
,296.1295,-14.7898,17.66,,0,,16.02,,C
,296.1313,-14.8487,17.53,,0,,16.01,,M
,296.1315,-14.8549,17.14,,0,,15.3,, 
,296.3658,-14.8525,17.51,,0,,15.84,,C
,296.3685,-14.7489,17.44,,0,,15.92,,M
,296.3695,-14.8729,17.16,,0,,15.45,,C
,296.3715,-14.9041,17.5,,0,,15.55,,C
,296.3806,-14.54,17.72,,0,,15.84,, 
,296.3827,-14.7522,17.15,,0,,15.63,,C
,296.4011,-14.6176,17.97,,0,,16.23,,M
,296.4018,-14.7382,17.5,,0,,15.91,,C
,296.4023,-14.8741,17.21,,0,,15.71,,C
,296.4063,-14.8008,17.37,,0,,15.43,,C
,296.4102,-14.8498,17.29,,0,,15.67,,C
,296.4166,-14.5999,17.67,,0,,16.14,, 
,296.4212,-14.7471,17.53,,0,,15.98,,C
,296.4267,-14.754,17.49,,0,,15.97,,C
,296.4286,-14.5416,18.26,,0,,16.44,, 
,296.4301,-14.7626,17.48,,0,,15.81,,C
,296.4361,-14.8951,17.6,,0,,15.88,,C
,296.4425,-14.7626,17.17,,0,,15.29,,C
,296.4494,-14.7635,18.24,,0,,16.64,,M
,296.4536,-14.4519,17.9,,0,,16.33,, 
,296.4614,-14.8548,17.42,,0,,15.62,,C
,296.4752,-14.8982,17.27,,0,,15.74,,C
,296.4793,-14.6954,16.71,,0,,15.13,,C
,296.4796,-14.3744,17.58,,0,,15.95,, 
,296.5159,-14.7466,18.22,,0,,16.64,,M
,296.5227,-14.843,17.62,,0,,15.75,,C
,296.5232,-14.4993,17.6,,0,,16,, 
,296.5456,-14.9007,17.42,,0,,15.51,,C
,296.5838,-14.6504,18.44,,0,,16.58,, 
,296.5943,-14.8693,17.5,,0,,15.88,, 
,296.5963,-14.3754,17.94,,0,,16.18,, 
,296.597,-14.8421,17.96,,0,,16.37,, 
,296.614,-14.7704,17.43,,0,,15.86,, 
,296.6206,-14.7653,18.06,,0,,15.91,, 
,296.6209,-14.4247,18.15,,0,,16.43,, 
,296.6338,-14.7257,18.23,,0,,16.66,, 
,296.6959,-14.7927,18.19,,0,,16.5,, 
,296.6964,-14.5816,18.11,,0,,16.55,, 
,296.7232,-14.4254,18.24,,0,,16.17,, 
,296.727,-14.465,18.29,,0,,16.63,, 
,296.7341,-14.6738,18.27,,0,,16.64,, 
,296.7493,-14.7584,18.09,,0,,16.41,, 
,296.7532,-14.8601,17.71,,0,,16.04,, 
,296.7639,-14.4964,17.76,,0,,16.22,, 
,296.7705,-14.7495,18.36,,0,,16.87,, 
,296.7725,-14.796,18.3,,0,,16.8,, 
,296.8193,-14.7532,18.16,,0,,16.35,, 
,296.8233,-14.6047,17.22,,0,,15.49,, 
,296.8533,-14.3934,17.91,,0,,16.22,, 
,296.8658,-14.4414,17.35,,0,,15.65,, 
,296.9001,-14.4304,17.85,,0,,16.15,, 
,296.9013,-14.4222,17.44,,0,,15.91,, 
,296.9028,-14.4441,18.22,,0,,16.48,, 
