#Gc logAge [M/H] m_ini   logL   logTe logg  m-M0   Av    m2/m1 mbol   U      B      V      R      I      J      H      K        Mact
 1   8.35  0.45  0.07672 -2.968 3.432  4.966  9.40  0.032 0.00 21.590 29.225 27.073 25.176 23.538 21.481 19.561 19.041 18.724  0.077 
 1   8.37 -0.13  0.26544 -1.982 3.562  5.037 11.80  0.038 0.00 21.525 25.658 24.376 22.934 21.943 20.888 19.816 19.235 19.019  0.265 
 1   8.37  0.11  0.05822 -3.332 3.377  4.990  9.80  0.034 0.00 22.899 33.336 30.090 27.853 25.740 23.313 20.792 20.233 19.889  0.058 
 1   8.39 -0.03  0.24336 -2.070 3.552  5.046 11.00  0.037 0.00 20.944 25.303 23.969 22.493 21.475 20.329 19.212 18.636 18.403  0.243 
 1   8.39  0.03  0.30549 -1.890 3.560  4.999  9.20  0.031 0.00 18.694 22.829 21.578 20.161 19.167 18.061 16.969 16.387 16.172  0.305 
 1   8.39  0.39  0.08041 -2.900 3.439  4.945 11.90  0.038 0.00 23.920 31.278 29.216 27.351 25.764 23.763 21.908 21.387 21.073  0.080 
 1   8.41  0.01  0.46147 -1.482 3.588  4.882 10.10  0.035 0.96 17.872 21.488 20.382 19.076 18.150 17.213 16.203 15.582 15.419  0.461 
 1   8.41  0.03  0.22436 -2.149 3.544  5.060 10.70  0.036 0.00 20.843 25.346 23.988 22.492 21.450 20.243 19.091 18.521 18.282  0.224 
 1   8.41  0.15  1.00152 -0.171 3.740  4.514 10.30  0.035 0.00 15.497 16.788 16.436 15.640 15.194 14.826 14.333 13.945 13.901  1.002 
 1   8.41  0.19  0.05729 -3.392 3.367  5.001  9.90  0.034 0.94 22.488 33.860 30.225 27.823 25.576 23.091 20.385 19.796 19.426  0.057 
 1   8.41  0.33  0.26645 -2.026 3.544  5.012 10.20  0.035 0.00 20.034 24.517 23.170 21.683 20.642 19.435 18.282 17.711 17.472  0.266 
 1   8.43 -0.01  0.12945 -2.502 3.492  4.967 10.10  0.035 0.76 20.611 26.429 24.799 23.124 21.831 20.200 18.714 18.184 17.899  0.129 
 1   8.43  0.21  0.09964 -2.713 3.464  4.950  8.40  0.026 0.87 19.358 26.029 24.169 22.386 20.929 19.077 17.386 16.864 16.561  0.100 
 1   8.43  0.35  0.10182 -2.695 3.466  4.949 11.20  0.037 0.97 21.986 28.442 26.638 24.880 23.464 21.668 20.038 19.513 19.214  0.102 
 1   8.43  0.45  0.26233 -2.038 3.543  5.014 11.10  0.037 0.74 20.468 25.082 23.711 22.205 21.141 19.885 18.697 18.134 17.891  0.262 
 1   8.45 -0.03  0.15016 -2.377 3.505  4.957 10.50  0.036 0.00 21.213 26.521 25.000 23.389 22.197 20.720 19.369 18.829 18.561  0.150 
 1   8.45 -0.01  0.45152 -1.504 3.587  4.889 10.40  0.036 0.00 18.929 22.537 21.431 20.122 19.198 18.269 17.264 16.643 16.480  0.452 
 1   8.45  0.11  0.08911 -2.824 3.454  4.973  9.70  0.033 0.00 21.531 28.335 26.431 24.629 23.147 21.266 19.553 19.030 18.725  0.089 
 1   8.47 -0.03  0.07600 -3.070 3.424  5.032 10.20  0.035 0.00 22.645 30.725 28.390 26.433 24.723 22.595 20.598 20.074 19.757  0.076 
 1   8.47  0.13  0.07948 -2.961 3.435  4.983 10.70  0.036 0.00 22.872 30.435 28.299 26.407 24.785 22.746 20.849 20.328 20.012  0.079 
 1   8.47  0.15  0.55861 -1.256 3.604  4.805  7.50  0.020 0.00 15.411 18.755 17.674 16.429 15.567 14.753 13.797 13.113 12.990  0.559 
 1   8.49  0.15  0.59961 -1.158 3.615  4.780  9.60  0.033 0.00 17.265 20.515 19.426 18.192 17.360 16.614 15.691 14.999 14.884  0.600 
 1   8.51  0.01  0.53613 -1.297 3.604  4.826 10.60  0.036 0.75 18.200 21.659 20.568 19.285 18.397 17.543 16.567 15.920 15.773  0.536 
 1   8.51  0.21  0.11603 -2.620 3.475  4.966 10.30  0.035 0.94 20.924 27.103 25.379 23.655 22.291 20.563 18.999 18.472 18.178  0.116 
 1   8.51  0.41  0.12565 -2.558 3.480  4.963 10.10  0.035 0.99 20.527 26.485 24.819 23.125 21.803 20.133 18.620 18.092 17.804  0.126 
 1   8.53  0.01  0.15405 -2.383 3.506  4.977 14.40  0.038 0.86 24.524 29.933 28.405 26.787 25.571 24.053 22.666 22.130 21.858  0.154 
 1   8.53  0.07  0.07585 -3.128 3.416  5.056 10.90  0.037 0.77 23.119 32.031 29.454 27.401 25.550 23.306 21.048 20.493 20.155  0.076 
 1   8.53  0.25  0.43017 -1.575 3.575  4.894 14.20  0.038 0.00 22.908 26.742 25.646 24.361 23.384 22.275 21.176 20.573 20.395  0.430 
 1   8.53  0.39  0.08896 -2.866 3.447  4.987 11.40  0.037 0.00 23.334 30.391 28.413 26.580 25.051 23.115 21.341 20.819 20.510  0.089 
