Gc,logAg,e [M/H],m_ini,logL,logTe,logg,m-M0,Av,m2/m1,mbol,U,B,V,R,I,J,H,K,Mact
1,7.29,0.25,0.07598,-2.235,3.466,4.364,10.7,0.743,0,21.058,28.548,26.584,24.627,23.087,21.157,19.324,18.718,18.373,0.076
1,7.29,0.29,0.09807,-2.04,3.477,4.322,8.9,0.589,0,18.77,25.674,23.846,21.978,20.534,18.723,17.019,16.429,16.101,0.098
1,7.31,0.21,0.05326,-2.503,3.446,4.397,10.2,0.717,0,21.228,29.233,27.171,25.169,23.514,21.433,19.435,18.84,18.479,0.053
1,7.33,-0.33,0.11883,-1.918,3.511,4.42,11.3,0.761,0,20.864,27.362,25.496,23.595,22.294,20.774,19.275,18.625,18.314,0.119
1,7.33,0.05,0.42689,-1.571,3.58,4.905,9.8,0.686,0.99,17.766,22.517,21.234,19.728,18.653,17.503,16.259,15.583,15.363,0.427
1,7.33,0.11,0.21197,-2.205,3.537,5.064,7.9,0.457,0,18.182,23.465,21.976,20.34,19.194,17.851,16.537,15.926,15.655,0.212
1,7.33,0.17,0.05636,-2.478,3.45,4.411,9.9,0.694,0.96,20.14,28.101,26.015,24.011,22.371,20.31,18.344,17.749,17.395,0.056
1,7.33,0.39,0.07505,-2.269,3.465,4.39,12.6,0.77,0,23.041,30.593,28.616,26.649,25.1,23.16,21.313,20.705,20.358,0.075
1,7.35,0.01,0.07102,-2.342,3.464,4.432,10.7,0.743,0,21.324,28.887,26.902,24.936,23.383,21.435,19.584,18.979,18.633,0.071
1,7.37,0.03,0.18976,-2.15,3.531,4.936,10.1,0.71,0,20.246,26.013,24.457,22.743,21.528,20.083,18.658,18.024,17.733,0.19
1,7.37,0.03,0.17707,-1.938,3.513,4.595,11.3,0.761,0.94,20.281,26.412,24.788,23.018,21.739,20.188,18.676,18.048,17.742,0.166
1,7.39,-0.35,0.11753,-1.946,3.511,4.445,8.3,0.511,0,17.934,24.051,22.237,20.404,19.152,17.692,16.274,15.651,15.356,0.118
1,7.39,-0.11,0.09137,-2.11,3.488,4.406,10.8,0.747,0,20.845,27.801,25.915,24.002,22.585,20.839,19.177,18.554,18.228,0.091
1,7.39,-0.07,0.09335,-2.098,3.487,4.4,11.6,0.765,0.76,21.15,28.33,26.418,24.486,23.021,21.198,19.459,18.841,18.506,0.093
1,7.39,-0.03,0.5993,-1.132,3.622,4.781,11.8,0.767,0.87,18.872,23.204,21.955,20.499,19.53,18.659,17.525,16.759,16.59,0.599
1,7.39,0.05,0.35995,-1.749,3.569,4.964,11.1,0.757,0,20.242,25.311,23.945,22.367,21.254,20.033,18.739,18.069,17.824,0.36
1,7.39,0.19,5.97394,3.081,4.247,4.067,10.9,0.751,0.74,7.694,9.442,9.954,9.909,9.841,9.787,9.794,9.781,9.79,5.974
1,7.39,0.29,0.15876,-1.894,3.5,4.478,8.5,0.538,0,18.005,24.185,22.533,20.768,19.457,17.833,16.295,15.704,15.398,0.159
1,7.39,0.31,0.08003,-2.207,3.465,4.357,10.6,0.739,0,20.889,28.39,26.422,24.464,22.922,20.988,19.152,18.547,18.202,0.08
1,7.39,0.31,1.33542,0.429,3.809,4.317,14.1,0.77,0,17.796,19.531,19.279,18.543,18.097,17.687,17.16,16.849,16.776,1.335
1,7.41,-0.15,0.07517,-2.302,3.471,4.446,9.6,0.667,0,20.125,27.533,25.475,23.501,21.998,20.134,18.393,17.78,17.45,0.075
1,7.41,-0.09,0.30809,-1.866,3.567,5.006,11.7,0.766,0,21.134,26.255,24.847,23.231,22.116,20.928,19.645,18.978,18.725,0.308
1,7.41,0.03,0.05418,-2.554,3.444,4.45,7.8,0.443,0,18.955,26.558,24.572,22.651,21.041,19.008,17.078,16.515,16.171,0.054
1,7.41,0.05,0.3828,-1.686,3.572,4.942,9.8,0.686,0,18.785,23.665,22.348,20.813,19.72,18.526,17.262,16.599,16.365,0.383
