,index,Id-main,Ra(J2000) deg,Dec(J2000) deg,J,eJ,H,eH,Ks,eKs,Types,DCG,Catalog,index,_RAJ2000(deg),_DEJ2000(deg),RAJ2000(deg),DEJ2000(deg),IRAC1(mag),dIRAC1(mag),IRAC2(mag),dIRAC2(mag),l_IRAC3( ),IRAC3(mag),dIRAC3(mag),l_IRAC4( ),IRAC4(mag),dIRAC4(mag),l_MIPS24( ),MIPS24(mag)
36,234,,296.1151667,-14.76961111,17.448,,,,15.497,,C,0.119224407,demmers,3710,296.115265,-14.76965,296.115265,-14.76965,15.05,-0.09,15.2,-0.07, ,14.97,-0.14, ,14.79,0.03,>,12.25
37,142,,296.118591,-14.89873,16.89,,16.03,,15.73,,C,0.147758617,Sibbons,3937,296.11862194,-14.89873,296.118622,-14.89873,15.43,-0.04,15.47,-0.03, ,15.34,0.01, ,14.8,-0.24,>,12.61
38,235,,296.1187083,-14.84547222,18.291,,,,16.169,,C,0.119601325,demmers,3952,296.118805,-14.84548,296.118805,-14.84548,15.08,0.01,14.76,-0.01, ,14.6,0.06, ,14.3,0.07, ,11.35
39,236,,296.1207083,-14.84447222,17.811,,,,16.104,,C,0.117374212,demmers,4104,296.12081889,-14.84449,296.120819,-14.84449,15.9,-0.07,16.04,0.11, ,15.54,-0.44, ,15.48,-0.44,>,12.44
40,287,,296.121368,-14.679315,17.359,,16.399,,16.029,,C,0.163620468,Kacharov,4149,296.12139889,-14.67934,296.121399,-14.67934,15.64,0.1,15.51,-0.01, ,15.56,-0.03, ,14.89,-0.4,>,12.73
41,237,,296.1269167,-14.78975,16.994,,,,14.984,,C,0.103770194,demmers,4538,296.12698389,-14.78975,296.126984,-14.78975,14.81,0.0,14.76,-0.07, ,14.75,-0.15, ,14.31,-0.24, ,10.18
42,99,,296.12738,-14.73369,17.56,,16.81,,16.41,,C,0.123094049,Sibbons,4570,296.12747194,-14.73369,296.127472,-14.73369,16.11,0.06,16.15,0.03, ,15.87,-0.53, ,15.81,0.0,>,12.36
43,238,,296.1280417,-14.7905,17.8,,,,15.905,,C,0.102568337,demmers,4610,296.12820389,-14.79049,296.128204,-14.79049,15.41,-0.08,15.37,-0.09, ,15.26,-0.23, ,14.72,-0.44, ,9.77
44,239,,296.1295,-14.78983333,17.657,,,,16.016,,C,0.101194648,demmers,4698,296.12954694,-14.7898,296.129547,-14.7898,15.82,0.0,15.7,-0.11, ,15.73,-0.13, ,15.61,-0.14, ,8.31
45,130,,296.129822,-14.832311,17.56,,16.74,,16.49,,C,0.10475926,Sibbons,4726,296.12988306,-14.83232,296.129883,-14.83232,15.99,0.0,16.01,0.05, ,15.81,-0.38, ,15.81,-0.06,>,12.14
46,120,,296.131714,-14.759347,17.37,,16.47,,16.18,,C,0.107011093,Sibbons,4849,296.13171389,-14.75936,296.131714,-14.75936,15.84,0.0,15.8,-0.08, ,15.58,-0.37, ,15.33,-0.2,>,12.69
47,286,,296.134644,-14.67692,17.35,,16.321,,15.771,,C,0.157020156,Kacharov,5076,296.13467389,-14.67695,296.134674,-14.67695,15.32,0.0,15.26,-0.09, ,14.98,-0.24, ,14.67,-0.29,>,12.56
48,265,,296.138214,-14.72313,17.227,,16.188,,15.542,,C,0.120802324,Kacharov,5362,296.138275,-14.72316,296.138275,-14.72316,14.96,-0.04,15.03,-0.08, ,14.92,-0.07, ,14.74,0.35, ,12.28
49,293,,296.151001,-14.726998,16.872,,16,,15.486,,C,0.108704874,Kacharov,6321,296.15109306,-14.72699,296.151093,-14.72699,15.18,-0.01,15.1,-0.1, ,14.91,0.02, ,14.54,-0.06,>,12.25
50,172,,296.153625,-14.886689,18.0,,17.21,,16.92,,C ,0.114286355,Sibbons,6528,296.15368694,-14.8867,296.153687,-14.8867,16.6,0.5,16.53,0.3, ,16.2,0.35, ,15.91,-0.09, ,11.61
51,308,,296.155457,-14.878673,17.625,,16.429,,15.762,,C,0.107173322,Kacharov,6679,296.15554806,-14.87867,296.155548,-14.87867,15.05,-0.08,15.28,-0.05, ,15.08,-0.2, ,14.84,-0.01,>,12.36
52,112,,296.156006,-14.687428,17.31,,16.25,,15.68,,C,0.136111523,Sibbons,6719,296.155975,-14.68745,296.155975,-14.68745,15.03,0.01,15.06,-0.03, ,14.89,-0.25, ,14.47,-0.04,>,12.39
53,305,,296.156158,-14.860965,17.108,,16.214,,15.634,,C,0.094702365,Kacharov,6740,296.15621889,-14.86099,296.156219,-14.86099,14.82,0.0,14.69,-0.03, ,14.28,0.0, ,13.94,0.06,>,12.21
54,294,,296.159454,-14.733295,17.518,,16.572,,15.92,,C,0.098243976,Kacharov,7006,296.15945389,-14.73332,296.159454,-14.73332,15.28,0.06,15.18,-0.03, ,15.1,0.12, ,14.6,-0.1,>,12.87
