Mid,Id-main,RAJ2000,DEJ2000,Jmag,Hmag,Kmag,Type
48,11174,296.21774,-14.78943,19.12,17.42,15.9,C
49,20569,296.29114,-14.6977,19.24,17.62,16.03,C
50,12445,296.21661,-14.79057,20.26,18.34,16.43,C
51,21141,296.29965,-14.69757,18.16,16.62,15.42,C
52,21234,296.28125,-14.67393,20.16,18.21,16.25,C
53,12147,296.28897,-14.81087,19.93,17.89,16.24,C
54,11299,296.25732,-14.77645,19.06,17.3,15.73,C
55,13293,296.25696,-14.83051,20.3,18.37,16.42,C
56,21029,296.19858,-14.71837,19.11,17.07,15.55,C
57,40102,296.19682,-14.75119,19.69,17.43,15.69,C
58,12177,296.28424,-14.80892,20.5,18.1,16.1,C
59,10807,296.21631,-14.83196,20.37,18,15.89,C
60,40623,296.29793,-14.74687,20.4,18.08,16.11,C
61,30268,296.25891,-14.88796,16.73,15.44,14.45,C
62,10870,296.17892,-14.82286,17.52,16.53,16.19,S
63,10784,296.21545,-14.83469,17.45,16.53,16.2,S
64,11004,296.27341,-14.80861,17.6,16.62,16.27,S
65,11029,296.28308,-14.80497,17.46,16.55,16.22,S
66,12050,296.25427,-14.81764,18.17,17.25,16.7,S
67,30528,296.19156,-14.89296,17.76,16.85,16.51,S
68,10326,296.25522,-14.82579,16.82,15.86,15.52,S
69,10293,296.29922,-14.8365,17.87,16.35,14.98,LAV
70,10310,296.19168,-14.82965,18.32,16.8,15.67,LAV
71,10371,296.28415,-14.81194,17.33,15.94,15.04,LAV
72,10501,296.23456,-14.7733,18,16.56,15.48,LAV
73,10968,296.20154,-14.81282,19.18,17.3,15.91,LAV
74,11391,296.18323,-14.76308,18.39,16.94,15.82,LAV
75,11401,296.27222,-14.76143,18.09,16.73,15.62,LAV
76,11403,296.22778,-14.76111,18.35,17.01,16.18,LAV
77,11991,296.27774,-14.82287,18.46,17.17,16.13,LAV
78,12070,296.24905,-14.81619,17.49,16.92,15.98,LAV
79,12660,296.25348,-14.76936,18.38,16.83,15.54,LAV
80,12711,296.24728,-14.76419,18.94,17.79,16.8,LAV
81,13390,296.24246,-14.82114,19.99,18.4,16.77,LAV
82,14105,296.17993,-14.75767,19.23,17.44,15.98,LAV
83,20438,296.27051,-14.73481,19.39,17.7,16.08,LAV
84,20608,296.18378,-14.68249,19.57,17.64,16.06,LAV
85,20614,296.2677,-14.68061,19.6,17.6,16.3,LAV
86,21316,296.17764,-14.6424,18.63,17.47,16.42,LAV
87,30767,296.26511,-14.96155,18.07,17.09,16.45,LAV
88,30924,296.21112,-14.91074,19.46,17.55,16.25,LAV
89,30961,296.30179,-14.90356,19.75,17.75,15.96,LAV
90,40030,296.18011,-14.75091,17.02,16.27,15.81,LAV
91,40275,296.22681,-14.75065,17.13,15.92,15.11,LAV
92,40327,296.23346,-14.74996,17.71,16.93,16.52,LAV
93,40419,296.24622,-14.86655,17.98,16.67,15.79,LAV
94,40493,296.26105,-14.73764,18.29,16.78,15.38,LAV
95,40538,296.2731,-14.75146,17.31,16.57,15.96,LAV
96,10032,296.22696,-14.80191,14.48,13.66,13.34,RSG
97,10074,296.24005,-14.80796,14.74,13.94,13.66,RSG
98,20022,296.20816,-14.72616,14.09,13.21,12.83,RSG
99,40397,296.24301,-14.74652,14.1,13.3,12.99,RSG
