Ra(J2000) deg,Dec(J2000) deg,J,H,Ks,Types,Ref,R
296.234772,-14.862573,17.71,16.99,16.68,Ce: ,Sibbons,
296.153625,-14.886689,18,17.21,16.92,C   ,Sibbons,
296.183685,-14.962144,18.24,17.33,16.82,C   ,Sibbons,
296.190338,-14.641755,17.59,16.78,16.4,C   ,Sibbons,
296.32608,-14.666169,17.58,16.8,16.51,C   ,Sibbons,
296.335388,-14.681108,18.39,17.51,17.1,C   ,Sibbons,
296.099152,-14.708244,17.48,16.63,16.27,C   ,Sibbons,
296.374054,-14.711063,17.55,16.85,16.52,C   ,Sibbons,
296.075775,-14.711885,18.14,17.39,17.1,C   ,Sibbons,
296.341431,-14.712852,17.32,16.39,15.85,C   ,Sibbons,
296.110779,-14.725801,17.15,16.18,15.45,C   ,Sibbons,
296.08786,-14.740214,17.23,18.14,15.9,C   ,Sibbons,
296.171387,-14.745203,18.02,17.23,16.97,C   ,Sibbons,
296.342804,-14.764064,18.2,17.41,17.02,C   ,Sibbons,
296.106384,-14.767224,17.62,16.8,16.58,C   ,Sibbons,
296.304626,-14.767883,17.76,17.03,16.59,C   ,Sibbons,
296.333038,-14.770712,18.24,17.51,17.25,C   ,Sibbons,
296.162018,-14.82305,17.45,16.64,16.28,C   ,Sibbons,
296.167816,-14.842195,17.72,16.99,16.6,C   ,Sibbons,
296.066071,-14.844581,17.44,16.78,16.3,C   ,Sibbons,
296.364624,-14.865284,17.45,16.57,16.19,C   ,Sibbons,
296.297241,-14.869897,17.49,16.7,16.21,C   ,Sibbons,
296.207458,-14.896397,17.39,16.58,16.2,C   ,Sibbons,
296.368011,-14.913227,16.96,15.87,15.15,C   ,Sibbons,
296.06134,-14.955141,18.23,17.2,17.1,C   ,Sibbons,
296.337067,-14.850516,16.924,16.08,15.693,C5.5    ,Kacharov,18.978
296.354126,-14.855531,17.334,16.521,16.218,C5.5    ,Kacharov,19.406
296.369537,-14.872893,17.025,15.971,15.317,C6.5    ,Kacharov,20.196
296.316101,-14.679276,17.443,16.601,16.179,C6.5    ,Kacharov,19.438
296.343781,-14.74656,17.437,16.532,16.128,C5.5    ,Kacharov,21.667
296.363739,-14.759742,16.528,15.565,14.986,C5.5    ,Kacharov,23.344
296.313934,-14.783896,17.388,16.359,15.668,C5.5    ,Kacharov,22.971
296.193542,-14.678253,17.488,16.498,16.071,C5.5    ,Kacharov,20.206
296.184784,-14.717754,17.435,16.459,16.039,C5.5    ,Kacharov,20.28
296.138214,-14.72313,17.227,16.188,15.542,C6.5    ,Kacharov,20.327
296.197662,-14.763362,17.175,16.255,15.536,C5.5    ,Kacharov,20.414
296.208893,-14.769947,17.025,16.201,15.758,C6.5    ,Kacharov,24.466
296.206879,-14.785284,18.082,17.209,17.074,C5.5    ,Kacharov,19.733
296.180084,-14.825297,17.231,16.366,15.897,C5.5    ,Kacharov,19.755
296.212219,-14.830112,17.27,16.343,16.036,C8.2    ,Kacharov,20.872
296.194489,-14.842676,17.014,16.111,15.568,C5.5    ,Kacharov,20.11
296.202057,-14.847754,17.178,16.174,15.577,C5.5    ,Kacharov,20.336
296.164886,-14.853178,17.217,16.028,15.151,C5.5 e  ,Kacharov,20.933
296.179565,-14.858191,17.341,16.375,15.818,C5.5    ,Kacharov,20.623
296.188385,-14.861088,17.551,16.547,16.182,C5.5    ,Kacharov,20.347
296.178772,-14.868636,17.478,16.402,15.788,C5.5    ,Kacharov,20.434
296.204865,-14.8711,16.935,16.102,15.807,C3.2    ,Kacharov,19.485
296.168549,-14.87782,17.222,16.157,15.564,C5.5    ,Kacharov,20.499
296.116089,-14.881053,17.31,16.25,15.45,C5.5    ,Kacharov,20.608
296.092773,-14.892178,17.214,16.157,15.608,C6.5    ,Kacharov,20.724
296.206696,-14.92662,16.997,15.861,15.147,C6.5 e  ,Kacharov,20.623
296.351776,-14.830035,17.677,16.931,16.712,C8.2    ,Kacharov,19.629
296.345673,-14.834577,17.219,16.341,15.898,C5.5    ,Kacharov,19.646
296.365814,-14.852487,17.293,16.259,15.57,C5.5    ,Kacharov,19.955
296.346741,-14.855356,17.32,16.481,16.022,C5.5    ,Kacharov,19.721
296.293854,-14.708783,17.537,16.573,16.344,C8.2    ,Kacharov,19.802
296.262848,-14.76875,17.647,16.796,16.637,C6.5    ,Kacharov,20.685
296.299103,-14.783449,17.48,16.529,15.729,C       ,Kacharov,21.817
296.134644,-14.67692,17.35,16.321,15.771,C5.5    ,Kacharov,20.201
296.121368,-14.679315,17.359,16.399,16.029,C5.5    ,Kacharov,19.923
296.170105,-14.696488,17.366,16.439,16.089,C5.5    ,Kacharov,20.142
296.20285,-14.700215,17.115,15.986,15.382,C6.5    ,Kacharov,20.626
296.198029,-14.719869,17.606,16.479,15.802,C6.5    ,Kacharov,20.698
296.151001,-14.726998,16.872,16,15.486,C5.5    ,Kacharov,19.754
296.159454,-14.733295,17.518,16.572,15.92,C6.5    ,Kacharov,21.045
296.179321,-14.742605,17.415,16.49,15.87,C6.5    ,Kacharov,19.952
296.207184,-14.745038,17.006,15.993,15.379,C5.5    ,Kacharov,20.06
296.179443,-14.752915,16.663,15.734,15.234,C5.5    ,Kacharov,19.452
296.181671,-14.7577,17.175,16.282,15.944,C6.5    ,Kacharov,19.873
296.202637,-14.773767,17.296,16.414,15.714,C       ,Kacharov,20.774
296.194275,-14.821965,17.296,16.408,15.902,C5.5    ,Kacharov,19.925
296.170105,-14.844587,17.354,16.234,15.509,C6.5    ,Kacharov,21.037
296.156158,-14.860965,17.108,16.214,15.634,C6.5    ,Kacharov,20.326
296.171783,-14.865685,17.105,16.145,15.625,C6.5    ,Kacharov,19.938
296.112885,-14.868258,17.17,16.196,15.588,C6.5    ,Kacharov,20.504
296.178711,-14.876316,18.07,17.083,16.72,C5.5    ,Kacharov,20.439
296.155457,-14.878673,17.625,16.429,15.762,C6.5    ,Kacharov,20.832
