,index,RAJ2000,DEJ2000,Jmag,Hmag,Kmag,SpType,Ref,Rmag
566,,296.311035,-14.973057,17.364,16.349,15.704,C6.5    ,Kacharov,20.228
567,,296.359039,-14.984733,17.425,16.754,16.575,dM1.5   ,Kacharov,19.334
568,,296.32428,-14.991217,18.02,17.453,17.201,dM3     ,Kacharov,20.466
569,,296.334747,-14.99367,17.319,16.239,15.529,C6.5    ,Kacharov,21.401
570,,296.325409,-14.997616,17.49,16.614,16.124,C5.5    ,Kacharov,19.962
571,,296.286377,-14.99973,17.827,17.274,17.038,dM0     ,Kacharov,19.476
572,,296.303833,-15.00228,17.512,16.745,16.488,M0III   ,Kacharov,19.381
573,,296.305145,-15.004685,18.013,17.666,17.264,dM1.5   ,Kacharov,20.028
574,,296.318451,-15.007016,18.252,17.611,17.427,M5III   ,Kacharov,21.764
575,,296.260254,-15.00941,17.864,17.292,17.027,dM3     ,Kacharov,20.194
576,,296.352936,-15.012109,18.009,17.535,17.204,dM3.5   ,Kacharov,20.737
577,,296.250244,-15.015092,18.436,17.14,15.842,C8.2    ,Kacharov,22.244
578,,296.329254,-15.018955,17.125,16.488,16.326,dM1.5   ,Kacharov,19.013
579,,296.335785,-15.026363,17.007,16.337,16.189,dM1.5   ,Kacharov,18.65
580,,296.281281,-15.032146,17.265,16.706,16.274,dM4.5   ,Kacharov,20.944
581,,296.276825,-15.037701,18.149,17.518,17.245,dM3     ,Kacharov,20.411
582,,296.297333,-15.04544,17.954,17.349,17.134,dM4     ,Kacharov,21.073
583,,296.25589,-15.049867,18.195,17.664,17.39,dK7     ,Kacharov,19.396
584,,296.259125,-15.054071,18.17,17.559,17.261,dM      ,Kacharov,21.035
585,,296.255951,-15.05637,17.074,16.496,16.19,dM4.5   ,Kacharov,20.322
586,,296.208069,-14.959845,18.136,17.238,17.009,M       ,Kacharov,20.334
587,,296.230438,-14.986133,18.298,17.577,17.414,M       ,Kacharov,20.142
588,,296.216919,-14.990644,17.631,16.691,16.218,C5.5    ,Kacharov,20.257
589,,296.194397,-14.995967,17.771,17.163,16.854,dM3     ,Kacharov,19.78
590,,296.217194,-15.001184,18.346,17.578,17.201,dM4.5   ,Kacharov,20.855
591,,296.196259,-15.009543,18.098,17.5,17.103,dM      ,Kacharov,21.177
592,,296.211914,-15.013387,16.706,16.173,15.871,dM3     ,Kacharov,18.965
593,,296.219086,-14.802538,17.309,16.477,15.994,C5.5    ,Kacharov,20.155
594,,296.224152,-14.812045,17.551,16.689,16.48,M4III   ,Kacharov,21.067
595,,296.16803,-14.836925,18.081,16.862,15.934,C6.5    ,Kacharov,21.08
596,,296.22171,-14.839417,17.929,17.0,16.501,C5.5    ,Kacharov,20.663
597,,296.204712,-14.849141,17.306,16.262,15.565,C6.5    ,Kacharov,20.326
598,,296.187256,-14.854028,18.166,17.224,16.937,C5.5    ,Kacharov,20.617
