Tab,Reg,f_ID,ID,n_ID,RAJ2000,DEJ2000,Jmag,Hmag,Kmag,phT,n_phT,Dist,spT,spTK,spTD,[LDB2002],PapI,SimbadName
 , , , , ,deg,deg,mag,mag,mag, , ,kpc, , , , , ,
--,-,-,------,---,----------,----------,-----,-----,-----,-,-,-----,----,-----,-------,---,----,------------------------------
10,i,*,248651,4,296.281311,-14.988667,17.16,16.35,16.07,M, ,1.63,C   ,C5.5 ,C      ,682,PapI,[SRC2012] 296.281281-14.988669
10,i, ,165760,   ,296.204498,-14.674287,18.32,17.55,17.28,M, ,1.14,C   ,dK7  ,K0III  ,292,PapI,[SRC2012] 296.204498-14.674287
10,i, ,177839,   ,296.247101,-14.722958,18.13,17.27,17.03,M, ,0.69,C   ,dK7  ,K4III  ,526,PapI,[SRC2012] 296.247101-14.722958
10,i, ,187649,"1,4",296.244446,-14.75467,17.25,16.49,16.22,M, ,0.42,C:  ,dK7  ,K0IV   ,503,PapI,[SRC2012] 296.244446-14.754675
10,i, ,188333,   ,296.350891,-14.757086,16.98,16.22,15.85,M,*,1.02,C:  ,dK7  ,K0III  ,826,PapI,[LDB2002]  826
10,i, ,191318,1,296.234558,-14.767653,16.96,16.04,15.62,C,*,0.3,C   ,dK7  ,K3III  ,461,PapI,[LDB2002]  461
10,i, ,193220,   ,296.290405,-14.774523,17.63,16.84,16.69,M, ,0.5,Ce: ,dK7  ,K0III  ,718,PapI,[SRC2012] 296.290405-14.774528
10,i, ,194777,3,296.278412,-14.780069,17.65,16.54,15.76,C,*,0.39,Ce: ,dK7  ,K0IV   ,668,PapI,[LDB2002]  668
10,i, ,194949,   ,296.352264,-14.780713,17.09,16.3,15.76,C,*,0.97,C:  ,dK7  ,K0III  ,828,PapI,[LDB2002]  828
10,i, ,195133,1,296.229034,-14.781347,17.61,16.51,15.94,C,*,0.2,Ce: ,dK7  ,K0III  ,435,PapI,[LDB2002]  435
10,i, ,195884,1,296.213776,-14.783867,17.89,17.08,16.72,M, ,0.26,C   ,dK7  ,K0IV   ,333,PapI,[SRC2012] 296.213776-14.783867
10,i, ,198595,1,296.257843,-14.793209,17.91,17.14,16.88,M, ,0.19,Ce: ,dK7  ,K0III  ,575,PapI,[SRC2012] 296.257996-14.793209
10,i, ,199754,1,296.208191,-14.797331,17.67,16.91,16.45,C,*,0.25,Ce  ,dK7  ,K0III  ,309,PapI,[SRC2012] 296.208191-14.797331
10,i, ,200300,   ,296.184326,-14.799191,17.83,17.03,16.78,M, ,0.44,Ce: ,dK7  ,K4III  ,224,PapI,[SRC2012] 296.184326-14.799195
10,i, ,200573,   ,296.274109,-14.800164,17.57,16.75,16.4,M, ,0.3,Ce  ,dK   ,K0III  ,653,PapI,[SRC2012] 296.274109-14.800164
10,i, ,201454,1,296.251343,-14.803117,17.41,16.5,16.15,C,*,0.11,Ce: ,dK7  ,K0III  ,544,PapI,[LDB2002]  544
10,i, ,204144,   ,296.404907,-14.812469,     ,16.54,16.16,U,*,1.39,C   ,dK7  ,K4III  ,863,PapI,[SRC2012] 296.404999-14.812469
10,i, ,205865,   ,296.191315,-14.818703,16.95,16.05,15.64,C,*,0.41,Ce  ,dK7  ,K4III  ,244,PapI,[LDB2002]  244
10,i, ,207586,1,296.212616,-14.82485,17.39,16.56,16.25,M, ,0.28,C   ,dK7  ,K0IV   ,327,PapI,[SRC2012] 296.212463-14.824850
10,i, ,208714,   ,296.182983,-14.828946,17.6,16.81,16.58,M, ,0.5,Ce  ,dK7  ,K0III  ,219,PapI,[SRC2012] 296.183014-14.828941
10,i, ,209216,1,296.233093,-14.830748,17.39,16.6,16.31,M, ,0.24,Ce  ,dK7  ,K0III  ,458,PapI,[SRC2012] 296.233093-14.830748
10,i, ,213379,3,296.241516,-14.846167,18.41,17.3,16.36,C,*,0.37,Ce: ,dK7  ,K0III  ,489,PapI,[LDB2002]  489
10,i, ,217716,   ,296.234772,-14.862573,17.71,16.99,16.68,M, ,0.51,Ce: ,dK   ,K0V    ,466,PapI,[SRC2012] 296.234772-14.862573
10,i, ,223739,   ,296.153625,-14.886689,18,17.21,16.92,M, ,1,C   ,dK7  ,K0III  ,131,PapI,[SRC2012] 296.153625-14.886694
10,i, ,242563,   ,296.183685,-14.962144,18.24,17.33,16.82,C,*,1.43,C   ,dK   ,K0IV   ,222,PapI,[LDB2002]  222
