Ra(J2000) deg,Dec(J2000) deg,J,H,Ks,Types,Ref,R,J-Ks,Log(M/Ms),M/Ms,Log(t),t,Log(dt),dt
296.21112,-14.91074,19.26,17.55,15.418479999999999,LAV,Whitelock,89.99,1.0759999999999987,0.34534112000000006,2.2148336850235397,8.76826965824,586502217.1839316,5.328072498092384,212849.43323287833
296.30179,-14.90356,19.55,17.75,14.90808,LAV,Whitelock,89.99,1.0759999999999987,0.4153900799999999,2.6024960558585892,8.59509480128,393635992.0971528,5.35309400197874,225472.71895270428
296.18011,-14.75091,16.82,16.27,15.73848,LAV,Whitelock,89.99,1.0759999999999987,0.2977851199999999,1.9851124814020518,8.89657574624,788089871.9245961,5.34191596889832,219743.46527377996
296.22681,-14.75065,16.93,15.92,14.730679999999998,LAV,Whitelock,89.99,1.0759999999999987,0.45512768000000037,2.851856573175241,8.501353802879999,317215063.8858516,5.372682572289543,235875.35798114396
296.23346,-14.74996,17.51,16.93,16.45,LAV,Whitelock,89.99,1.0600000000000023,0.20199999999999996,1.59220872705117,9.155004,1428907119.171423,5.300594964643253,199799.76111731754
296.24622,-14.86655,17.78,16.67,15.346079999999997,LAV,Whitelock,89.99,1.0759999999999987,0.35301552000000025,2.254319771356303,8.747564127039999,559196091.2324461,5.3275118034992985,212574.81192080516
296.26105,-14.73764,18.09,16.78,14.66248,LAV,Whitelock,89.99,1.0759999999999987,0.4704044799999998,2.9539591146082693,8.46531583168,291954942.4105529,5.3762639112472765,237828.50793634084
296.2731,-14.75146,17.11,16.57,15.835280000000001,LAV,Whitelock,89.99,1.0759999999999987,0.2802643199999997,1.9066207710954768,8.94384686464,878712621.803814,5.348942925680407,223327.87094566118
296.22696,-14.80191,14.280000000000001,13.66,13.27,RSG,Whitelock,89.99,1.0100000000000016,1.14668,14.01780453936504,7.1876500000000005,15404584.897005534,2.932999037777375,857.0359463798757
296.24005,-14.80796,14.540000000000001,13.94,13.59,RSG,Whitelock,89.99,0.9500000000000011,0.9303599999999994,8.518438650959105,7.525716640000002,33551863.015429027,3.797413084037396,6272.1015897540165
296.24301,-14.74652,13.9,13.3,12.92,RSG,Whitelock,89.99,0.9800000000000004,1.3840899999999996,24.215308150111117,6.90968943,8122494.575886736,2.8626675640674195,728.8993518850406
296.22287,-14.71018,17.400000000000002,16.76,16.29088,Ce  ,Sibbons,89.99,1.0759999999999987,0.22775287999999982,1.689479319298782,9.08552272976,1217650719.6148088,5.341733560451483,219651.18998733707
296.22888,-14.72012,17.3,16.56,16.23,Ce  ,Sibbons,89.99,1.0700000000000003,0.23378,1.713089290222005,9.06926156,1172901549.4349859,5.3468121837521,222234.85995012205
296.22033,-14.72841,18.060000000000002,17.25,17.08,Ce  ,Sibbons,89.99,0.980000000000004,0.07495000000000018,1.1883654039377696,9.5220101,3326672897.5094094,5.06500866789496,116147.17949201663
296.12738,-14.73369,17.36,16.81,16.34,Ce  ,Sibbons,89.99,1.0199999999999996,0.22289000000000003,1.6706674067917622,9.098642779999999,1254997266.8335311,5.336469074318086,217004.66711822205
296.31088,-14.73645,16.98,16.31,15.815679999999999,Ce  ,Sibbons,89.99,1.0759999999999987,0.28381192,1.9222590754939564,8.934275439839999,859558501.014423,5.347611471677158,222644.24391685353
296.28564,-14.74075,16.470000000000002,15.62,14.877879999999998,Ce: ,Sibbons,89.99,1.0759999999999987,0.42215488000000034,2.6433512727566306,8.579136638079998,379434344.135488,5.357011182130764,227515.60102971437
296.18609,-14.7787,16.52,15.9,15.469999999999999,Ce  ,Sibbons,89.99,1.0500000000000007,0.33988000000000007,2.1871572065804643,8.78300376,606741582.5644692,5.328788210859766,213200.49606885426
296.24578,-14.7865,17.38,16.73,16.39,Ce: ,Sibbons,89.99,0.9899999999999984,0.2179399999999999,1.6517335870370005,9.111997879999999,1294189523.873772,5.3299656437097225,213779.29656843204
296.23651,-14.79789,17.05,16.52,16.15,Ce  ,Sibbons,89.99,0.9000000000000021,0.24170000000000014,1.7446165981330146,9.0478934,1116589141.1163242,5.3512826667130415,224534.28614900564
296.22512,-14.86821,17.11,16.58,16.25,Ce  ,Sibbons,89.99,0.8599999999999994,0.2318,1.7052968899095884,9.0746036,1187417923.2130673,5.345312778554475,221468.91528162503
296.21267,-14.87307,17.46,16.8,16.4,Ce  ,Sibbons,89.99,1.0600000000000023,0.2169500000000001,1.6479726507403978,9.1146689,1302173641.0684888,5.3285210926020605,213069.40475365776
296.117004,-14.632751,16.26,15.59,15.19,C:  ,Sibbons,89.99,1.070000000000002,0.36956,2.3418549920447136,8.703207959999999,504903010.27021974,5.328267284140474,212944.9200528142
296.233887,-14.671288,16.94,16.26,15.940000000000001,C   ,Sibbons,89.99,1.0,0.2613099999999995,1.8251980663461116,8.994985620000001,988520363.0456691,5.353820843475953,225850.38929025346
296.259827,-14.684196,17.11,16.47,16.14,C   ,Sibbons,89.99,0.9699999999999989,0.24268999999999996,1.7485980913238308,9.04522238,1109742912.4108343,5.3516813246456705,224740.49063534132
296.411377,-14.685686,17.27,16.58,15.981479999999998,C:  ,Sibbons,89.99,1.0759999999999987,0.2583834800000002,1.8129402038064646,9.002881370959999,1006656659.5449593,5.3540610782616875,225975.35548570476
296.156006,-14.687428,17.11,16.25,15.448879999999999,Ce: ,Sibbons,89.99,1.0759999999999987,0.34211872,2.198460768265891,8.776963693439999,598361570.5740197,5.328462864859348,213040.8395304415
296.179413,-14.688039,17.04,16.35,16.009999999999998,C   ,Sibbons,89.99,1.0300000000000011,0.25556000000000023,1.8011919611187461,9.010499119999999,1024469704.4510456,5.354115437722675,226003.64197755713
296.248596,-14.689795,17.060000000000002,16.43,16.04,C   ,Sibbons,89.99,1.0200000000000031,0.2525900000000001,1.7889162125599156,9.018512179999998,1043547399.1126463,5.353965822568257,225925.79676548034
296.350922,-14.720666,16.85,16.13,15.644279999999998,C   ,Sibbons,89.99,1.0759999999999987,0.31483532000000003,2.064597133368186,8.850574306639999,708882584.01554,5.3352706528220954,216406.67524709945
296.375854,-14.73088,15.95,15.33,14.959999999999999,C   ,Sibbons,89.99,0.9900000000000002,0.4037600000000001,2.5337280536728124,8.622530159999998,419305114.7224374,5.346252676890617,221948.7364257484
