Sp,Seq,RAJ2000,DEJ2000,Dist,Rmag,Jmag,Hmag,Kmag,SpTph,SpType,q_SpType,Nsp,Simbad
 , ,deg,deg,deg,mag,mag,mag,mag, , , , ,
--,------,----------,----------,--------,------,------,------,------,---,--------,-,-,------
sp,50075,296.938354,-14.381606,0.815359,20.596,17.528,16.902,16.637,M  ,dM3     ,5,1,Simbad
sp,50524,296.981598,-14.386964,0.850021,21.985,18.128,17.547,17.365,M  ,dM      ,5,1,Simbad
sp,51221,297.006256,-14.394895,0.867839,20.348,18.126,17.297,17.202,M  ,dM3     ,5,1,Simbad
sp,54857,297.025116,-14.436872,0.865936,20.694,17.775,17.192,16.831,M  ,dM3     ,6,1,Simbad
sp,55755,296.974823,-14.447328,0.816031,22.166,17.896,17.283,17.053,M  ,dM      ,4,1,Simbad
sp,56605,297.028107,-14.45823,0.859852,19.843,17.57,17.079,16.704,M  ,dM1.5   ,6,1,Simbad
sp,57180,296.975769,-14.466044,0.808899,18.471,18.236,17.514,17.185,M  ,--      ,4,1,Simbad
sp,57342,297.018646,-14.468082,0.847248,19.104,16.712,16.068,15.835,M  ,dM2     ,5,1,Simbad
sp,57732,296.954742,-14.47366,0.786614,22.591,18.343,17.804,17.385,M  ,K       ,4,1,Simbad
sp,57978,297.014343,-14.477056,0.83977,21.46,18.167,17.555,17.215,M  ,dM      ,4,1,Simbad
sp,58422,296.968933,-14.48323,0.79562,20.872,17.727,17.076,16.816,M  ,dM      ,4,1,Simbad
sp,59131,297.023346,-14.493817,0.841764,21.156,18.165,17.555,17.168,M  ,dM      ,4,1,Simbad
sp,60052,297.016083,-14.503956,0.831309,21.259,18.178,17.632,17.433,M  ,dM      ,4,1,Simbad
sp,60786,297.018768,-14.510902,0.831344,20.503,18.148,17.651,17.346,M  ,dM3     ,5,1,Simbad
sp,61414,296.937805,-14.516788,0.753838,19.436,17.791,17.1,16.94,M  ,dM0     ,5,1,Simbad
sp,61782,297.006958,-14.520561,0.816906,20.277,17.413,16.788,16.564,M  ,dM3     ,5,1,Simbad
sp,62104,297.020477,-14.523369,0.828648,20.379,18.044,17.363,17.141,M  ,dM3     ,5,1,Simbad
sp,62393,296.953674,-14.526256,0.765058,20.05,18.052,17.447,17.269,M  ,dM1.5   ,5,1,Simbad
sp,62691,296.932526,-14.52895,0.744389,18.61,16.632,15.979,15.793,M  ,dM1.5   ,6,1,Simbad
sp,63105,297.018127,-14.533105,0.823188,18.94,17.651,17.046,16.895,M  ,dK7     ,5,1,Simbad
sp,63424,296.975586,-14.536401,0.782,20.393,17.165,16.641,16.351,M  ,dM4.5   ,5,1,Simbad
sp,63663,296.964935,-14.538761,0.771184,18.523,16.722,16.023,15.882,M  ,dM1.5   ,6,1,Simbad
sp,136956,295.645844,-15.270988,0.756527,21.027,18.097,17.564,17.253,M  ,dM3.5   ,4,1,Simbad
sp,139836,295.638458,-15.305284,0.78385,18.308,17.652,16.911,16.703,M  ,dK      ,4,1,Simbad
sp,142268,295.612732,-15.336275,0.823486,18.072,17.83,17.128,16.957,M  ,dK      ,4,1,Simbad
sp,142730,295.644928,-15.342483,0.803363,17.846,17.427,16.796,16.615,M  ,dK      ,4,1,Simbad
sp,143023,295.591583,-15.346883,0.846494,18.352,16.991,16.276,15.991,M  ,dK      ,4,1,Simbad
sp,143950,295.618652,-15.359362,0.834187,21.326,17.498,16.892,16.726,M  ,dK      ,4,1,Simbad
sp,144255,295.584229,-15.363297,0.862706,18.206,17.197,16.553,16.344,M  ,dK      ,4,1,Simbad
sp,128247,295.622314,-15.17592,0.721813,20.969,18.314,17.515,17.276,M  ,M       ,4,1,Simbad
sp,129250,295.683594,-15.186219,0.675849,21.99,18.208,17.596,17.426,M  ,dM      ,4,1,Simbad
sp,126166,295.689667,-15.155052,0.653571,24.553,17.736,16.787,16.428,C  ,--      ,4,1,Simbad
sp,131608,295.688568,-15.211617,0.686546,20.194,17.775,17.153,16.833,M  ,dM0     ,4,1,Simbad
sp,123364,295.460785,-15.123086,0.842779,20.475,18.389,17.712,17.401,M  ,dM      ,5,1,Simbad
sp,124511,295.456573,-15.136149,0.851695,18.275,17.643,16.952,16.724,M  ,dM0     ,5,1,Simbad
sp,125420,295.464996,-15.146566,0.848109,19.33,17.472,16.739,16.559,M  ,dM0     ,5,1,Simbad
sp,130615,295.434204,-15.201089,0.899106,19.391,16.736,16.063,15.827,M  ,--      ,4,1,Simbad
sp,131365,295.503571,-15.209061,0.841269,18.599,18.138,17.388,17.182,M  ,dM0     ,5,1,Simbad
sp,137212,295.485199,-15.273877,0.889908,19.066,17.789,16.997,16.8,M  ,K7III   ,4,1,Simbad
sp,139197,295.416962,-15.29779,0.960602,21.676,18.304,17.561,17.378,M  ,dM      ,4,1,Simbad
