Sp,Seq,RAJ2000,DEJ2000,Dist,Rmag,Jmag,Hmag,Kmag,SpTph,SpType,q_SpType,Nsp,Simbad
 , ,deg,deg,deg,mag,mag,mag,mag, , , , ,
--,------,----------,----------,--------,------,------,------,------,---,--------,-,-,------
sp,71314,296.053589,-14.615259,0.265288,20.918,17.901,17.144,16.86,M  ,dM      ,5,1,Simbad
sp,71622,296.047607,-14.618206,0.267489,20.069,18.222,17.573,17.431,M  ,dM0     ,4,1,Simbad
sp,72115,296.049713,-14.623334,0.262428,19.518,17.918,17.231,17.082,M  ,dM0     ,4,1,Simbad
sp,72930,296.02417,-14.632055,0.276056,19.379,17.776,17.148,16.904,M  ,dM0     ,6,1,Simbad
sp,73293,295.99939,-14.635953,0.293642,20.416,17.817,16.896,16.458,C  ,C5.5    ,5,1,Simbad
sp,74069,295.986328,-14.643986,0.300119,20.589,17.983,17.224,16.969,M  ,dM3     ,5,1,Simbad
sp,74550,296.018707,-14.649366,0.270125,19.133,17.628,16.933,16.816,M  ,dM0     ,4,1,Simbad
sp,75067,296.057068,-14.654613,0.236277,20.143,17.773,16.926,16.688,M  ,M5III   ,5,1,Simbad
sp,75313,296.018372,-14.657308,0.265956,20.211,17.694,17.056,16.876,M  ,dM3.5   ,5,1,Simbad
sp,75540,296.027252,-14.659583,0.257303,20.072,17.632,17.085,16.74,M  ,dM3.5   ,4,1,Simbad
sp,75867,296.001099,-14.663127,0.277562,19.762,17.754,17.079,16.836,M  ,dM1.5   ,4,1,Simbad
sp,81688,296.051239,-14.72685,0.20425,20.36,17.414,16.397,15.734,C  ,C6.5    ,5,1,Simbad
sp,83473,296.03833,-14.742747,0.211167,20.77,17.513,17.026,16.573,M  ,dM4     ,5,1,Simbad
sp,84913,296.017212,-14.754925,0.228584,19.124,17.626,17.119,16.727,M  ,dM0     ,5,1,Simbad
sp,85472,296.057068,-14.759219,0.188772,21.963,17.951,17.343,16.984,M  ,dM      ,5,1,Simbad
sp,86142,296.057373,-14.764623,0.187282,19.872,18.174,17.466,17.283,M  ,--      ,4,1,Simbad
sp,86680,296.014832,-14.769041,0.228362,20.342,17.05,15.886,15.051,C  ,C8.2    ,5,1,Simbad
sp,87702,295.954315,-14.777233,0.287471,23.446,18.212,17.583,17.391,M  ,M       ,4,1,Simbad
sp,88306,296.042908,-14.782191,0.19882,19.58,16.913,15.97,15.401,C  ,C5.5    ,5,1,Simbad
sp,89403,296.025879,-14.790672,0.21509,19.888,17.776,16.947,16.628,M  ,M3III   ,5,1,Simbad
