Tab( ),Reg( ),f_ID( ),ID( ),n_ID( ),RAJ2000(deg),DEJ2000(deg),Jmag(mag),Hmag(mag),Kmag(mag),phT( ),n_phT( ),Dist(kpc),spT( ),spTK( ),spTD( ),[LDB2002]( ),R-I(mag),CN-TiO(mag),S/N( ),PapI( ),SimbadName( ),recno()
10.0,i,*,201131.0,   ,296.160095,-14.802064,17.38,16.61,16.35,M, ,0.64,C   ,C3.2 ,K3III  ,149.0,1.173,0.314,18.0,PapI,[SRC2012] 296.160095-14.802064,40.0
10.0,i,*,203106.0,   ,296.338257,-14.808908,17.41,16.5,16.05,C,*,0.83,C:  ,C5.5 ,C      ,810.0,1.215,0.359,10.0,PapI,[SRC2012] 296.338257-14.808908,41.0
10.0,i,*,206129.0,1.0,296.238953,-14.8196,17.84,17.06,16.83,M, ,0.14,dKe:,dK7  ,K0III  ,486.0,1.252,0.454,21.0,PapI,[SRC2012] 296.238953-14.819600,42.0
10.0,i,*,208620.0,   ,296.100708,-14.828527,16.72,15.96,15.64,M, ,1.15,C   ,C3.2 ,C      ,66.0,1.143,0.403,18.0,PapI,[SRC2012] 296.100708-14.828527,43.0
10.0,i,*,209650.0,2.0,296.129822,-14.832311,17.56,16.74,16.49,M, ,0.92,C   ,C3.2 ,C      ,99.0,1.169,0.427,12.0,PapI,[SRC2012] 296.129822-14.832311,44.0
10.0,i,*,209652.0,2.0,296.084503,-14.832314,17.5,16.6,16.15,C,*,1.29,C:  ,C5.5 ,S      ,50.0,1.39,0.472,11.0,PapI,[SRC2012] 296.084595-14.832314,45.0
10.0,i,*,210316.0,   ,296.434357,-14.834667,17.48,16.72,16.32,M, ,1.65,C:  ,C5.5 ,C      ,875.0,1.109,0.421,14.0,PapI,[SRC2012] 296.434357-14.834672,46.0
10.0,i,*,211898.0,   ,296.30838,-14.840508,17.25,16.46,16.08,M, ,0.67,C   ,C3.2 ,C      ,764.0,1.104,0.422,17.0,PapI,[SRC2012] 296.308472-14.840510,47.0
10.0,i,*,215861.0,   ,296.173828,-14.855554,17.84,16.97,16.65,M, ,0.69,Ce  ,C    ,C      ,189.0,1.173,0.344,11.0,PapI,[SRC2012] 296.173828-14.855554,48.0
10.0,i,*,216688.0,   ,296.080383,-14.858717,16.31,15.7,15.29,M,*,1.38,C:  ,K7III,M0III  ,46.0,1.247,0.518,28.0,PapI,[LDB2002]   46                ,49.0
10.0,i,*,219351.0,   ,296.28244,-14.868937,17.48,16.72,16.55,M, ,0.67,Ce  ,C3.2 ,C      ,690.0,1.168,0.43,13.0,PapI,[SRC2012] 296.282440-14.868937,50.0
10.0,i,*,220153.0,   ,296.236908,-14.87212,18.02,17.07,16.82,M, ,0.59,Ce  ,C3.2 ,C      ,477.0,1.148,0.434,12.0,PapI,[SRC2012] 296.236908-14.872120,51.0
10.0,i,*,222468.0,   ,296.096558,-14.8814,17.98,17.19,17.03,M, ,1.34,C   ,C5.5 ,C      ,63.0,1.201,0.428,12.0,PapI,[SRC2012] 296.096558-14.881400,52.0
10.0,i,*,223056.0,   ,296.261414,-14.883708,17.94,17.07,16.79,M, ,0.72,Ce  ,C3.2 ,C      ,598.0,1.137,0.424,12.0,PapI,[SRC2012] 296.261261-14.883708,53.0
10.0,i,*,224407.0,   ,296.431213,-14.889406,17.33,16.48,16.18,M, ,1.76,C:  ,C5.5 ,C      ,873.0,1.243,0.486,10.0,PapI,[SRC2012] 296.431213-14.889411,54.0
10.0,i,*,225648.0,4.0,296.163086,-14.894488,16.75,15.88,15.44,C,*,0.99,C   ,C5.5 ,C      ,158.0,1.373,0.559,22.0,PapI,[SRC2012] 296.163116-14.894491,55.0
10.0,i,*,226603.0,4.0,296.118591,-14.89873,16.89,16.03,15.73,M, ,1.28,C   ,C5.5 ,C      ,88.0,1.203,0.383,14.0,PapI,[SRC2012] 296.118591-14.898730,56.0
10.0,i,*,228306.0,4.0,296.251007,-14.9064,17.96,17.09,16.77,M, ,0.89,Ce  ,C    ,C      ,542.0,1.204,0.484,16.0,PapI,[SRC2012] 296.251007-14.906405,57.0
10.0,i,*,229643.0,   ,296.35376,-14.912353,17.22,16.35,15.96,C,*,1.34,C   ,C3.2 ,C      ,830.0,1.194,0.405,11.0,PapI,[LDB2002]  830                ,58.0
10.0,i,*,231793.0,   ,296.223907,-14.922441,17.22,16.33,15.81,C,*,1.03,C   ,C5.5 ,C      ,396.0,1.261,0.446,17.0,PapI,[SRC2012] 296.223999-14.922442,59.0
10.0,i,*,233186.0,   ,296.157745,-14.929084,     ,16.62,16.12,U,*,1.26,Uncl,dK7  ,K0III  ,140.0,1.23,0.305,32.0,PapI,[SRC2012] 296.157837-14.929084,60.0
10.0,i,*,239630.0,   ,296.332458,-14.951111,17.76,16.91,16.48,C,*,1.49,C:  ,C5.5 ,C      ,800.0,1.237,0.408,11.0,PapI,[LDB2002]  800                ,61.0
10.0,i,*,239687.0,   ,296.034485,-14.951339,17.57,16.71,16.39,M,*,2.1,C   ,C3.2 ,K0IV   ,22.0,1.162,0.44,11.0,PapI,[SRC2012] 296.034485-14.951339,62.0
10.0,i,*,242030.0,4.0,296.345795,-14.960103,16.91,16.07,15.72,M, ,1.61,C:  ,C5.5 ,C      ,819.0,1.181,0.423,21.0,PapI,[SRC2012] 296.345795-14.960103,63.0
10.0,i,*,248633.0,   ,296.33786,-14.988564,16.73,15.73,15.19,C,*,1.79,C:  ,C3.2 ,S      ,809.0,1.443,0.402,11.0,PapI,[LDB2002]  809                ,64.0
10.0,i,*,248651.0,4.0,296.281311,-14.988667,17.16,16.35,16.07,M, ,1.63,C   ,C5.5 ,C      ,682.0,1.147,0.426,14.0,PapI,[SRC2012] 296.281281-14.988669,65.0
10.0,i, ,165760.0,   ,296.204498,-14.674287,18.32,17.55,17.28,M, ,1.14,C   ,dK7  ,K0III  ,292.0,1.117,0.553,10.0,PapI,[SRC2012] 296.204498-14.674287,66.0
10.0,i, ,177839.0,   ,296.247101,-14.722958,18.13,17.27,17.03,M, ,0.69,C   ,dK7  ,K4III  ,526.0,1.192,0.446,12.0,PapI,[SRC2012] 296.247101-14.722958,67.0
10.0,i, ,187649.0,"1,4",296.244446,-14.75467,17.25,16.49,16.22,M, ,0.42,C:  ,dK7  ,K0IV   ,503.0,1.141,0.313,18.0,PapI,[SRC2012] 296.244446-14.754675,68.0
10.0,i, ,188333.0,   ,296.350891,-14.757086,16.98,16.22,15.85,M,*,1.02,C:  ,dK7  ,K0III  ,826.0,1.171,0.414,29.0,PapI,[LDB2002]  826                ,69.0
10.0,i, ,191318.0,1.0,296.234558,-14.767653,16.96,16.04,15.62,C,*,0.3,C   ,dK7  ,K3III  ,461.0,1.342,0.574,19.0,PapI,[LDB2002]  461                ,70.0
10.0,i, ,193220.0,   ,296.290405,-14.774523,17.63,16.84,16.69,M, ,0.5,Ce: ,dK7  ,K0III  ,718.0,1.139,0.385,11.0,PapI,[SRC2012] 296.290405-14.774528,71.0
10.0,i, ,194777.0,3.0,296.278412,-14.780069,17.65,16.54,15.76,C,*,0.39,Ce: ,dK7  ,K0IV   ,668.0,1.691,0.565,14.0,PapI,[LDB2002]  668                ,72.0
10.0,i, ,194949.0,   ,296.352264,-14.780713,17.09,16.3,15.76,C,*,0.97,C:  ,dK7  ,K0III  ,828.0,1.325,0.518,22.0,PapI,[LDB2002]  828                ,73.0
10.0,i, ,195133.0,1.0,296.229034,-14.781347,17.61,16.51,15.94,C,*,0.2,Ce: ,dK7  ,K0III  ,435.0,1.39,0.532,22.0,PapI,[LDB2002]  435                ,74.0
10.0,i, ,195884.0,1.0,296.213776,-14.783867,17.89,17.08,16.72,M, ,0.26,C   ,dK7  ,K0IV   ,333.0,1.247,0.443,22.0,PapI,[SRC2012] 296.213776-14.783867,75.0
10.0,i, ,198595.0,1.0,296.257843,-14.793209,17.91,17.14,16.88,M, ,0.19,Ce: ,dK7  ,K0III  ,575.0,1.218,0.334,19.0,PapI,[SRC2012] 296.257996-14.793209,76.0
10.0,i, ,199754.0,1.0,296.208191,-14.797331,17.67,16.91,16.45,C,*,0.25,Ce  ,dK7  ,K0III  ,309.0,1.138,0.338,16.0,PapI,[SRC2012] 296.208191-14.797331,77.0
10.0,i, ,200300.0,   ,296.184326,-14.799191,17.83,17.03,16.78,M, ,0.44,Ce: ,dK7  ,K4III  ,224.0,1.104,0.369,15.0,PapI,[SRC2012] 296.184326-14.799195,78.0
10.0,i, ,200573.0,   ,296.274109,-14.800164,17.57,16.75,16.4,M, ,0.3,Ce  ,dK   ,K0III  ,653.0,1.2,0.41,13.0,PapI,[SRC2012] 296.274109-14.800164,79.0
10.0,i, ,201454.0,1.0,296.251343,-14.803117,17.41,16.5,16.15,C,*,0.11,Ce: ,dK7  ,K0III  ,544.0,1.41,0.512,27.0,PapI,[LDB2002]  544                ,80.0
10.0,i, ,204144.0,   ,296.404907,-14.812469,     ,16.54,16.16,U,*,1.39,C   ,dK7  ,K4III  ,863.0,1.16,0.406,16.0,PapI,[SRC2012] 296.404999-14.812469,81.0
10.0,i, ,205865.0,   ,296.191315,-14.818703,16.95,16.05,15.64,C,*,0.41,Ce  ,dK7  ,K4III  ,244.0,1.275,0.528,15.0,PapI,[LDB2002]  244                ,82.0
10.0,i, ,207586.0,1.0,296.212616,-14.82485,17.39,16.56,16.25,M, ,0.28,C   ,dK7  ,K0IV   ,327.0,1.119,0.419,17.0,PapI,[SRC2012] 296.212463-14.824850,83.0
