Mid,Id-main,Ra(J2000) deg,Dec(J2000) deg,J,eJ,H,eH,Ks,eKs,Types
134,,296.08,-14.86,16.31,,15.70,,15.29,,C
135,,296.28,-14.87,17.48,,16.72,,16.55,,C
136,,296.24,-14.87,18.02,,17.07,,16.82,,C
137,,296.10,-14.88,17.98,,17.19,,17.03,,C
138,,296.26,-14.88,17.94,,17.07,,16.79,,C
139,,296.43,-14.89,17.33,,16.48,,16.18,,C
140,,296.16,-14.89,16.75,,15.88,,15.44,,C
141,,296.12,-14.90,16.89,,16.03,,15.73,,C
142,,296.25,-14.91,17.96,,17.09,,16.77,,C
143,,296.35,-14.91,17.22,,16.35,,15.96,,C
144,,296.22,-14.92,17.22,,16.33,,15.81,,C
145,,296.33,-14.95,17.76,,16.91,,16.48,,C
146,,296.03,-14.95,17.57,,16.71,,16.39,,C
147,,296.35,-14.96,16.91,,16.07,,15.72,,C
148,,296.34,-14.99,16.73,,15.73,,15.19,,C
149,,296.28,-14.99,17.16,,16.35,,16.07,,C
150,,296.20,-14.67,18.32,,17.55,,17.28,,C
151,,296.25,-14.72,18.13,,17.27,,17.03,,C
152,,296.24,-14.75,17.25,,16.49,,16.22,,C
153,,296.35,-14.76,16.98,,16.22,,15.85,,C
154,,296.23,-14.77,16.96,,16.04,,15.62,,C
155,,296.29,-14.77,17.63,,16.84,,16.69,,C
156,,296.28,-14.78,17.65,,16.54,,15.76,,C
157,,296.35,-14.78,17.09,,16.30,,15.76,,C
158,,296.23,-14.78,17.61,,16.51,,15.94,,C
159,,296.21,-14.78,17.89,,17.08,,16.72,,C
160,,296.26,-14.79,17.91,,17.14,,16.88,,C
161,,296.21,-14.80,17.67,,16.91,,16.45,,C
162,,296.18,-14.80,17.83,,17.03,,16.78,,C
163,,296.27,-14.80,17.57,,16.75,,16.40,,C
164,,296.25,-14.80,17.41,,16.50,,16.15,,C
165,,296.40,-14.81,,,16.54,,16.16,,C   
166,,296.19,-14.82,16.95,,16.05,,15.64,,C   
167,,296.21,-14.82,17.39,,16.56,,16.25,,C   
168,,296.18,-14.83,17.60,,16.81,,16.58,,C   
169,,296.23,-14.83,17.39,,16.60,,16.31,,C   
170,,296.24,-14.85,18.41,,17.30,,16.36,,C   
171,,296.23,-14.86,17.71,,16.99,,16.68,,C   
172,,296.15,-14.89,18.00,,17.21,,16.92,,C   
173,,296.18,-14.96,18.24,,17.33,,16.82,,C   
174,,296.81,-14.61,18.19,,17.45,,17.19,,C   
175,,295.72,-15.13,17.63,,16.68,,16.07,,C   
176,,295.78,-15.24,18.24,,17.41,,17.25,,C   
177,,296.19,-14.64,17.59,,16.78,,16.40,,C   
178,,296.33,-14.67,17.58,,16.80,,16.51,,C   
179,,296.34,-14.68,18.39,,17.51,,17.10,,C   
180,,296.54,-14.70,17.59,,16.48,,15.73,,C   
181,,296.10,-14.71,17.48,,16.63,,16.27,,C   
182,,296.37,-14.71,17.55,,16.85,,16.52,,C   
183,,296.08,-14.71,18.14,,17.39,,17.10,,C   
184,,296.34,-14.71,17.32,,16.39,,15.85,,C   
185,,296.11,-14.73,17.15,,16.18,,15.45,,C   
186,,295.98,-14.73,17.58,,16.77,,16.22,,C   
187,,296.09,-14.74,17.23,,18.14,,15.90,,C   
188,,296.17,-14.75,18.02,,17.23,,16.97,,C   
189,,296.34,-14.76,18.20,,17.41,,17.02,,C   
190,,296.11,-14.77,17.62,,16.80,,16.58,,C   
191,,296.30,-14.77,17.76,,17.03,,16.59,,C   
192,,296.33,-14.77,18.24,,17.51,,17.25,,C   
193,,296.16,-14.82,17.45,,16.64,,16.28,,C   
194,,296.17,-14.84,17.72,,16.99,,16.60,,C   
195,,296.07,-14.84,17.44,,16.78,,16.30,,C   
196,,296.36,-14.87,17.45,,16.57,,16.19,,C   
197,,296.30,-14.87,17.49,,16.70,,16.21,,C   
198,,296.21,-14.90,17.39,,16.58,,16.20,,C   
199,,296.37,-14.91,16.96,,15.87,,15.15,,C   
200,,296.09,-14.95,18.64,,,,15.90,,C   
201,,296.06,-14.96,18.23,,17.20,,17.10,,C   
202,,295.97,-14.98,17.69,,16.93,,16.60,,C   
203,,296.22,-15.00,,,18.06,,16.76,,C   
204,,296.09,-15.01,18.20,,16.77,,16.74,,C   
205,,295.97,-14.88,17.73,,,,15.90,,C
206,,295.98,-14.88,17.66,,,,15.92,,C
207,,295.99,-14.72,17.92,,,,15.84,,C
208,,296.00,-14.86,18.41,,,,16.70,,C
209,,296.01,-14.89,16.93,,,,15.31,,C
210,,296.01,-14.74,16.98,,,,15.36,,C
211,,296.01,-14.74,17.55,,,,15.75,,C
212,,296.02,-14.79,17.93,,,,16.39,,C
213,,296.03,-14.90,17.47,,,,15.16,,C
214,,296.04,-14.78,17.03,,,,15.32,,C
215,,296.05,-14.90,17.64,,,,15.91,,C
216,,296.05,-14.73,17.59,,,,15.53,,C
217,,296.05,-14.87,17.68,,,,15.79,,C
218,,296.05,-14.92,17.94,,,,16.19,,C
219,,296.06,-14.74,17.69,,,,16.00,,C
220,,296.07,-14.90,18.11,,,,16.19,,C
221,,296.07,-14.85,17.45,,,,15.92,,C
222,,296.07,-14.86,17.85,,,,16.28,,C
223,,296.08,-14.88,17.83,,,,16.11,,C
224,,296.08,-14.78,17.56,,,,15.87,,C
225,,296.08,-14.79,17.49,,,,15.54,,C
226,,296.08,-14.75,17.46,,,,15.95,,C
227,,296.08,-14.78,17.93,,,,16.14,,C
228,,296.09,-14.83,18.07,,,,16.19,,C
229,,296.09,-14.89,17.85,,,,15.69,,C
230,,296.10,-14.79,17.62,,,,15.55,,C
231,,296.10,-14.72,17.36,,,,15.27,,C
232,,296.10,-14.84,18.09,,,,15.56,,C
233,,296.11,-14.87,17.90,,,,16.27,,C
234,,296.11,-14.93,17.90,,,,15.86,,C
235,,296.11,-14.74,17.47,,,,15.91,,C
236,,296.11,-14.86,17.43,,,,15.32,,C
237,,296.11,-14.87,17.53,,,,15.62,,C
238,,296.12,-14.77,17.45,,,,15.50,,C
239,,296.12,-14.85,18.29,,,,16.17,,C
240,,296.12,-14.84,17.81,,,,16.10,,C
241,,296.13,-14.79,16.99,,,,14.98,,C
242,,296.13,-14.79,17.80,,,,15.91,,C
243,,296.13,-14.79,17.66,,,,16.02,,C
244,,296.37,-14.85,17.51,,,,15.84,,C
245,,296.37,-14.87,17.16,,,,15.45,,C
246,,296.37,-14.90,17.50,,,,15.55,,C
