Id-main,Ra(J2000) deg,Dec(J2000) deg,J,Ks,Types,J-Ks,Log(M/Ms),M/Ms,Log(t),t,Log(dt),dt
11991.0,296.27774,-14.82287,18.26,15.736619999999998,LAV,1.3490000000000002,0.20310210000000004,1.596254372854926,9.1733097232,1490423615.2859528,5.9242950508456,840030.4923484549
12070.0,296.24905,-14.81619,17.29,15.89822,LAV,1.3490000000000002,0.19583009999999998,1.5697485840978356,9.1922750992,1556951553.6399794,5.887436762291804,771679.1430463154
12660.0,296.25348,-14.76936,18.18,14.95282,LAV,1.3490000000000002,0.47000171999999996,2.95122091479537,8.4959458462,313289504.75812644,5.047744026013548,111620.51604346004
12711.0,296.24728,-14.76419,18.740000000000002,16.47882,LAV,1.3490000000000002,0.14048396000000007,1.381923365740645,9.33661783232,2170790100.151885,5.494932268903378,312559.1872387598
13390.0,296.24246,-14.82114,19.79,16.03842,LAV,1.3490000000000002,0.18952110000000003,1.5471096677419935,9.2087289712,1617070562.5137916,5.851615612487809,710584.3077636516
14105.0,296.17993,-14.75767,19.03,15.23702,LAV,1.3490000000000002,0.36939491999999996,2.3409649969530326,8.739618048639999,549057778.5849073,5.367240876519456,232938.2865288615
20438.0,296.27051,-14.73481,19.19,15.314219999999997,LAV,1.3490000000000002,0.34384410000000054,2.207212261147072,8.806254587199998,640109963.5444388,5.545787397572051,351388.3814422195
20608.0,296.18378,-14.68249,19.37,15.218219999999997,LAV,1.3490000000000002,0.3760501200000008,2.3771146030492596,8.722838960199999,528249336.4570125,5.325228220326007,211459.99632638122
20614.0,296.2677,-14.68061,19.400000000000002,15.53802,LAV,1.3490000000000002,0.2666330999999995,1.8477069824342054,9.0076208752,1017702579.2777607,5.993070351509774,984170.518963782
21316.0,296.17764,-14.6424,18.43,16.07222,LAV,1.3490000000000002,0.18800009999999992,1.541700807939248,9.212695739199999,1631908254.612531,5.842487040564955,695804.1914532279
30767.0,296.26511,-14.96155,17.87,16.32642,LAV,1.3490000000000002,0.15907676000000004,1.4423702627940709,9.288127809919999,1941457151.1974554,5.6408263951659166,437347.24506596825
30924.0,296.21112,-14.91074,19.26,15.522219999999999,LAV,1.3490000000000002,0.27208409999999983,1.8710444281872487,8.9934046672,984928415.5804205,5.97659830459208,947541.6407244815
30961.0,296.30179,-14.90356,19.55,15.01182,LAV,1.3490000000000002,0.44911571999999955,2.8126501756769615,8.5463855362,351872669.81258106,5.060615373039396,114978.1649522097
40030.0,296.18011,-14.75091,16.82,15.74,LAV,1.08,0.20294999999999994,1.59569542543608,9.1737064,1491785563.4121563,5.9235758981361375,838640.6282595346
40275.0,296.22681,-14.75065,16.93,14.83442,LAV,1.3490000000000002,0.51191532,3.250239170988292,8.3947245022,248155841.16237494,5.060518102879133,114952.41585190714
40327.0,296.23346,-14.74996,17.51,16.45,LAV,1.0600000000000023,0.14400000000000002,1.3931568029453032,9.327447999999999,2125435842.1429305,5.522851495595248,333312.419083244
40419.0,296.24622,-14.86655,17.78,15.449819999999997,LAV,1.3490000000000002,0.2970621000000002,1.9818103856716058,8.928262043199998,847738765.7311591,5.862857901266645,729218.8748660387
40493.0,296.26105,-14.73764,18.09,14.76622,LAV,1.3490000000000002,0.5372507799999997,3.445488303967922,8.333539366300002,215545701.45078486,5.064269737863704,115949.72898135505
40538.0,296.2731,-14.75146,17.11,15.89,LAV,1.2199999999999989,0.19619999999999996,1.5710861496739585,9.191310399999999,1553496932.343491,5.8894299792363585,775228.9440766723
12557.0,296.18398,-14.78018,18.03,17.05,O,0.9800000000000004,0.035399999999999654,1.0849257074936363,9.6644988,4618477157.610877,4.927389704704369,84603.76781514405
11226.0,296.25229,-14.78475,17.29,16.009999999999998,O,1.2800000000000011,0.19080000000000005,1.5516722739072342,9.205393599999999,1604699066.5995612,5.859147383849816,723015.1271740068
20331.0,296.20415,-14.63486,16.38,15.39,O,0.9899999999999984,0.3176999999999994,2.0782605795978566,8.8744384,748925124.0051254,5.732729502159624,540417.6220675672
10184.0,296.22364,-14.77473,16.240000000000002,15.06,O,1.1800000000000015,0.43205999999999944,2.704331955568306,8.587575100000002,386878949.5588375,5.089291251305527,122826.26659319416
30133.0,296.21816,-14.88035,16.1,15.02,O,1.0800000000000018,0.44621999999999984,2.793958814958273,8.5533787,357584511.996092,5.064202761490851,115931.84873232692
20134.0,296.21322,-14.68097,16.150000000000002,15.0,O,1.1500000000000021,0.4532999999999996,2.8398800706985785,8.536280500000002,343779915.10404766,5.0562807086971935,113836.28353481412
40363.0,296.23649,-14.85697,18.98,15.72522,C,1.3490000000000002,0.20361509999999997,1.5981410243281744,9.1719718192,1485839224.9979994,5.926703735788982,844702.4149198653
10198.0,296.25088,-14.76786,15.3,14.12,O,1.1800000000000015,0.6625199999999998,4.597481602285773,8.0507096,112385323.49203332,4.587773769381997,38705.596904182414
30292.0,296.18801,-14.87231,15.680000000000001,14.61,O,1.070000000000002,0.56084,3.637809895670437,8.2765714,189047700.870995,5.046333447065033,111258.56318205205
10091.0,296.26702,-14.76311,15.260000000000002,14.11,O,1.1500000000000021,0.6659599999999997,4.634042366631949,8.0437608,110601444.73712686,4.561717004198909,36451.63426834205
20004.0,296.21293,-14.73224,13.520000000000001,12.5,O,1.0200000000000014,1.3732999999999995,23.62109357083569,6.921722200000001,8350686.888720857,3.4761833302114513,2993.528038132034
10817.0,296.23639,-14.83054,17.5,15.901219999999999,LPV,1.3490000000000002,0.19569510000000004,1.5692607051720178,9.192627179199999,1558214276.9432464,5.88670626162593,770382.238932054
12751.0,296.21027,-14.75973,17.69,16.17402,LPV,1.3490000000000002,0.18341910000000003,1.5255241950120872,9.2246429872,1677424520.4194586,5.813922176768463,651511.6362245624
