Ra(J2000) deg,Dec(J2000) deg,J,H,Ks,Types,Ref,R,J-Ks,Log(M/Ms),M/Ms,Log(t),t,Log(dt),dt
296.19168,-14.82965,18.12,16.8,15.19574931645377,LAV,Whitelock,89.99,1.5809999999999995,0.2878509270384737,1.9402197766724285,8.993238074000391,984550674.4015534,6.123080843291298,1327641.5732925509
296.28415,-14.81194,17.13,15.94,14.720733604075326,LAV,Whitelock,89.99,1.5809999999999995,0.4774453987745626,3.002239943614943,8.512224822081974,325255629.5352251,5.116044575155517,130630.49578954122
296.23456,-14.7733,17.8,16.56,15.061715864761554,LAV,Whitelock,89.99,1.5809999999999995,0.3225655910267573,2.10167515880899,8.90426439019842,802166258.2911578,5.9951118993701105,988807.8359104055
296.20154,-14.81282,18.98,17.3,15.16883193221664,LAV,Whitelock,89.99,1.5809999999999995,0.2948225295558897,1.971616888374239,8.975369856748255,944865206.119043,6.10324687477747,1268372.6676428057
296.18323,-14.76308,18.19,16.94,15.38019026925856,LAV,Whitelock,89.99,1.5809999999999995,0.24008072026203298,1.7381238555920027,9.115673113968409,1305188125.5360606,6.173414872361582,1490784.5127261644
296.27222,-14.76143,17.89,16.73,15.223241460264546,LAV,Whitelock,89.99,1.5809999999999995,0.2807304617914821,1.9086683051862954,9.011487826428432,1026804649.2276086,6.140120468547915,1380767.2212392222
296.22778,-14.76111,18.150000000000002,17.01,15.912395033282511,LAV,Whitelock,89.99,1.5809999999999995,0.1640613364054887,1.4590203065081435,9.310510794792732,2044140744.3877873,5.960877774404352,913856.0143594361
296.27774,-14.82287,18.26,17.17,15.793513127672929,LAV,Whitelock,89.99,1.5809999999999995,0.17690058221132354,1.5027979093422883,9.277603807792378,1894976409.3803816,6.018717121132591,1044039.9594922347
296.24905,-14.81619,17.29,16.92,15.91,LAV,Whitelock,89.99,1.379999999999999,0.1643199999999999,1.4598895504483689,9.30984784,2041022723.911652,5.962117323968413,916468.0390764106
296.25348,-14.76936,18.18,16.83,14.98395205354239,LAV,Whitelock,89.99,1.5809999999999995,0.34662582938943176,2.221395201443353,8.842597999274886,695981986.479873,5.868283266745154,738385.6820481627
296.24728,-14.76419,18.740000000000002,17.79,16.54531039058431,LAV,Whitelock,89.99,1.5809999999999995,0.09546440633475761,1.2458461267235368,9.514473296325153,3269439432.558936,5.578774791039824,379118.33732655784
296.24246,-14.82114,19.79,18.4,16.050357527719637,LAV,Whitelock,89.99,1.5809999999999995,0.15056460475575595,1.414375108959889,9.345102918010998,2213619225.3550816,5.8922798300558545,780332.7423334067
296.17993,-14.75767,19.03,17.44,15.24744217041784,LAV,Whitelock,89.99,1.5809999999999995,0.27446247786177924,1.8813191571417673,9.02755266924026,1065498074.545515,6.152384400258795,1420314.1058303332
296.27051,-14.73481,19.19,17.7,15.321611455814242,LAV,Whitelock,89.99,1.5809999999999995,0.25525263294411094,1.7999176386767808,9.076787501764244,1193404034.6353498,6.173787034751429,1492062.5665305401
296.18378,-14.68249,19.37,17.64,15.215509073802266,LAV,Whitelock,89.99,1.5809999999999995,0.2827331498852126,1.9174901861866112,9.0063549368442,1014740366.1183217,6.135660162531318,1366658.9900062266
296.2677,-14.68061,19.400000000000002,17.6,15.545916574914845,LAV,Whitelock,89.99,1.5809999999999995,0.20364100990919665,1.5982363718993744,9.20906809160273,1618333750.9766371,6.11250730134907,1295708.4807557699
296.17764,-14.6424,18.43,17.47,16.13517455688012,LAV,Whitelock,89.99,1.5809999999999995,0.14216771886886814,1.3872914793237385,9.366624136539091,2326077265.0260315,5.845996693543446,701449.9579822352
296.26511,-14.96155,17.87,17.09,16.38,LAV,Whitelock,89.99,1.490000000000002,0.12241000000000013,1.325592383261065,9.42908271,2685855909.651896,5.739627059926818,549069.1712427933
296.21112,-14.91074,19.26,17.55,15.534662646820234,LAV,Whitelock,89.99,1.5809999999999995,0.2048564341434146,1.6027154892810898,9.205952959290428,1606767206.216947,6.115836863488208,1305680.335855971
296.30179,-14.90356,19.55,17.75,14.994965738985503,LAV,Whitelock,89.99,1.5809999999999995,0.34115202772420483,2.1935726759351493,8.856627352942862,718831918.4590197,5.899436125001566,793297.5718782707
296.18011,-14.75091,16.82,16.27,15.74,LAV,Whitelock,89.99,1.08,0.18267999999999984,1.5229302038421793,9.26279116,1831433525.7231815,6.042172488774483,1101976.8948901787
296.22681,-14.75065,16.93,15.92,14.906971819791496,LAV,Whitelock,89.99,1.5809999999999995,0.38488500556362615,2.4259676514607302,8.74501421100748,555922447.8971325,5.625595112737333,422274.74927876715
296.23346,-14.74996,17.51,16.93,16.45,LAV,Whitelock,89.99,1.0600000000000023,0.11099999999999999,1.2912192736135342,9.465241,2919046410.6523585,5.673365171527221,471373.5088120377
296.24622,-14.86655,17.78,16.67,15.513784795081314,LAV,Whitelock,89.99,1.5809999999999995,0.207111242131218,1.6110582459975067,9.200173886417687,1585527892.164394,6.121786919934671,1323691.9262827877
296.26105,-14.73764,18.09,16.78,14.7938162198382,LAV,Whitelock,89.99,1.5809999999999995,0.4411233387404141,2.76136196599622,8.603574803067858,401397629.2088365,5.272297841421065,187196.55039539764
296.2731,-14.75146,17.11,16.57,15.89,LAV,Whitelock,89.99,1.2199999999999989,0.16647999999999985,1.4671685197447226,9.304311760000001,2015170328.7008457,5.972352523334217,938323.3490008153
296.22696,-14.80191,14.280000000000001,13.66,13.27,RSG,Whitelock,89.99,1.0100000000000016,1.06834,11.704153259399352,7.322692279999999,21022883.32400486,3.5417882828460994,3481.675431076678
296.24005,-14.80796,14.540000000000001,13.94,13.59,RSG,Whitelock,89.99,0.9500000000000011,0.8721800000000002,7.450407034538653,7.647925559999999,44455506.22293697,2.7855373971065855,610.2916066046307
296.24301,-14.74652,13.9,13.3,12.92,RSG,Whitelock,89.99,0.9800000000000004,1.16998,14.790402742780895,7.180544879999999,15154614.034172343,4.124517308416874,13320.401285193568
296.22287,-14.71018,17.400000000000002,16.76,16.3,Ce  ,Sibbons,89.99,1.1000000000000014,0.1258499999999999,1.336133952523549,9.418181350000001,2619276521.1594386,5.7589578082738635,574060.6894794658
296.22888,-14.72012,17.3,16.56,16.23,Ce  ,Sibbons,89.99,1.0700000000000003,0.13278,1.357625541732786,9.39622018,2490119447.006542,5.796876722201317,626436.0207934466
296.22033,-14.72841,18.060000000000002,17.25,17.08,Ce  ,Sibbons,89.99,0.980000000000004,-0.038539999999999575,0.9150819732354024,9.939133259999998,8692271041.79193,4.767301625257034,58519.63723500495
296.12738,-14.73369,17.36,16.81,16.34,Ce  ,Sibbons,89.99,1.0199999999999996,0.12189000000000005,1.3240061426728311,9.43073059,2696066437.2155323,5.736677271451013,545352.4536464048
296.31088,-14.73645,16.98,16.31,15.84,Ce  ,Sibbons,89.99,1.1400000000000006,0.17187999999999992,1.4855251198143047,9.29047156,1951962904.5519493,5.997015067664597,993150.5047627332
296.28564,-14.74075,16.470000000000002,15.62,15.02,Ce: ,Sibbons,89.99,1.4500000000000028,0.3287099999999996,2.131621048540335,8.88851627,773599659.6421297,5.96534379414317,923302.0379265219
296.18609,-14.7787,16.52,15.9,15.469999999999999,Ce  ,Sibbons,89.99,1.0500000000000007,0.21682000000000023,1.6474794269202158,9.17529034,1497236272.7769775,6.143971920416895,1393066.730427131
296.24578,-14.7865,17.38,16.73,16.39,Ce: ,Sibbons,89.99,0.9899999999999984,0.12077999999999989,1.3206264766492655,9.43424818,2717992036.812126,5.730356939047368,537473.3548512622
296.23651,-14.79789,17.05,16.52,16.15,Ce  ,Sibbons,89.99,0.9000000000000021,0.14070000000000016,1.3826109751987288,9.3711217,2350291338.041395,5.838381976333727,689258.2552139944
296.22512,-14.86821,17.11,16.58,16.25,Ce  ,Sibbons,89.99,0.8599999999999994,0.13080000000000003,1.3514500541175594,9.4024948,2526357460.7550497,5.786188306238142,611206.9813899486
296.21267,-14.87307,17.46,16.8,16.4,Ce  ,Sibbons,89.99,1.0600000000000023,0.11915000000000009,1.315679173213518,9.43941365,2750512671.0730977,5.721018367494683,526039.5135618239
296.117004,-14.632751,16.26,15.59,15.19,C:  ,Sibbons,89.99,1.070000000000002,0.2893399999999997,1.9468836593556116,8.98942158,975936542.9037448,6.119104133102103,1315540.2284691576
296.233887,-14.671288,16.94,16.26,15.940000000000001,C   ,Sibbons,89.99,1.0,0.1614899999999999,1.450407377056445,9.31710113,2075396738.9691381,5.948396667732727,887966.6760832099
296.259827,-14.684196,17.11,16.47,16.14,C   ,Sibbons,89.99,0.9699999999999989,0.14168999999999998,1.3857663138497494,9.36784853,2332644358.0366564,5.843286949540595,697086.9452686636
296.411377,-14.685686,17.27,16.58,16.04,C:  ,Sibbons,89.99,1.2300000000000004,0.1515900000000001,1.4177184785718195,9.34247483,2200264187.283894,5.897750531119657,790224.5741753272
296.156006,-14.687428,17.11,16.25,15.61,Ce: ,Sibbons,89.99,1.5,0.19672,1.5729684072692247,9.22680664,1685802292.1413717,6.091943105569268,1235785.5296608831
296.179413,-14.688039,17.04,16.35,16.009999999999998,C   ,Sibbons,89.99,1.0300000000000011,0.15456000000000025,1.4274470256373366,9.334862719999999,2162034998.856935,5.913363365531921,819149.8678567732
296.248596,-14.689795,17.060000000000002,16.43,16.04,C   ,Sibbons,89.99,1.0200000000000031,0.1515900000000001,1.4177184785718195,9.34247483,2200264187.283894,5.897750531119657,790224.5741753272
296.350922,-14.720666,16.85,16.13,15.68,C   ,Sibbons,89.99,1.1700000000000017,0.18915999999999988,1.5458238371928754,9.24618292,1762718327.4124212,6.066446652475831,1165323.8969042748
296.375854,-14.73088,15.95,15.33,14.959999999999999,C   ,Sibbons,89.99,0.9900000000000002,0.35852999999999957,2.2831266320325447,8.81208761,648765295.4341338,5.796669985727442,626137.8904699197
296.436554,-14.743853,17.25,16.68,16.49,C   ,Sibbons,89.99,0.7600000000000016,0.10448000000000013,1.2719791719312916,9.48590288,3061278772.354468,5.634204106550374,430728.993798973
296.485382,-14.756809,16.54,15.93,15.56,C:  ,Sibbons,89.99,0.9799999999999986,0.20211999999999986,1.592648731366794,9.21296644,1632925759.0796514,6.108220928619637,1282983.079081395
296.131714,-14.759347,17.17,16.47,16.11,Ce  ,Sibbons,89.99,1.0600000000000023,0.14466,1.3952756014903223,9.36023642,2292115088.319038,5.860002906049417,724440.8076008763
296.112915,-14.776258,17.150000000000002,16.46,15.85,C   ,Sibbons,89.99,1.3000000000000025,0.17079999999999995,1.481835517516431,9.2932396,1964443760.350866,5.992190254276548,982178.1180988149
296.152313,-14.788395,16.94,16.3,15.91,Ce  ,Sibbons,89.99,1.0300000000000011,0.1643199999999999,1.4598895504483689,9.30984784,2041022723.911652,5.962117323968413,916468.0390764106
