Z,a,b,K validity range(lower limit),K validity range(upper limit)
0.02,-0.349,-2.638,-8.192,-7.849
0.02,-0.217,-1.601,-7.849,-7.506
0.02,-0.130,-0.958,-7.506,
0.03,-0.391,-3.214,,-11.618
0.03,-0.219,-1.210,-11.618,-11.290
0.03,-0.413,-3.407,-11.290,-10.961
0.03,-0.133,-0.338,-10.961,-10.633
0.03,-0.257,-1.649,-10.633,-10.305
0.03,-0.647,-5.668,-10.305,-9.977
0.03,-0.284,-2.050,-9.977,-9.649
0.03,-0.249,-1.713,-9.649,-9.320
0.03,-0.296,-2.148,-9.320,-8.992
0.03,-0.171,-1.023,-8.992,-8.664
0.03,-0.307,-2.208,-8.664,-8.336
0.03,-0.360,-2.646,-8.336,-8.007
0.03,-0.360,-2.649,-8.007,-7.679
0.03,-0.353,-2.617,-7.679,
0.035,-0.275,-1.949,,-11.758
0.035,-0.198,-1.040,-11.758,-11.415
0.035,-0.168,-0.698,-11.415,-11.073
0.035,-0.222,-1.296,-11.073,-10.731
0.035,-0.146,-0.481,-10.731,-10.388
0.035,-0.502,-4.179,-10.388,-10.046
0.035,-0.505,-4.214,-10.046,-9.704
0.035,-0.113,-0.408,-9.704,-9.361
0.035,-0.361,-2.732,-9.361,-9.019
0.035,-0.164,-0.951,-9.019,-8.676
0.035,-0.304,-2.169,-8.676,-8.334
0.035,-0.383,-2.830,-8.334,-7.992
0.035,-0.342,-2.502,-7.992,-7.649
0.035,-0.331,-2.418,-7.649,
0.039,-0.254,-1.714,,-11.783
0.039,-0.190,-0.963,-11.783,-11.419
0.039,-0.159,-0.611,-11.419,-11.054
0.039,-0.202,-1.077,-11.054,-10.689
0.039,-0.241,-1.499,-10.689,-10.325
0.039,-0.564,-4.835,-10.325,-9.960
0.039,-0.200,-1.207,-9.960,-9.595
0.039,-0.311,-2.276,-9.595,-9.231
0.039,-0.275,-1.942,-9.231,-8.866
0.039,-0.225,-1.498,-8.866,-8.502
0.039,-0.343,-2.502,-8.502,-8.137
0.039,-0.343,-2.501,-8.137,-7.772
0.039,-0.326,-2.370,-7.772,-7.408
0.039,-0.347,-2.528,-7.408,
